method,seed,final_clean,final_rauc,final_median_r80,final_abs_r10,rauc_aulc,best_rauc
uniform,0,0.5625,0.47048112095216876,0.625,1.0,0.3136580504591979,0.47048112095216876
uniform,1,0.65625,0.5382162379720974,0.5,1.0,0.30167416401224134,0.5382162379720974
uniform,2,0.875,0.8251282679993618,0.6616161616161615,1.0,0.5181496712380502,0.8251282679993618
uniform,3,0.78125,0.6420757519390332,0.79375,1.0,0.4672448008263438,0.6420757519390332
fixed,0,0.78125,0.6094801245909931,0.553125,1.0,0.39333925489482563,0.6094801245909931
fixed,1,0.90625,0.773672649284437,0.6631764705882353,1.0,0.23285868965656994,0.773672649284437
fixed,2,0.625,0.7334664033882783,0.6,1.0,0.5096775647312757,0.7377725789835166
fixed,3,0.6875,0.594935896351912,0.33749999999999997,1.0,0.29460409585531655,0.594935896351912
failure_only,0,0.96875,0.7277106483118088,0.5243421052631578,1.0,0.34310515665783353,0.7277106483118088
failure_only,1,0.625,0.5027102609464167,0.521875,1.0,0.30407305892302017,0.5027102609464167
failure_only,2,1.0,0.97623887614122,1.0,1.0,0.6656643622219793,0.97623887614122
failure_only,3,0.9375,0.717088998241342,0.55,1.0,0.46384592648020384,0.717088998241342
td_loss,0,0.875,0.6460215565684315,0.33749999999999997,1.0,0.30875839039416847,0.6460215565684315
td_loss,1,0.59375,0.5306316307709346,0.60625,1.0,0.24223248920245272,0.5306316307709346
td_loss,2,0.625,0.6391994344631063,0.7083333333333333,1.0,0.4241196649216669,0.6391994344631063
td_loss,3,0.625,0.59588998241342,0.575,1.0,0.3118472144717262,0.59588998241342
bgr_uniform_radius,0,0.625,0.49738932894235055,0.6367647058823529,1.0,0.31617818424171823,0.49738932894235055
bgr_uniform_radius,1,0.625,0.507835590324963,0.5583333333333333,1.0,0.27638592974806925,0.507835590324963
bgr_uniform_radius,2,1.0,0.9046722049651736,0.7072916666666667,1.0,0.5048444936140248,0.9046722049651736
bgr_uniform_radius,3,0.6875,0.6242708192415223,0.575,1.0,0.40243590163634113,0.6242708192415223
bgr_coverage,0,0.53125,0.39009813492522594,0.5666666666666667,0.9594551282051282,0.18125949605136615,0.39009813492522594
bgr_coverage,1,0.59375,0.446496647309492,0.425,0.9910714285714286,0.2246018892435052,0.446496647309492
bgr_coverage,2,0.9375,0.9210835930562493,0.9604166666666667,1.0,0.5255476186140249,0.9210835930562493
bgr_coverage,3,0.625,0.6154639306006493,0.875,1.0,0.4275998686643218,0.6154639306006493
bgr,0,0.8125,0.7367690131304562,0.34375,1.0,0.332687436990954,0.7367690131304562
bgr,1,0.90625,0.7653472338272431,0.5125,1.0,0.4028639118999873,0.7653472338272431
bgr,2,0.625,0.6968682630303724,0.8814814814814815,1.0,0.4833565936288104,0.6968682630303724
bgr,3,0.5625,0.49963727678571423,0.5131016042780748,1.0,0.2839558038532648,0.49963727678571423
