method,seed,final_clean,final_rauc,final_median_r80,final_abs_r10,rauc_aulc,best_rauc
uniform,0,0.71875,0.5652173385744157,0.55,1.0,0.27020058220763354,0.5652173385744157
uniform,1,0.59375,0.5576195638192996,0.6749999999999999,1.0,0.2026308224868154,0.5576195638192996
uniform,2,0.90625,0.8767317101301476,0.7269607843137255,1.0,0.46222869198943417,0.8767317101301476
uniform,3,0.78125,0.6665324421672079,0.7675000000000001,1.0,0.4691853224629104,0.6665324421672079
fixed,0,0.78125,0.6332068103911509,0.5791666666666666,1.0,0.3785283837678929,0.6332068103911509
fixed,1,0.84375,0.7544671622609928,0.8083333333333333,1.0,0.3177483576831219,0.7544671622609928
fixed,2,0.9375,0.8631124680441087,0.6851851851851851,1.0,0.5432083927628362,0.8631124680441087
fixed,3,0.9375,0.7839649283008657,0.60625,1.0,0.46374323240778315,0.7839649283008657
failure_only,0,0.96875,0.7480144266923334,0.53,1.0,0.3432902106900771,0.7480144266923334
failure_only,1,0.96875,0.8163217420153885,0.6124999999999999,1.0,0.29993788350847606,0.8163217420153885
failure_only,2,1.0,0.9188529406791125,0.9604166666666667,1.0,0.46896972453002733,0.9188529406791125
failure_only,3,1.0,0.6929560673701298,0.33749999999999997,1.0,0.4474523767248376,0.6929560673701298
td_loss,0,0.5,0.4752843883674536,0.9402960526315789,0.5,0.2189315616662239,0.4752843883674536
td_loss,1,0.53125,0.45952887667760145,0.6495454545454545,1.0,0.1626253624998814,0.45952887667760145
td_loss,2,0.78125,0.8427559311348374,0.9273954703832752,1.0,0.4274031185286068,0.8427559311348374
td_loss,3,0.8125,0.6905591207837302,0.6352941176470588,1.0,0.39571322706698686,0.6905591207837302
bgr_uniform_radius,0,0.6875,0.6172911540371904,0.575,1.0,0.309064396540162,0.6172911540371904
bgr_uniform_radius,1,0.375,0.39344486494790953,1.0,0.0,0.1896713600264051,0.39344486494790953
bgr_uniform_radius,2,0.96875,0.8362672592164779,0.6125,1.0,0.5207151938231039,0.8362672592164779
bgr_uniform_radius,3,0.75,0.6676284327651516,0.8829545454545454,1.0,0.4166827665606963,0.6676284327651516
bgr_coverage,0,0.8125,0.6470469781188991,0.4541666666666666,1.0,0.30820948377028917,0.6470469781188991
bgr_coverage,1,0.53125,0.4814084453574918,0.635,1.0,0.18491569085100076,0.4814084453574918
bgr_coverage,2,0.65625,0.6202885601811383,0.6900641025641026,1.0,0.38974103628034296,0.6202885601811383
bgr_coverage,3,0.8125,0.6819086512445887,0.6409090909090909,1.0,0.39488733244836755,0.6819086512445887
bgr,0,0.46875,0.346318393074195,1.0,0.0,0.17472765313682564,0.346318393074195
bgr,1,0.78125,0.6254352864761872,0.5825,1.0,0.24549495284573988,0.6254352864761872
bgr,2,0.78125,0.7492142623001998,0.535,1.0,0.42742507600906043,0.7492142623001998
bgr,3,0.375,0.4941576760912698,1.0,0.0,0.30884188917636185,0.4941576760912698
