method,seed,final_clean,final_rauc,final_median_r80,final_abs_r10,rauc_aulc,best_rauc
uniform,0,0.9166666666666666,0.48784722222222215,0.3,0.6499999999999999,0.365162037037037,0.48784722222222215
uniform,1,1.0,0.5973958333333332,0.3,0.953125,0.44788773148148153,0.5973958333333332
uniform,2,1.0,0.5729166666666669,0.32499999999999996,0.9375,0.4299768518518519,0.5729166666666669
uniform,3,0.0,0.007682291666666667,1.0,0.0,0.0012803819444444444,0.007682291666666667
fixed,0,0.08333333333333333,0.022569444444444444,1.0,0.0,0.022569444444444444,0.022569444444444444
fixed,1,1.0,0.6421874999999999,0.3,1.0,0.2818576388888889,0.6421874999999999
fixed,2,0.0,0.0,1.0,0.0,0.0,0.0
fixed,3,0.0,0.005891927083333333,1.0,0.0,0.00490993923611111,0.005891927083333333
failure_only,0,0.9166666666666666,0.359375,0.275,0.475,0.3032407407407407,0.359375
failure_only,1,0.0,0.0,1.0,0.0,0.0,0.0
failure_only,2,1.0,0.5479166666666667,0.32499999999999996,0.825,0.30543981481481486,0.5479166666666667
failure_only,3,0.0,0.03608630952380952,1.0,0.0,0.014428323412698412,0.03608630952380952
td_loss,0,0.16666666666666666,0.04513888888888889,1.0,0.0,0.04137731481481481,0.04513888888888889
td_loss,1,1.0,0.34027777777777785,0.275,0.5875,0.05671296296296298,0.34027777777777785
td_loss,2,1.0,0.4305555555555554,0.29374999999999996,0.59375,0.35879629629629617,0.4305555555555554
td_loss,3,0.0,0.007682291666666667,1.0,0.0,0.003841145833333333,0.007682291666666667
bgr_uniform_radius,0,1.0,0.4791666666666665,0.3,0.6,0.39554398148148134,0.4791666666666665
bgr_uniform_radius,1,1.0,0.5286458333333334,0.3,0.825,0.20153356481481483,0.5286458333333334
bgr_uniform_radius,2,1.0,0.5729166666666669,0.32499999999999996,0.9375,0.39351851851851866,0.5729166666666669
bgr_uniform_radius,3,0.0,0.03608630952380952,1.0,0.0,0.011135912698412697,0.03608630952380952
bgr_coverage,0,1.0,0.4791666666666665,0.3,0.6,0.33883101851851843,0.4791666666666665
bgr_coverage,1,1.0,0.5012152777777777,0.3,0.825,0.08353587962962963,0.5012152777777777
bgr_coverage,2,1.0,0.4305555555555554,0.29374999999999996,0.59375,0.35879629629629617,0.4305555555555554
bgr_coverage,3,0.0,0.007682291666666667,1.0,0.0,0.006401909722222223,0.007682291666666667
bgr,0,0.9166666666666666,0.45659722222222215,0.3,0.6,0.3518518518518518,0.45659722222222215
bgr,1,0.9166666666666666,0.3038194444444445,0.275,0.475,0.05063657407407408,0.3038194444444445
bgr,2,1.0,0.454861111111111,0.3,0.6,0.3790509259259258,0.454861111111111
bgr,3,0.0,0.04579613095238095,1.0,0.0,0.01275421626984127,0.04579613095238095
