method,seed,final_clean,final_rauc,final_median_r80,final_abs_r10,rauc_aulc,best_rauc
uniform,0,1.0,0.4736111111111112,0.175,0.825,0.26093750000000004,0.4736111111111112
uniform,1,1.0,0.7940972222222221,0.475,1.0,0.6011718750000001,0.7940972222222221
uniform,2,0.0625,0.03376348586309524,1.0,0.0,0.020090738932291664,0.03376348586309524
uniform,3,0.95,0.8881770833333332,0.8020833333333333,1.0,0.7608268229166667,0.8881770833333332
uniform,4,1.0,0.878125,0.625,1.0,0.695654296875,0.878125
uniform,5,0.625,0.7009920634920636,0.6699999999999999,1.0,0.3149290054563492,0.7009920634920636
uniform,6,1.0,0.6493055555555555,0.44999999999999996,0.825,0.47960069444444436,0.6493055555555555
uniform,7,0.09375,0.05354120163690476,1.0,0.0,0.03247855050223214,0.05354120163690476
fixed,0,0.25,0.35572916666666665,1.0,0.0,0.04446614583333333,0.35572916666666665
fixed,1,1.0,0.8331597222222222,0.6125,1.0,0.4693359375,0.8331597222222222
fixed,2,0.0625,0.03376348586309524,1.0,0.0,0.02954305013020833,0.03376348586309524
fixed,3,0.85,0.7718750000000001,0.19999999999999996,1.0,0.6753906250000001,0.7718750000000001
fixed,4,0.8125,0.8212239583333333,0.5,1.0,0.6869466145833333,0.8212239583333333
fixed,5,0.25,0.33338836185515874,1.0,0.0,0.07959962875124008,0.33338836185515874
fixed,6,1.0,0.6847222222222221,0.44999999999999996,1.0,0.47986111111111107,0.6847222222222221
fixed,7,0.0625,0.03534458705357143,1.0,0.0,0.020112246558779762,0.03534458705357143
failure_only,0,1.0,0.4736111111111112,0.175,0.825,0.3928819444444445,0.4736111111111112
failure_only,1,1.0,0.8373263888888888,0.675,1.0,0.6603949652777776,0.8373263888888888
failure_only,2,0.0625,0.03376348586309524,1.0,0.0,0.01661289760044643,0.03376348586309524
failure_only,3,1.0,0.9106249999999999,0.8125,1.0,0.7825260416666666,0.9106249999999999
failure_only,4,1.0,0.8794270833333333,0.625,1.0,0.7076334635416667,0.8794270833333333
failure_only,5,0.625,0.7067630828373016,0.5762499999999999,1.0,0.2753538101438492,0.7067630828373016
failure_only,6,1.0,0.5423611111111111,0.19999999999999996,1.0,0.4236979166666666,0.5423611111111111
failure_only,7,0.125,0.09733382936507937,1.0,0.0,0.027860901847718257,0.09733382936507937
td_loss,0,1.0,0.2881944444444444,0.175,0.475,0.11935763888888888,0.2881944444444444
td_loss,1,1.0,0.7289930555555554,0.475,0.925,0.5469835069444444,0.7289930555555554
td_loss,2,0.03125,0.029717726934523805,1.0,0.0,0.02252516973586309,0.029717726934523805
td_loss,3,1.0,0.8976562499999998,0.7916666666666666,1.0,0.7456054687499999,0.8976562499999998
td_loss,4,1.0,0.8729166666666667,0.625,1.0,0.5807454427083333,0.8729166666666667
td_loss,5,0.34375,0.46347811259920635,1.0,0.0,0.21027541387648813,0.46347811259920635
td_loss,6,1.0,0.6689236111111111,0.44999999999999996,0.95,0.47042100694444444,0.6689236111111111
td_loss,7,0.15625,0.10901460193452381,1.0,0.0,0.08418889121403769,0.10901460193452381
bgr_uniform_radius,0,1.0,0.5500868055555554,0.175,1.0,0.2725802951388889,0.5500868055555554
bgr_uniform_radius,1,1.0,0.7289930555555554,0.475,0.925,0.5672960069444443,0.7289930555555554
bgr_uniform_radius,2,0.0625,0.03376348586309524,1.0,0.0,0.021102178664434524,0.03376348586309524
bgr_uniform_radius,3,0.95,0.87890625,0.7916666666666666,1.0,0.7573893229166667,0.87890625
bgr_uniform_radius,4,1.0,0.8638020833333333,0.625,1.0,0.686669921875,0.8638020833333333
bgr_uniform_radius,5,0.28125,0.30899135044642856,1.0,0.0,0.19617077055431548,0.30899135044642856
bgr_uniform_radius,6,1.0,0.6493055555555555,0.44999999999999996,0.825,0.43706597222222215,0.6493055555555555
bgr_uniform_radius,7,0.15625,0.0769469246031746,1.0,0.0,0.029664636036706347,0.0769469246031746
bgr_coverage,0,1.0,0.4736111111111112,0.175,0.825,0.30086805555555557,0.4736111111111112
bgr_coverage,1,1.0,0.7940972222222221,0.475,1.0,0.5874131944444444,0.7940972222222221
bgr_coverage,2,0.0625,0.03376348586309524,1.0,0.0,0.026508730933779756,0.03376348586309524
bgr_coverage,3,1.0,0.9013020833333332,0.7916666666666666,1.0,0.7672851562499999,0.9013020833333332
bgr_coverage,4,1.0,0.8638020833333333,0.625,1.0,0.565185546875,0.8638020833333333
bgr_coverage,5,0.25,0.3077667720734127,1.0,0.0,0.13450394887772815,0.3077667720734127
bgr_coverage,6,1.0,0.6319444444444443,0.44999999999999996,0.825,0.47048611111111105,0.6319444444444443
bgr_coverage,7,0.0625,0.03534458705357143,1.0,0.0,0.03316853841145834,0.03534458705357143
bgr,0,1.0,0.2881944444444444,0.175,0.475,0.1401909722222222,0.2881944444444444
bgr,1,1.0,0.7940972222222221,0.475,1.0,0.40399305555555554,0.7940972222222221
bgr,2,0.0625,0.03376348586309524,1.0,0.0,0.02954305013020833,0.03376348586309524
bgr,3,1.0,0.9031249999999998,0.7916666666666666,1.0,0.7526692708333332,0.9031249999999998
bgr,4,1.0,0.8578125,0.53125,1.0,0.5147298177083333,0.8578125
bgr,5,0.625,0.7127472408234128,0.81,1.0,0.28774443126860116,0.7127472408234128
bgr,6,1.0,0.4444444444444445,0.19999999999999996,0.6,0.34722222222222227,0.4444444444444445
bgr,7,0.0625,0.03534458705357143,1.0,0.0,0.03141770135788691,0.03534458705357143
