method,seed,final_clean,final_rauc,final_median_r80,final_abs_r10,rauc_aulc,best_rauc
uniform,0,0.75,0.23776041666666664,0.15625,0.46875,0.2065972222222222,0.23776041666666664
uniform,1,0.9,0.8382291666666666,0.475,1.0,0.31182291666666667,0.8382291666666666
uniform,2,0.9166666666666666,0.3855902777777777,0.175,0.5875,0.20245949074074074,0.3855902777777777
uniform,3,1.0,0.32274305555555555,0.175,0.478125,0.2608506944444444,0.32274305555555555
fixed,0,0.5625,0.193359375,0.16874999999999998,0.225,0.1393012152777778,0.193359375
fixed,1,0.65,0.3460416666666667,0.19999999999999996,0.4734375,0.16416666666666666,0.3460416666666667
fixed,2,0.0,0.0,1.0,0.0,0.0,0.0
fixed,3,0.16666666666666666,0.03472222222222222,1.0,0.0,0.03472222222222222,0.03472222222222222
failure_only,0,0.9375,0.487890625,0.315625,0.81875,0.2632595486111111,0.487890625
failure_only,1,0.85,0.42666666666666664,0.18749999999999997,0.825,0.18503472222222223,0.42666666666666664
failure_only,2,0.9166666666666666,0.27395833333333336,0.16249999999999998,0.475,0.18385416666666668,0.27395833333333336
failure_only,3,0.6666666666666666,0.15277777777777776,0.15,0.225,0.13310185185185183,0.15277777777777776
td_loss,0,0.75,0.2661458333333333,0.16874999999999998,0.46875,0.22078993055555554,0.2661458333333333
td_loss,1,1.0,0.7480208333333332,0.475,0.98125,0.5122743055555555,0.7480208333333332
td_loss,2,1.0,0.47065972222222224,0.19999999999999996,0.8125,0.28880208333333335,0.47065972222222224
td_loss,3,0.6666666666666666,0.15277777777777776,0.15,0.225,0.13310185185185183,0.15277777777777776
bgr_uniform_radius,0,0.75,0.2661458333333333,0.16874999999999998,0.46875,0.22078993055555554,0.2661458333333333
bgr_uniform_radius,1,1.0,0.8879166666666667,0.6,1.0,0.4840277777777777,0.8879166666666667
bgr_uniform_radius,2,0.9166666666666666,0.4605902777777778,0.4125,0.5875,0.24777199074074074,0.4605902777777778
bgr_uniform_radius,3,1.0,0.23611111111111116,0.15,0.4625,0.13310185185185183,0.23611111111111116
bgr_coverage,0,0.75,0.2661458333333333,0.16874999999999998,0.46875,0.22078993055555554,0.2661458333333333
bgr_coverage,1,1.0,0.6891666666666666,0.43125,0.975,0.3820486111111111,0.6891666666666666
bgr_coverage,2,1.0,0.3914930555555556,0.18749999999999997,0.5875,0.19592013888888893,0.3914930555555556
bgr_coverage,3,1.0,0.36388888888888893,0.175,0.575,0.2546875,0.36388888888888893
bgr,0,0.75,0.2661458333333333,0.16874999999999998,0.46875,0.22078993055555554,0.2661458333333333
bgr,1,1.0,0.7858333333333333,0.4875,1.0,0.4237152777777778,0.7858333333333333
bgr,2,0.9166666666666666,0.27395833333333336,0.16249999999999998,0.475,0.18385416666666668,0.27395833333333336
bgr,3,1.0,0.28628472222222223,0.175,0.475,0.18313078703703706,0.28628472222222223
