method,seed,final_clean,final_rauc,final_median_r80,final_abs_r10,rauc_aulc,best_rauc
uniform,0,1.0,0.9692708333333333,1.0,1.0,0.74140625,0.9692708333333333
uniform,1,1.0,0.765625,0.46249999999999997,1.0,0.6233072916666667,0.765625
uniform,2,0.375,0.261430431547619,1.0,0.0,0.1567774212549603,0.261430431547619
uniform,3,1.0,0.5,0.18749999999999997,0.96875,0.3330078125,0.5
uniform,4,1.0,0.85625,0.69375,0.9895833333333333,0.68203125,0.85625
uniform,5,1.0,0.9046875,0.8,1.0,0.7238932291666667,0.9046875
uniform,6,1.0,0.49375,0.3,0.81875,0.43203125,0.49375
uniform,7,1.0,0.8822916666666667,0.6208333333333333,1.0,0.5927083333333334,0.8822916666666667
fixed,0,0.5,0.7682291666666667,1.0,0.5,0.3935546875,0.7682291666666667
fixed,1,1.0,0.7143229166666667,0.46249999999999997,1.0,0.6045898437500001,0.7143229166666667
fixed,2,0.1875,0.10535714285714286,1.0,0.0,0.10177641369047619,0.10535714285714286
fixed,3,1.0,0.8416666666666666,0.6208333333333333,1.0,0.4145182291666666,0.8416666666666666
fixed,4,1.0,0.8260416666666666,0.6833333333333333,0.984375,0.615234375,0.8260416666666666
fixed,5,1.0,0.8330729166666666,0.68125,0.9895833333333333,0.7062174479166666,0.8330729166666666
fixed,6,1.0,0.49375,0.3,0.81875,0.2890625,0.49375
fixed,7,1.0,0.8760416666666666,0.63125,1.0,0.6083333333333333,0.8760416666666666
failure_only,0,1.0,0.9692708333333333,1.0,1.0,0.8306640625,0.9739583333333334
failure_only,1,1.0,0.7708333333333334,0.46249999999999997,1.0,0.6135416666666668,0.7708333333333334
failure_only,2,0.46875,0.29361979166666663,1.0,0.0,0.16884843129960317,0.29361979166666663
failure_only,3,1.0,0.9104166666666667,0.7875,1.0,0.7761067708333333,0.9104166666666667
failure_only,4,1.0,0.85625,0.69375,0.9895833333333333,0.5489583333333333,0.85625
failure_only,5,1.0,0.906640625,0.8,1.0,0.5400227864583333,0.906640625
failure_only,6,1.0,0.5249999999999999,0.3,1.0,0.4354166666666666,0.5249999999999999
failure_only,7,1.0,0.5,0.18749999999999997,0.96875,0.4498697916666667,0.5
td_loss,0,1.0,0.9651041666666667,1.0,1.0,0.685546875,0.9666666666666667
td_loss,1,1.0,0.7640625,0.46249999999999997,1.0,0.6332031249999999,0.7640625
td_loss,2,0.46875,0.3006510416666667,1.0,0.0,0.26154358878968254,0.3006510416666667
td_loss,3,1.0,0.8713541666666667,0.63125,1.0,0.6809895833333333,0.8713541666666667
td_loss,4,1.0,0.85625,0.69375,0.9895833333333333,0.6620442708333333,0.85625
td_loss,5,1.0,0.6124999999999999,0.44999999999999996,0.834375,0.524609375,0.6124999999999999
td_loss,6,1.0,0.5223958333333334,0.3,1.0,0.41959635416666663,0.5223958333333334
td_loss,7,1.0,0.9104166666666667,0.7875,1.0,0.60390625,0.9104166666666667
bgr_uniform_radius,0,1.0,0.9651041666666667,1.0,1.0,0.7686197916666666,0.9651041666666667
bgr_uniform_radius,1,1.0,0.7708333333333334,0.46249999999999997,1.0,0.6494791666666667,0.7708333333333334
bgr_uniform_radius,2,0.1875,0.10535714285714286,1.0,0.0,0.10177641369047619,0.10535714285714286
bgr_uniform_radius,3,1.0,0.8963541666666667,0.63125,1.0,0.697265625,0.8963541666666667
bgr_uniform_radius,4,1.0,0.5718749999999999,0.3125,0.96875,0.4563802083333333,0.5718749999999999
bgr_uniform_radius,5,1.0,0.9125,0.8,1.0,0.7004557291666667,0.9125
bgr_uniform_radius,6,1.0,0.49375,0.3,0.81875,0.40234375,0.49375
bgr_uniform_radius,7,1.0,0.7270833333333333,0.5375,1.0,0.5036458333333333,0.7270833333333333
bgr_coverage,0,1.0,0.9682291666666667,1.0,1.0,0.8022135416666666,0.9682291666666667
bgr_coverage,1,1.0,0.765625,0.46249999999999997,1.0,0.669921875,0.765625
bgr_coverage,2,0.46875,0.3006510416666667,1.0,0.0,0.25252976190476195,0.3006510416666667
bgr_coverage,3,1.0,0.759375,0.575,1.0,0.4905598958333333,0.759375
bgr_coverage,4,1.0,0.7489583333333334,0.575,0.96875,0.443359375,0.7489583333333334
bgr_coverage,5,1.0,0.8635416666666667,0.6875,1.0,0.5239583333333334,0.8635416666666667
bgr_coverage,6,1.0,0.49375,0.3,0.81875,0.34296875,0.49375
bgr_coverage,7,1.0,0.8807291666666667,0.63125,1.0,0.6017578125,0.8807291666666667
bgr,0,1.0,0.9638020833333334,1.0,1.0,0.7097981770833333,0.9638020833333334
bgr,1,1.0,0.765625,0.46249999999999997,1.0,0.53828125,0.765625
bgr,2,0.375,0.24781436011904762,1.0,0.0,0.18849400111607142,0.24781436011904762
bgr,3,1.0,0.6875,0.5562499999999999,0.96875,0.3896484375,0.6875
bgr,4,1.0,0.7020833333333334,0.6125,0.9375,0.4549479166666667,0.7020833333333334
bgr,5,1.0,0.6010416666666667,0.43124999999999997,0.73125,0.4565104166666667,0.6010416666666667
bgr,6,1.0,0.49375,0.3,0.81875,0.27265625,0.49375
bgr,7,1.0,0.5729166666666666,0.41874999999999996,0.83125,0.40104166666666663,0.5729166666666666
