dataset,target_radius,method,seed,final_rauc
ionosphere,1.5000,uniform,0,0.861280
ionosphere,1.5000,fixed,0,0.834350
ionosphere,1.5000,bgr,0,0.808943
ionosphere,1.5000,uniform,1,0.834858
ionosphere,1.5000,fixed,1,0.854675
ionosphere,1.5000,bgr,1,0.887703
ionosphere,1.5000,uniform,2,0.775915
ionosphere,1.5000,fixed,2,0.908537
ionosphere,1.5000,bgr,2,0.836890
ionosphere,1.5000,uniform,3,0.863313
ionosphere,1.5000,fixed,3,0.760163
ionosphere,1.5000,bgr,3,0.837907
ionosphere,1.5000,uniform,4,0.874492
ionosphere,1.5000,fixed,4,0.892785
ionosphere,1.5000,bgr,4,0.876016
ionosphere,1.5000,uniform,5,0.878557
ionosphere,1.5000,fixed,5,0.813516
ionosphere,1.5000,bgr,5,0.845528
ionosphere,1.5000,uniform,6,0.825203
ionosphere,1.5000,fixed,6,0.835874
ionosphere,1.5000,bgr,6,0.855691
ionosphere,1.5000,uniform,7,0.816565
ionosphere,1.5000,fixed,7,0.822663
ionosphere,1.5000,bgr,7,0.853150
ionosphere,1.5000,uniform,8,0.877541
ionosphere,1.5000,fixed,8,0.799289
ionosphere,1.5000,bgr,8,0.893293
ionosphere,1.5000,uniform,9,0.861789
ionosphere,1.5000,fixed,9,0.787093
ionosphere,1.5000,bgr,9,0.828760
ionosphere,1.5000,uniform,10,0.861280
ionosphere,1.5000,fixed,10,0.821138
ionosphere,1.5000,bgr,10,0.875508
ionosphere,1.5000,uniform,11,0.851626
ionosphere,1.5000,fixed,11,0.823679
ionosphere,1.5000,bgr,11,0.830793
ionosphere,1.5000,uniform,12,0.853150
ionosphere,1.5000,fixed,12,0.852134
ionosphere,1.5000,bgr,12,0.896341
ionosphere,1.5000,uniform,13,0.756606
ionosphere,1.5000,fixed,13,0.864837
ionosphere,1.5000,bgr,13,0.850102
ionosphere,1.5000,uniform,14,0.794207
ionosphere,1.5000,fixed,14,0.885163
ionosphere,1.5000,bgr,14,0.868394
ionosphere,1.5000,uniform,15,0.782520
ionosphere,1.5000,fixed,15,0.794207
ionosphere,1.5000,bgr,15,0.838415
ionosphere,1.5000,uniform,16,0.871443
ionosphere,1.5000,fixed,16,0.800813
ionosphere,1.5000,bgr,16,0.862805
ionosphere,1.5000,uniform,17,0.846545
ionosphere,1.5000,fixed,17,0.870935
ionosphere,1.5000,bgr,17,0.808943
ionosphere,1.5000,uniform,18,0.856199
ionosphere,1.5000,fixed,18,0.824187
ionosphere,1.5000,bgr,18,0.808943
ionosphere,1.5000,uniform,19,0.840955
ionosphere,1.5000,fixed,19,0.856707
ionosphere,1.5000,bgr,19,0.819106
ionosphere,1.5000,uniform,20,0.818089
ionosphere,1.5000,fixed,20,0.834350
ionosphere,1.5000,bgr,20,0.826728
ionosphere,1.5000,uniform,21,0.871443
ionosphere,1.5000,fixed,21,0.837398
ionosphere,1.5000,bgr,21,0.836890
ionosphere,1.5000,uniform,22,0.815549
ionosphere,1.5000,fixed,22,0.876016
ionosphere,1.5000,bgr,22,0.845528
ionosphere,1.5000,uniform,23,0.852642
ionosphere,1.5000,fixed,23,0.786585
ionosphere,1.5000,bgr,23,0.821138
ionosphere,1.5000,uniform,24,0.826728
ionosphere,1.5000,fixed,24,0.862297
ionosphere,1.5000,bgr,24,0.845528
ionosphere,1.5000,uniform,25,0.862805
ionosphere,1.5000,fixed,25,0.846545
ionosphere,1.5000,bgr,25,0.864837
ionosphere,1.5000,uniform,26,0.845528
ionosphere,1.5000,fixed,26,0.847561
ionosphere,1.5000,bgr,26,0.862297
ionosphere,1.5000,uniform,27,0.850102
ionosphere,1.5000,fixed,27,0.797764
ionosphere,1.5000,bgr,27,0.807419
ionosphere,1.5000,uniform,28,0.821138
ionosphere,1.5000,fixed,28,0.845528
ionosphere,1.5000,bgr,28,0.894309
ionosphere,1.5000,uniform,29,0.839431
ionosphere,1.5000,fixed,29,0.795732
ionosphere,1.5000,bgr,29,0.888720
sonar,1.5000,uniform,0,0.744007
sonar,1.5000,fixed,0,0.815068
sonar,1.5000,bgr,0,0.798801
sonar,1.5000,uniform,1,0.747432
sonar,1.5000,fixed,1,0.680651
sonar,1.5000,bgr,1,0.756849
sonar,1.5000,uniform,2,0.773973
sonar,1.5000,fixed,2,0.764555
sonar,1.5000,bgr,2,0.816781
sonar,1.5000,uniform,3,0.685788
sonar,1.5000,fixed,3,0.736301
sonar,1.5000,bgr,3,0.694349
sonar,1.5000,uniform,4,0.809075
sonar,1.5000,fixed,4,0.717466
sonar,1.5000,bgr,4,0.806507
sonar,1.5000,uniform,5,0.745719
sonar,1.5000,fixed,5,0.772260
sonar,1.5000,bgr,5,0.694349
sonar,1.5000,uniform,6,0.665240
sonar,1.5000,fixed,6,0.732021
sonar,1.5000,bgr,6,0.755993
sonar,1.5000,uniform,7,0.776541
sonar,1.5000,fixed,7,0.758562
sonar,1.5000,bgr,7,0.714897
sonar,1.5000,uniform,8,0.684932
sonar,1.5000,fixed,8,0.733733
sonar,1.5000,bgr,8,0.743151
sonar,1.5000,uniform,9,0.757705
sonar,1.5000,fixed,9,0.647260
sonar,1.5000,bgr,9,0.726884
sonar,1.5000,uniform,10,0.681507
sonar,1.5000,fixed,10,0.629281
sonar,1.5000,bgr,10,0.738014
sonar,1.5000,uniform,11,0.752568
sonar,1.5000,fixed,11,0.672089
sonar,1.5000,bgr,11,0.812500
sonar,1.5000,uniform,12,0.786815
sonar,1.5000,fixed,12,0.684932
sonar,1.5000,bgr,12,0.784247
sonar,1.5000,uniform,13,0.690068
sonar,1.5000,fixed,13,0.708048
sonar,1.5000,bgr,13,0.687500
sonar,1.5000,uniform,14,0.732877
sonar,1.5000,fixed,14,0.760274
sonar,1.5000,bgr,14,0.773973
sonar,1.5000,uniform,15,0.778253
sonar,1.5000,fixed,15,0.780822
sonar,1.5000,bgr,15,0.763699
sonar,1.5000,uniform,16,0.770548
sonar,1.5000,fixed,16,0.745719
sonar,1.5000,bgr,16,0.807363
sonar,1.5000,uniform,17,0.775685
sonar,1.5000,fixed,17,0.746575
sonar,1.5000,bgr,17,0.760274
sonar,1.5000,uniform,18,0.684075
sonar,1.5000,fixed,18,0.675514
sonar,1.5000,bgr,18,0.741438
sonar,1.5000,uniform,19,0.741438
sonar,1.5000,fixed,19,0.692637
sonar,1.5000,bgr,19,0.696918
sonar,1.5000,uniform,20,0.708904
sonar,1.5000,fixed,20,0.765411
sonar,1.5000,bgr,20,0.777397
sonar,1.5000,uniform,21,0.726884
sonar,1.5000,fixed,21,0.649829
sonar,1.5000,bgr,21,0.779966
sonar,1.5000,uniform,22,0.745719
sonar,1.5000,fixed,22,0.734589
sonar,1.5000,bgr,22,0.692637
sonar,1.5000,uniform,23,0.755993
sonar,1.5000,fixed,23,0.684932
sonar,1.5000,bgr,23,0.814212
sonar,1.5000,uniform,24,0.788527
sonar,1.5000,fixed,24,0.716610
sonar,1.5000,bgr,24,0.751712
sonar,1.5000,uniform,25,0.783390
sonar,1.5000,fixed,25,0.778253
sonar,1.5000,bgr,25,0.726027
sonar,1.5000,uniform,26,0.788527
sonar,1.5000,fixed,26,0.803938
sonar,1.5000,bgr,26,0.753425
sonar,1.5000,uniform,27,0.742295
sonar,1.5000,fixed,27,0.708048
sonar,1.5000,bgr,27,0.699486
sonar,1.5000,uniform,28,0.770548
sonar,1.5000,fixed,28,0.786815
sonar,1.5000,bgr,28,0.697774
sonar,1.5000,uniform,29,0.835616
sonar,1.5000,fixed,29,0.796233
sonar,1.5000,bgr,29,0.767123
diabetes,1.5000,uniform,0,0.707750
diabetes,1.5000,fixed,0,0.670250
diabetes,1.5000,bgr,0,0.660000
diabetes,1.5000,uniform,1,0.676500
diabetes,1.5000,fixed,1,0.683000
diabetes,1.5000,bgr,1,0.706000
diabetes,1.5000,uniform,2,0.671750
diabetes,1.5000,fixed,2,0.698250
diabetes,1.5000,bgr,2,0.720250
diabetes,1.5000,uniform,3,0.662750
diabetes,1.5000,fixed,3,0.657250
diabetes,1.5000,bgr,3,0.762500
diabetes,1.5000,uniform,4,0.643750
diabetes,1.5000,fixed,4,0.711500
diabetes,1.5000,bgr,4,0.665500
diabetes,1.5000,uniform,5,0.636500
diabetes,1.5000,fixed,5,0.703250
diabetes,1.5000,bgr,5,0.648000
diabetes,1.5000,uniform,6,0.742000
diabetes,1.5000,fixed,6,0.720750
diabetes,1.5000,bgr,6,0.757750
diabetes,1.5000,uniform,7,0.663750
diabetes,1.5000,fixed,7,0.668000
diabetes,1.5000,bgr,7,0.724750
diabetes,1.5000,uniform,8,0.708250
diabetes,1.5000,fixed,8,0.619250
diabetes,1.5000,bgr,8,0.714750
diabetes,1.5000,uniform,9,0.706250
diabetes,1.5000,fixed,9,0.687250
diabetes,1.5000,bgr,9,0.739500
diabetes,1.5000,uniform,10,0.633500
diabetes,1.5000,fixed,10,0.741500
diabetes,1.5000,bgr,10,0.685500
diabetes,1.5000,uniform,11,0.722750
diabetes,1.5000,fixed,11,0.710000
diabetes,1.5000,bgr,11,0.706750
diabetes,1.5000,uniform,12,0.696000
diabetes,1.5000,fixed,12,0.729000
diabetes,1.5000,bgr,12,0.704500
diabetes,1.5000,uniform,13,0.662750
diabetes,1.5000,fixed,13,0.649000
diabetes,1.5000,bgr,13,0.718500
diabetes,1.5000,uniform,14,0.636500
diabetes,1.5000,fixed,14,0.726000
diabetes,1.5000,bgr,14,0.745500
diabetes,1.5000,uniform,15,0.462000
diabetes,1.5000,fixed,15,0.622750
diabetes,1.5000,bgr,15,0.672000
diabetes,1.5000,uniform,16,0.649250
diabetes,1.5000,fixed,16,0.642250
diabetes,1.5000,bgr,16,0.674000
diabetes,1.5000,uniform,17,0.732500
diabetes,1.5000,fixed,17,0.612000
