dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
Bioresponse,1.5000,uniform,30,0.658042,0.000000,0,0,30,reject-scout
Bioresponse,1.5000,fixed,30,0.667783,0.009742,19,11,0,reject-scout
Bioresponse,1.5000,bgr,30,0.573742,-0.084300,1,29,0,reject-scout
MagicTelescope,1.5000,uniform,30,0.688425,0.000000,0,0,30,reject-scout
MagicTelescope,1.5000,fixed,30,0.698733,0.010308,17,13,0,reject-scout
MagicTelescope,1.5000,bgr,30,0.732383,0.043958,24,6,0,reject-scout
banknote-authentication,1.5000,uniform,30,0.786442,0.000000,0,0,30,reject-scout
banknote-authentication,1.5000,fixed,30,0.768692,-0.017750,7,23,0,reject-scout
banknote-authentication,1.5000,bgr,30,0.716850,-0.069592,8,22,0,reject-scout
blood-transfusion-service-center,1.5000,uniform,30,0.665675,0.000000,0,0,30,reject-scout
blood-transfusion-service-center,1.5000,fixed,30,0.661092,-0.004583,13,17,0,reject-scout
blood-transfusion-service-center,1.5000,bgr,30,0.731392,0.065717,24,6,0,reject-scout
breast-w,1.5000,uniform,30,0.955179,0.000000,0,0,30,reject-scout
breast-w,1.5000,fixed,30,0.947747,-0.007432,14,16,0,reject-scout
breast-w,1.5000,bgr,30,0.955986,0.000808,18,12,0,reject-scout
climate-model-simulation-crashes,1.5000,uniform,30,0.879619,0.000000,0,0,30,reject-scout
climate-model-simulation-crashes,1.5000,fixed,30,0.883014,0.003395,18,12,0,reject-scout
climate-model-simulation-crashes,1.5000,bgr,30,0.900904,0.021285,24,6,0,reject-scout
diabetes,1.5000,uniform,30,0.668892,0.000000,0,0,30,reject-scout
diabetes,1.5000,fixed,30,0.681258,0.012367,15,15,0,reject-scout
diabetes,1.5000,bgr,30,0.703958,0.035067,25,5,0,reject-scout
eeg-eye-state,1.5000,uniform,30,0.528067,0.000000,0,0,30,reject-scout
eeg-eye-state,1.5000,fixed,30,0.522867,-0.005200,13,17,0,reject-scout
eeg-eye-state,1.5000,bgr,30,0.533175,0.005108,18,12,0,reject-scout
electricity,1.5000,uniform,30,0.629100,0.000000,0,0,30,reject-scout
electricity,1.5000,fixed,30,0.623108,-0.005992,14,16,0,reject-scout
electricity,1.5000,bgr,30,0.626575,-0.002525,14,16,0,reject-scout
gina_agnostic,1.5000,uniform,30,0.765650,0.000000,0,0,30,reject-scout
gina_agnostic,1.5000,fixed,30,0.774758,0.009108,19,11,0,reject-scout
gina_agnostic,1.5000,bgr,30,0.706117,-0.059533,3,27,0,reject-scout
haberman,1.5000,uniform,30,0.615471,0.000000,0,0,30,reject-scout
haberman,1.5000,fixed,30,0.652874,0.037404,22,8,0,reject-scout
haberman,1.5000,bgr,30,0.706038,0.090567,26,3,1,reject-scout
heart-statlog,1.5000,uniform,30,0.766250,0.000000,0,0,30,reject-scout
heart-statlog,1.5000,fixed,30,0.759934,-0.006316,14,16,0,reject-scout
heart-statlog,1.5000,bgr,30,0.793070,0.026820,21,8,1,reject-scout
hill-valley,1.5000,uniform,30,0.505342,0.000000,0,0,30,reject-scout
hill-valley,1.5000,fixed,30,0.517033,0.011692,18,11,1,reject-scout
hill-valley,1.5000,bgr,30,0.506883,0.001542,20,10,0,reject-scout
ionosphere,1.5000,uniform,30,0.839583,0.000000,0,0,30,reject-scout
ionosphere,1.5000,fixed,30,0.834417,-0.005166,15,15,0,reject-scout
ionosphere,1.5000,bgr,30,0.849221,0.009638,18,12,0,reject-scout
jm1,1.5000,uniform,30,0.719650,0.000000,0,0,30,reject-scout
jm1,1.5000,fixed,30,0.725442,0.005792,14,16,0,reject-scout
jm1,1.5000,bgr,30,0.791700,0.072050,25,5,0,reject-scout
kc1,1.5000,uniform,30,0.812575,0.000000,0,0,30,reject-scout
kc1,1.5000,fixed,30,0.812575,0.000000,17,13,0,reject-scout
kc1,1.5000,bgr,30,0.822467,0.009892,18,12,0,reject-scout
kc2,1.5000,uniform,30,0.795890,0.000000,0,0,30,reject-scout
kc2,1.5000,fixed,30,0.799294,0.003404,16,14,0,reject-scout
kc2,1.5000,bgr,30,0.823702,0.027812,21,8,1,reject-scout
madelon,1.5000,uniform,30,0.527758,0.000000,0,0,30,reject-scout
madelon,1.5000,fixed,30,0.531267,0.003508,17,13,0,reject-scout
madelon,1.5000,bgr,30,0.523683,-0.004075,15,15,0,reject-scout
mammography,1.5000,uniform,30,0.966908,0.000000,0,0,30,reject-scout
mammography,1.5000,fixed,30,0.966233,-0.000675,14,15,1,reject-scout
mammography,1.5000,bgr,30,0.972200,0.005292,16,12,2,reject-scout
mc1,1.5000,uniform,30,0.973900,0.000000,0,0,30,reject-scout
mc1,1.5000,fixed,30,0.975000,0.001100,14,14,2,reject-scout
mc1,1.5000,bgr,30,0.976225,0.002325,12,15,3,reject-scout
mozilla4,1.5000,uniform,30,0.680683,0.000000,0,0,30,reject-scout
mozilla4,1.5000,fixed,30,0.672933,-0.007750,10,20,0,reject-scout
mozilla4,1.5000,bgr,30,0.673808,-0.006875,13,17,0,reject-scout
ozone-level-8hr,1.5000,uniform,30,0.895758,0.000000,0,0,30,reject-scout
ozone-level-8hr,1.5000,fixed,30,0.895400,-0.000358,14,16,0,reject-scout
ozone-level-8hr,1.5000,bgr,30,0.830092,-0.065667,9,20,1,reject-scout
pc1,1.5000,uniform,30,0.883575,0.000000,0,0,30,reject-scout
pc1,1.5000,fixed,30,0.905783,0.022208,20,10,0,reject-scout
pc1,1.5000,bgr,30,0.917050,0.033475,21,9,0,reject-scout
