dataset,target_radius,method,seed,final_rauc
ionosphere,1.5000,uniform,30,0.834350
ionosphere,1.5000,fixed,30,0.860772
ionosphere,1.5000,bgr,30,0.850102
ionosphere,1.5000,uniform,31,0.827744
ionosphere,1.5000,fixed,31,0.860264
ionosphere,1.5000,bgr,31,0.858232
ionosphere,1.5000,uniform,32,0.795224
ionosphere,1.5000,fixed,32,0.833333
ionosphere,1.5000,bgr,32,0.817581
ionosphere,1.5000,uniform,33,0.837398
ionosphere,1.5000,fixed,33,0.854675
ionosphere,1.5000,bgr,33,0.816057
ionosphere,1.5000,uniform,34,0.903455
ionosphere,1.5000,fixed,34,0.868394
ionosphere,1.5000,bgr,34,0.836382
ionosphere,1.5000,uniform,35,0.770833
ionosphere,1.5000,fixed,35,0.840955
ionosphere,1.5000,bgr,35,0.809451
ionosphere,1.5000,uniform,36,0.830793
ionosphere,1.5000,fixed,36,0.789126
ionosphere,1.5000,bgr,36,0.821138
ionosphere,1.5000,uniform,37,0.803354
ionosphere,1.5000,fixed,37,0.884146
ionosphere,1.5000,bgr,37,0.858740
ionosphere,1.5000,uniform,38,0.919715
ionosphere,1.5000,fixed,38,0.894817
ionosphere,1.5000,bgr,38,0.850102
ionosphere,1.5000,uniform,39,0.849085
ionosphere,1.5000,fixed,39,0.837907
ionosphere,1.5000,bgr,39,0.837907
ionosphere,1.5000,uniform,40,0.879065
ionosphere,1.5000,fixed,40,0.829268
ionosphere,1.5000,bgr,40,0.850102
ionosphere,1.5000,uniform,41,0.827236
ionosphere,1.5000,fixed,41,0.872967
ionosphere,1.5000,bgr,41,0.829268
ionosphere,1.5000,uniform,42,0.753557
ionosphere,1.5000,fixed,42,0.807419
ionosphere,1.5000,bgr,42,0.837398
ionosphere,1.5000,uniform,43,0.851118
ionosphere,1.5000,fixed,43,0.782520
ionosphere,1.5000,bgr,43,0.811484
ionosphere,1.5000,uniform,44,0.754065
ionosphere,1.5000,fixed,44,0.786585
ionosphere,1.5000,bgr,44,0.861280
ionosphere,1.5000,uniform,45,0.833333
ionosphere,1.5000,fixed,45,0.827744
ionosphere,1.5000,bgr,45,0.843496
