dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
Bioresponse,1.5000,uniform,30,0.651900,0.000000,0,0,30,reject-scout
Bioresponse,1.5000,fixed,30,0.644500,-0.007400,14,16,0,reject-scout
Bioresponse,1.5000,bgr,30,0.600958,-0.050942,7,23,0,reject-scout
MagicTelescope,1.5000,uniform,30,0.669442,0.000000,0,0,30,reject-scout
MagicTelescope,1.5000,fixed,30,0.666183,-0.003258,16,14,0,reject-scout
MagicTelescope,1.5000,bgr,30,0.719325,0.049883,22,8,0,reject-scout
banknote-authentication,1.5000,uniform,30,0.815292,0.000000,0,0,30,reject-scout
banknote-authentication,1.5000,fixed,30,0.750092,-0.065200,6,24,0,reject-scout
banknote-authentication,1.5000,bgr,30,0.711958,-0.103333,2,28,0,reject-scout
blood-transfusion-service-center,1.5000,uniform,30,0.684600,0.000000,0,0,30,reject-scout
blood-transfusion-service-center,1.5000,fixed,30,0.682275,-0.002325,16,14,0,reject-scout
blood-transfusion-service-center,1.5000,bgr,30,0.749733,0.065133,24,6,0,reject-scout
breast-w,1.5000,uniform,30,0.953784,0.000000,0,0,30,reject-scout
breast-w,1.5000,fixed,30,0.956139,0.002355,16,14,0,reject-scout
breast-w,1.5000,bgr,30,0.962296,0.008512,22,8,0,reject-scout
climate-model-simulation-crashes,1.5000,uniform,30,0.877337,0.000000,0,0,30,reject-scout
climate-model-simulation-crashes,1.5000,fixed,30,0.879365,0.002028,16,14,0,reject-scout
climate-model-simulation-crashes,1.5000,bgr,30,0.907341,0.030004,25,5,0,reject-scout
diabetes,1.5000,uniform,30,0.667308,0.000000,0,0,30,reject-scout
diabetes,1.5000,fixed,30,0.669283,0.001975,16,14,0,reject-scout
diabetes,1.5000,bgr,30,0.695300,0.027992,20,10,0,reject-scout
eeg-eye-state,1.5000,uniform,30,0.515950,0.000000,0,0,30,reject-scout
eeg-eye-state,1.5000,fixed,30,0.511133,-0.004817,18,12,0,reject-scout
eeg-eye-state,1.5000,bgr,30,0.528475,0.012525,16,14,0,reject-scout
electricity,1.5000,uniform,30,0.622883,0.000000,0,0,30,reject-scout
electricity,1.5000,fixed,30,0.603717,-0.019167,12,18,0,reject-scout
electricity,1.5000,bgr,30,0.611008,-0.011875,10,20,0,reject-scout
gina_agnostic,1.5000,uniform,30,0.781133,0.000000,0,0,30,reject-scout
gina_agnostic,1.5000,fixed,30,0.783725,0.002592,19,11,0,reject-scout
gina_agnostic,1.5000,bgr,30,0.738150,-0.042983,6,24,0,reject-scout
haberman,1.5000,uniform,30,0.632658,0.000000,0,0,30,reject-scout
haberman,1.5000,fixed,30,0.665837,0.033179,18,12,0,reject-scout
haberman,1.5000,bgr,30,0.720660,0.088002,27,3,0,reject-scout
heart-statlog,1.5000,uniform,30,0.770680,0.000000,0,0,30,reject-scout
heart-statlog,1.5000,fixed,30,0.746579,-0.024101,13,17,0,reject-scout
heart-statlog,1.5000,bgr,30,0.791667,0.020987,20,10,0,reject-scout
hill-valley,1.5000,uniform,30,0.505725,0.000000,0,0,30,reject-scout
hill-valley,1.5000,fixed,30,0.500075,-0.005650,11,19,0,reject-scout
hill-valley,1.5000,bgr,30,0.498967,-0.006758,14,16,0,reject-scout
ionosphere,1.5000,uniform,30,0.838940,0.000000,0,0,30,reject-scout
ionosphere,1.5000,fixed,30,0.838228,-0.000711,15,15,0,reject-scout
ionosphere,1.5000,bgr,30,0.844868,0.005928,16,14,0,reject-scout
jm1,1.5000,uniform,30,0.708133,0.000000,0,0,30,reject-scout
jm1,1.5000,fixed,30,0.719933,0.011800,19,11,0,reject-scout
jm1,1.5000,bgr,30,0.801083,0.092950,28,2,0,reject-scout
kc1,1.5000,uniform,30,0.787317,0.000000,0,0,30,reject-scout
kc1,1.5000,fixed,30,0.790625,0.003308,15,15,0,reject-scout
kc1,1.5000,bgr,30,0.823050,0.035733,21,9,0,reject-scout
kc2,1.5000,uniform,30,0.784096,0.000000,0,0,30,reject-scout
kc2,1.5000,fixed,30,0.794638,0.010542,15,15,0,reject-scout
kc2,1.5000,bgr,30,0.823588,0.039492,21,9,0,reject-scout
madelon,1.5000,uniform,30,0.530367,0.000000,0,0,30,reject-scout
madelon,1.5000,fixed,30,0.526308,-0.004058,14,16,0,reject-scout
madelon,1.5000,bgr,30,0.531008,0.000642,15,15,0,reject-scout
mammography,1.5000,uniform,30,0.967725,0.000000,0,0,30,reject-scout
mammography,1.5000,fixed,30,0.972767,0.005042,19,10,1,reject-scout
mammography,1.5000,bgr,30,0.972333,0.004608,15,12,3,reject-scout
mc1,1.5000,uniform,30,0.971500,0.000000,0,0,30,reject-scout
mc1,1.5000,fixed,30,0.981958,0.010458,18,10,2,reject-scout
mc1,1.5000,bgr,30,0.970350,-0.001150,12,18,0,reject-scout
mozilla4,1.5000,uniform,30,0.675433,0.000000,0,0,30,reject-scout
mozilla4,1.5000,fixed,30,0.659950,-0.015483,16,14,0,reject-scout
mozilla4,1.5000,bgr,30,0.668600,-0.006833,14,16,0,reject-scout
ozone-level-8hr,1.5000,uniform,30,0.888200,0.000000,0,0,30,reject-scout
ozone-level-8hr,1.5000,fixed,30,0.912683,0.024483,23,6,1,reject-scout
ozone-level-8hr,1.5000,bgr,30,0.833892,-0.054308,12,18,0,reject-scout
pc1,1.5000,uniform,30,0.894708,0.000000,0,0,30,reject-scout
pc1,1.5000,fixed,30,0.893442,-0.001267,14,16,0,reject-scout
pc1,1.5000,bgr,30,0.915192,0.020483,23,7,0,reject-scout
pc2,1.5000,uniform,30,0.982808,0.000000,0,0,30,reject-scout
pc2,1.5000,fixed,30,0.972033,-0.010775,17,11,2,reject-scout
pc2,1.5000,bgr,30,0.981200,-0.001608,14,9,7,reject-scout
pc3,1.5000,uniform,30,0.844533,0.000000,0,0,30,reject-scout
pc3,1.5000,fixed,30,0.842058,-0.002475,16,14,0,reject-scout
pc3,1.5000,bgr,30,0.867700,0.023167,21,9,0,reject-scout
pc4,1.5000,uniform,30,0.868492,0.000000,0,0,30,reject-scout
pc4,1.5000,fixed,30,0.849633,-0.018858,14,16,0,reject-scout
pc4,1.5000,bgr,30,0.871600,0.003108,13,17,0,reject-scout
phoneme,1.5000,uniform,30,0.675808,0.000000,0,0,30,reject-scout
phoneme,1.5000,fixed,30,0.681825,0.006017,15,15,0,reject-scout
phoneme,1.5000,bgr,30,0.691275,0.015467,20,10,0,reject-scout
qsar-biodeg,1.5000,uniform,30,0.796858,0.000000,0,0,30,reject-scout
qsar-biodeg,1.5000,fixed,30,0.795267,-0.001592,16,14,0,reject-scout
qsar-biodeg,1.5000,bgr,30,0.807692,0.010833,20,10,0,reject-scout
sonar,1.5000,uniform,30,0.733134,0.000000,0,0,30,reject-scout
sonar,1.5000,fixed,30,0.727854,-0.005280,13,17,0,reject-scout
sonar,1.5000,bgr,30,0.745291,0.012158,16,14,0,reject-scout
spambase,1.5000,uniform,30,0.849742,0.000000,0,0,30,reject-scout
spambase,1.5000,fixed,30,0.848208,-0.001533,18,12,0,reject-scout
spambase,1.5000,bgr,30,0.872242,0.022500,23,7,0,reject-scout
steel-plates-fault,1.5000,uniform,30,0.952508,0.000000,0,0,30,reject-scout
steel-plates-fault,1.5000,fixed,30,0.957292,0.004783,17,13,0,reject-scout
steel-plates-fault,1.5000,bgr,30,0.937633,-0.014875,11,19,0,reject-scout
wdbc,1.5000,uniform,30,0.944229,0.000000,0,0,30,reject-scout
wdbc,1.5000,fixed,30,0.948885,0.004656,19,11,0,reject-scout
wdbc,1.5000,bgr,30,0.954458,0.010229,19,11,0,reject-scout
