dataset,target_radius,method,seed,final_rauc
Bioresponse,1.5000,bgr,60,0.612750
Bioresponse,1.5000,fixed,60,0.606750
Bioresponse,1.5000,uniform,60,0.660000
Bioresponse,1.5000,bgr,61,0.562500
Bioresponse,1.5000,fixed,61,0.681500
Bioresponse,1.5000,uniform,61,0.678750
Bioresponse,1.5000,bgr,62,0.607250
Bioresponse,1.5000,fixed,62,0.668000
Bioresponse,1.5000,uniform,62,0.676000
Bioresponse,1.5000,bgr,63,0.572500
Bioresponse,1.5000,fixed,63,0.624250
Bioresponse,1.5000,uniform,63,0.624500
Bioresponse,1.5000,bgr,64,0.595250
Bioresponse,1.5000,fixed,64,0.673250
Bioresponse,1.5000,uniform,64,0.666000
Bioresponse,1.5000,bgr,65,0.501500
Bioresponse,1.5000,fixed,65,0.599500
Bioresponse,1.5000,uniform,65,0.659500
Bioresponse,1.5000,bgr,66,0.618750
Bioresponse,1.5000,fixed,66,0.636500
Bioresponse,1.5000,uniform,66,0.577750
Bioresponse,1.5000,bgr,67,0.595250
Bioresponse,1.5000,fixed,67,0.667250
Bioresponse,1.5000,uniform,67,0.663250
Bioresponse,1.5000,bgr,68,0.613750
Bioresponse,1.5000,fixed,68,0.633000
Bioresponse,1.5000,uniform,68,0.687750
Bioresponse,1.5000,bgr,69,0.633000
Bioresponse,1.5000,fixed,69,0.648000
Bioresponse,1.5000,uniform,69,0.610250
Bioresponse,1.5000,bgr,70,0.644500
Bioresponse,1.5000,fixed,70,0.637250
Bioresponse,1.5000,uniform,70,0.680250
Bioresponse,1.5000,bgr,71,0.588750
Bioresponse,1.5000,fixed,71,0.577750
Bioresponse,1.5000,uniform,71,0.679500
Bioresponse,1.5000,bgr,72,0.575000
Bioresponse,1.5000,fixed,72,0.648000
Bioresponse,1.5000,uniform,72,0.641000
Bioresponse,1.5000,bgr,73,0.570000
Bioresponse,1.5000,fixed,73,0.624000
Bioresponse,1.5000,uniform,73,0.699500
Bioresponse,1.5000,bgr,74,0.595750
Bioresponse,1.5000,fixed,74,0.672750
Bioresponse,1.5000,uniform,74,0.661500
Bioresponse,1.5000,bgr,75,0.558750
Bioresponse,1.5000,fixed,75,0.667500
Bioresponse,1.5000,uniform,75,0.700500
Bioresponse,1.5000,bgr,76,0.575750
Bioresponse,1.5000,fixed,76,0.622250
Bioresponse,1.5000,uniform,76,0.603250
Bioresponse,1.5000,bgr,77,0.582750
Bioresponse,1.5000,fixed,77,0.659250
Bioresponse,1.5000,uniform,77,0.589750
Bioresponse,1.5000,bgr,78,0.545500
Bioresponse,1.5000,fixed,78,0.577250
Bioresponse,1.5000,uniform,78,0.666250
Bioresponse,1.5000,bgr,79,0.582750
Bioresponse,1.5000,fixed,79,0.575500
Bioresponse,1.5000,uniform,79,0.626250
Bioresponse,1.5000,bgr,80,0.551750
Bioresponse,1.5000,fixed,80,0.709750
Bioresponse,1.5000,uniform,80,0.635750
Bioresponse,1.5000,bgr,81,0.663500
Bioresponse,1.5000,fixed,81,0.630250
Bioresponse,1.5000,uniform,81,0.684000
Bioresponse,1.5000,bgr,82,0.604500
Bioresponse,1.5000,fixed,82,0.605500
Bioresponse,1.5000,uniform,82,0.656500
Bioresponse,1.5000,bgr,83,0.536000
Bioresponse,1.5000,fixed,83,0.661750
Bioresponse,1.5000,uniform,83,0.653250
Bioresponse,1.5000,bgr,84,0.590250
Bioresponse,1.5000,fixed,84,0.658000
Bioresponse,1.5000,uniform,84,0.664250
Bioresponse,1.5000,bgr,85,0.548000
Bioresponse,1.5000,fixed,85,0.679000
Bioresponse,1.5000,uniform,85,0.599000
Bioresponse,1.5000,bgr,86,0.622000
Bioresponse,1.5000,fixed,86,0.615750
Bioresponse,1.5000,uniform,86,0.569250
Bioresponse,1.5000,bgr,87,0.580000
Bioresponse,1.5000,fixed,87,0.644250
Bioresponse,1.5000,uniform,87,0.701000
Bioresponse,1.5000,bgr,88,0.594500
Bioresponse,1.5000,fixed,88,0.654250
Bioresponse,1.5000,uniform,88,0.660750
Bioresponse,1.5000,bgr,89,0.598500
Bioresponse,1.5000,fixed,89,0.619000
Bioresponse,1.5000,uniform,89,0.633000
MagicTelescope,1.5000,bgr,60,0.746250
MagicTelescope,1.5000,fixed,60,0.742750
MagicTelescope,1.5000,uniform,60,0.715750
MagicTelescope,1.5000,bgr,61,0.719250
MagicTelescope,1.5000,fixed,61,0.688250
MagicTelescope,1.5000,uniform,61,0.619250
MagicTelescope,1.5000,bgr,62,0.783500
MagicTelescope,1.5000,fixed,62,0.687500
MagicTelescope,1.5000,uniform,62,0.632750
MagicTelescope,1.5000,bgr,63,0.696500
MagicTelescope,1.5000,fixed,63,0.703750
MagicTelescope,1.5000,uniform,63,0.651500
MagicTelescope,1.5000,bgr,64,0.705500
MagicTelescope,1.5000,fixed,64,0.678500
MagicTelescope,1.5000,uniform,64,0.669000
MagicTelescope,1.5000,bgr,65,0.808000
MagicTelescope,1.5000,fixed,65,0.734250
MagicTelescope,1.5000,uniform,65,0.800250
MagicTelescope,1.5000,bgr,66,0.724750
MagicTelescope,1.5000,fixed,66,0.716500
MagicTelescope,1.5000,uniform,66,0.731000
MagicTelescope,1.5000,bgr,67,0.643500
MagicTelescope,1.5000,fixed,67,0.763000
MagicTelescope,1.5000,uniform,67,0.757750
MagicTelescope,1.5000,bgr,68,0.712000
MagicTelescope,1.5000,fixed,68,0.710250
MagicTelescope,1.5000,uniform,68,0.658500
MagicTelescope,1.5000,bgr,69,0.788750
MagicTelescope,1.5000,fixed,69,0.716250
MagicTelescope,1.5000,uniform,69,0.761250
MagicTelescope,1.5000,bgr,70,0.779750
MagicTelescope,1.5000,fixed,70,0.688500
MagicTelescope,1.5000,uniform,70,0.687000
MagicTelescope,1.5000,bgr,71,0.635750
MagicTelescope,1.5000,fixed,71,0.704750
MagicTelescope,1.5000,uniform,71,0.703000
MagicTelescope,1.5000,bgr,72,0.600000
MagicTelescope,1.5000,fixed,72,0.667500
MagicTelescope,1.5000,uniform,72,0.713750
MagicTelescope,1.5000,bgr,73,0.632000
MagicTelescope,1.5000,fixed,73,0.683250
MagicTelescope,1.5000,uniform,73,0.668000
MagicTelescope,1.5000,bgr,74,0.752000
MagicTelescope,1.5000,fixed,74,0.692500
MagicTelescope,1.5000,uniform,74,0.638750
MagicTelescope,1.5000,bgr,75,0.698000
MagicTelescope,1.5000,fixed,75,0.658500
MagicTelescope,1.5000,uniform,75,0.642750
MagicTelescope,1.5000,bgr,76,0.680750
MagicTelescope,1.5000,fixed,76,0.666250
MagicTelescope,1.5000,uniform,76,0.761750
MagicTelescope,1.5000,bgr,77,0.659250
MagicTelescope,1.5000,fixed,77,0.596750
MagicTelescope,1.5000,uniform,77,0.711750
MagicTelescope,1.5000,bgr,78,0.795500
MagicTelescope,1.5000,fixed,78,0.777750
MagicTelescope,1.5000,uniform,78,0.755000
MagicTelescope,1.5000,bgr,79,0.731750
MagicTelescope,1.5000,fixed,79,0.630500
MagicTelescope,1.5000,uniform,79,0.662250
MagicTelescope,1.5000,bgr,80,0.688500
MagicTelescope,1.5000,fixed,80,0.663250
MagicTelescope,1.5000,uniform,80,0.731500
MagicTelescope,1.5000,bgr,81,0.768000
MagicTelescope,1.5000,fixed,81,0.663250
MagicTelescope,1.5000,uniform,81,0.713750
MagicTelescope,1.5000,bgr,82,0.740750
MagicTelescope,1.5000,fixed,82,0.700000
MagicTelescope,1.5000,uniform,82,0.645500
MagicTelescope,1.5000,bgr,83,0.661000
MagicTelescope,1.5000,fixed,83,0.540250
MagicTelescope,1.5000,uniform,83,0.576750
MagicTelescope,1.5000,bgr,84,0.738000
MagicTelescope,1.5000,fixed,84,0.718500
MagicTelescope,1.5000,uniform,84,0.772250
MagicTelescope,1.5000,bgr,85,0.747000
MagicTelescope,1.5000,fixed,85,0.749500
MagicTelescope,1.5000,uniform,85,0.703000
MagicTelescope,1.5000,bgr,86,0.769000
MagicTelescope,1.5000,fixed,86,0.742500
MagicTelescope,1.5000,uniform,86,0.742250
MagicTelescope,1.5000,bgr,87,0.753000
MagicTelescope,1.5000,fixed,87,0.681250
MagicTelescope,1.5000,uniform,87,0.726750
MagicTelescope,1.5000,bgr,88,0.562000
MagicTelescope,1.5000,fixed,88,0.638250
MagicTelescope,1.5000,uniform,88,0.650250
MagicTelescope,1.5000,bgr,89,0.777000
MagicTelescope,1.5000,fixed,89,0.742250
MagicTelescope,1.5000,uniform,89,0.757000
banknote-authentication,1.5000,bgr,60,0.757500
banknote-authentication,1.5000,fixed,60,0.815500
banknote-authentication,1.5000,uniform,60,0.776250
banknote-authentication,1.5000,bgr,61,0.706000
banknote-authentication,1.5000,fixed,61,0.697750
banknote-authentication,1.5000,uniform,61,0.829500
banknote-authentication,1.5000,bgr,62,0.694500
banknote-authentication,1.5000,fixed,62,0.869500
banknote-authentication,1.5000,uniform,62,0.767000
banknote-authentication,1.5000,bgr,63,0.763500
banknote-authentication,1.5000,fixed,63,0.750750
banknote-authentication,1.5000,uniform,63,0.731750
banknote-authentication,1.5000,bgr,64,0.662750
banknote-authentication,1.5000,fixed,64,0.778500
banknote-authentication,1.5000,uniform,64,0.726000
banknote-authentication,1.5000,bgr,65,0.596500
banknote-authentication,1.5000,fixed,65,0.798500
banknote-authentication,1.5000,uniform,65,0.831750
banknote-authentication,1.5000,bgr,66,0.606000
banknote-authentication,1.5000,fixed,66,0.715750
banknote-authentication,1.5000,uniform,66,0.850250
banknote-authentication,1.5000,bgr,67,0.829750
banknote-authentication,1.5000,fixed,67,0.804000
banknote-authentication,1.5000,uniform,67,0.852750
banknote-authentication,1.5000,bgr,68,0.741250
banknote-authentication,1.5000,fixed,68,0.804250
banknote-authentication,1.5000,uniform,68,0.791250
banknote-authentication,1.5000,bgr,69,0.429250
banknote-authentication,1.5000,fixed,69,0.742750
banknote-authentication,1.5000,uniform,69,0.814500
banknote-authentication,1.5000,bgr,70,0.727500
banknote-authentication,1.5000,fixed,70,0.837500
banknote-authentication,1.5000,uniform,70,0.797000
banknote-authentication,1.5000,bgr,71,0.771000
banknote-authentication,1.5000,fixed,71,0.612750
banknote-authentication,1.5000,uniform,71,0.763750
banknote-authentication,1.5000,bgr,72,0.787750
banknote-authentication,1.5000,fixed,72,0.836750
banknote-authentication,1.5000,uniform,72,0.801000
banknote-authentication,1.5000,bgr,73,0.551250
