dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
Bioresponse,1.5000,uniform,30,0.650275,0.000000,0,0,30,reject-scout
Bioresponse,1.5000,fixed,30,0.639233,-0.011042,13,17,0,reject-scout
Bioresponse,1.5000,bgr,30,0.587367,-0.062908,3,27,0,reject-scout
MagicTelescope,1.5000,uniform,30,0.698667,0.000000,0,0,30,reject-scout
MagicTelescope,1.5000,fixed,30,0.691542,-0.007125,16,14,0,reject-scout
MagicTelescope,1.5000,bgr,30,0.716567,0.017900,20,10,0,reject-scout
banknote-authentication,1.5000,uniform,30,0.789100,0.000000,0,0,30,reject-scout
banknote-authentication,1.5000,fixed,30,0.742867,-0.046233,10,20,0,reject-scout
banknote-authentication,1.5000,bgr,30,0.691975,-0.097125,7,23,0,reject-scout
blood-transfusion-service-center,1.5000,uniform,30,0.688067,0.000000,0,0,30,reject-scout
blood-transfusion-service-center,1.5000,fixed,30,0.679708,-0.008358,12,18,0,reject-scout
blood-transfusion-service-center,1.5000,bgr,30,0.731217,0.043150,23,6,1,reject-scout
breast-w,1.5000,uniform,30,0.954958,0.000000,0,0,30,reject-scout
breast-w,1.5000,fixed,30,0.944736,-0.010221,11,19,0,reject-scout
breast-w,1.5000,bgr,30,0.958027,0.003070,19,11,0,reject-scout
climate-model-simulation-crashes,1.5000,uniform,30,0.872696,0.000000,0,0,30,reject-scout
climate-model-simulation-crashes,1.5000,fixed,30,0.866589,-0.006107,12,18,0,reject-scout
climate-model-simulation-crashes,1.5000,bgr,30,0.905941,0.033245,26,3,1,reject-scout
diabetes,1.5000,uniform,30,0.665100,0.000000,0,0,30,reject-scout
diabetes,1.5000,fixed,30,0.677658,0.012558,16,14,0,reject-scout
diabetes,1.5000,bgr,30,0.712050,0.046950,24,6,0,reject-scout
eeg-eye-state,1.5000,uniform,30,0.522458,0.000000,0,0,30,reject-scout
eeg-eye-state,1.5000,fixed,30,0.525325,0.002867,17,13,0,reject-scout
eeg-eye-state,1.5000,bgr,30,0.529067,0.006608,17,13,0,reject-scout
electricity,1.5000,uniform,30,0.618050,0.000000,0,0,30,reject-scout
electricity,1.5000,fixed,30,0.633658,0.015608,17,13,0,reject-scout
electricity,1.5000,bgr,30,0.626250,0.008200,15,15,0,reject-scout
gina_agnostic,1.5000,uniform,30,0.778883,0.000000,0,0,30,reject-scout
gina_agnostic,1.5000,fixed,30,0.781550,0.002667,20,10,0,reject-scout
gina_agnostic,1.5000,bgr,30,0.703800,-0.075083,3,27,0,reject-scout
haberman,1.5000,uniform,30,0.619869,0.000000,0,0,30,reject-scout
haberman,1.5000,fixed,30,0.639950,0.020081,16,14,0,reject-scout
haberman,1.5000,bgr,30,0.698784,0.078916,25,5,0,reject-scout
heart-statlog,1.5000,uniform,30,0.769254,0.000000,0,0,30,reject-scout
heart-statlog,1.5000,fixed,30,0.767566,-0.001689,18,12,0,reject-scout
heart-statlog,1.5000,bgr,30,0.788904,0.019649,18,12,0,reject-scout
hill-valley,1.5000,uniform,30,0.503342,0.000000,0,0,30,reject-scout
hill-valley,1.5000,fixed,30,0.500067,-0.003275,15,14,1,reject-scout
hill-valley,1.5000,bgr,30,0.501333,-0.002008,11,19,0,reject-scout
ionosphere,1.5000,uniform,30,0.841142,0.000000,0,0,30,reject-scout
ionosphere,1.5000,fixed,30,0.835840,-0.005302,12,17,1,reject-scout
ionosphere,1.5000,bgr,30,0.846291,0.005149,14,16,0,reject-scout
jm1,1.5000,uniform,30,0.738150,0.000000,0,0,30,reject-scout
jm1,1.5000,fixed,30,0.740550,0.002400,16,14,0,reject-scout
jm1,1.5000,bgr,30,0.789608,0.051458,26,3,1,reject-scout
kc1,1.5000,uniform,30,0.793075,0.000000,0,0,30,reject-scout
kc1,1.5000,fixed,30,0.765858,-0.027217,15,15,0,reject-scout
kc1,1.5000,bgr,30,0.820158,0.027083,23,7,0,reject-scout
kc2,1.5000,uniform,30,0.792054,0.000000,0,0,30,reject-scout
kc2,1.5000,fixed,30,0.785052,-0.007001,17,13,0,reject-scout
kc2,1.5000,bgr,30,0.825535,0.033481,22,7,1,reject-scout
madelon,1.5000,uniform,30,0.528400,0.000000,0,0,30,reject-scout
madelon,1.5000,fixed,30,0.522508,-0.005892,13,17,0,reject-scout
madelon,1.5000,bgr,30,0.530608,0.002208,14,16,0,reject-scout
mammography,1.5000,uniform,30,0.963692,0.000000,0,0,30,reject-scout
mammography,1.5000,fixed,30,0.957867,-0.005825,17,13,0,reject-scout
mammography,1.5000,bgr,30,0.975375,0.011683,19,10,1,reject-scout
mc1,1.5000,uniform,30,0.965733,0.000000,0,0,30,reject-scout
mc1,1.5000,fixed,30,0.976033,0.010300,18,11,1,reject-scout
mc1,1.5000,bgr,30,0.974683,0.008950,14,16,0,reject-scout
mozilla4,1.5000,uniform,30,0.673808,0.000000,0,0,30,reject-scout
mozilla4,1.5000,fixed,30,0.652550,-0.021258,12,18,0,reject-scout
mozilla4,1.5000,bgr,30,0.685725,0.011917,18,12,0,reject-scout
ozone-level-8hr,1.5000,uniform,30,0.903375,0.000000,0,0,30,reject-scout
ozone-level-8hr,1.5000,fixed,30,0.913542,0.010167,17,13,0,reject-scout
ozone-level-8hr,1.5000,bgr,30,0.819275,-0.084100,5,25,0,reject-scout
pc1,1.5000,uniform,30,0.867925,0.000000,0,0,30,reject-scout
pc1,1.5000,fixed,30,0.894742,0.026817,22,8,0,reject-scout
pc1,1.5000,bgr,30,0.921275,0.053350,27,3,0,reject-scout
pc2,1.5000,uniform,30,0.965350,0.000000,0,0,30,reject-scout
pc2,1.5000,fixed,30,0.984275,0.018925,13,16,1,reject-scout
pc2,1.5000,bgr,30,0.967450,0.002100,9,18,3,reject-scout
pc3,1.5000,uniform,30,0.819667,0.000000,0,0,30,reject-scout
pc3,1.5000,fixed,30,0.814208,-0.005458,12,18,0,reject-scout
pc3,1.5000,bgr,30,0.874825,0.055158,22,8,0,reject-scout
pc4,1.5000,uniform,30,0.854708,0.000000,0,0,30,reject-scout
pc4,1.5000,fixed,30,0.852325,-0.002383,14,16,0,reject-scout
pc4,1.5000,bgr,30,0.860800,0.006092,16,14,0,reject-scout
phoneme,1.5000,uniform,30,0.688750,0.000000,0,0,30,reject-scout
phoneme,1.5000,fixed,30,0.680250,-0.008500,14,16,0,reject-scout
phoneme,1.5000,bgr,30,0.696017,0.007267,18,12,0,reject-scout
qsar-biodeg,1.5000,uniform,30,0.798217,0.000000,0,0,30,reject-scout
qsar-biodeg,1.5000,fixed,30,0.785433,-0.012783,9,21,0,reject-scout
qsar-biodeg,1.5000,bgr,30,0.795283,-0.002933,14,16,0,reject-scout
sonar,1.5000,uniform,30,0.747203,0.000000,0,0,30,reject-scout
sonar,1.5000,fixed,30,0.733933,-0.013271,14,15,1,reject-scout
sonar,1.5000,bgr,30,0.740097,-0.007106,17,13,0,reject-scout
spambase,1.5000,uniform,30,0.856167,0.000000,0,0,30,reject-scout
spambase,1.5000,fixed,30,0.852742,-0.003425,13,17,0,reject-scout
spambase,1.5000,bgr,30,0.873183,0.017017,21,9,0,reject-scout
steel-plates-fault,1.5000,uniform,30,0.957250,0.000000,0,0,30,reject-scout
steel-plates-fault,1.5000,fixed,30,0.959425,0.002175,13,17,0,reject-scout
steel-plates-fault,1.5000,bgr,30,0.953100,-0.004150,12,17,1,reject-scout
wdbc,1.5000,uniform,30,0.951781,0.000000,0,0,30,reject-scout
wdbc,1.5000,fixed,30,0.956667,0.004885,17,13,0,reject-scout
wdbc,1.5000,bgr,30,0.957740,0.005958,16,14,0,reject-scout
