dataset,target_radius,method,seed,final_rauc
blood-transfusion-service-center,2.0000,uniform,30,0.615000
blood-transfusion-service-center,2.0000,fixed,30,0.765000
blood-transfusion-service-center,2.0000,bgr,30,0.760000
blood-transfusion-service-center,2.0000,uniform,31,0.687750
blood-transfusion-service-center,2.0000,fixed,31,0.579000
blood-transfusion-service-center,2.0000,bgr,31,0.764000
blood-transfusion-service-center,2.0000,uniform,32,0.642250
blood-transfusion-service-center,2.0000,fixed,32,0.712000
blood-transfusion-service-center,2.0000,bgr,32,0.764000
blood-transfusion-service-center,2.0000,uniform,33,0.618250
blood-transfusion-service-center,2.0000,fixed,33,0.697000
blood-transfusion-service-center,2.0000,bgr,33,0.760000
blood-transfusion-service-center,2.0000,uniform,34,0.777750
blood-transfusion-service-center,2.0000,fixed,34,0.766000
blood-transfusion-service-center,2.0000,bgr,34,0.764000
blood-transfusion-service-center,2.0000,uniform,35,0.669000
blood-transfusion-service-center,2.0000,fixed,35,0.661500
blood-transfusion-service-center,2.0000,bgr,35,0.771000
blood-transfusion-service-center,2.0000,uniform,36,0.735250
blood-transfusion-service-center,2.0000,fixed,36,0.760000
blood-transfusion-service-center,2.0000,bgr,36,0.748750
blood-transfusion-service-center,2.0000,uniform,37,0.697000
blood-transfusion-service-center,2.0000,fixed,37,0.694000
blood-transfusion-service-center,2.0000,bgr,37,0.756000
blood-transfusion-service-center,2.0000,uniform,38,0.708250
blood-transfusion-service-center,2.0000,fixed,38,0.708500
blood-transfusion-service-center,2.0000,bgr,38,0.760000
blood-transfusion-service-center,2.0000,uniform,39,0.688500
blood-transfusion-service-center,2.0000,fixed,39,0.711250
blood-transfusion-service-center,2.0000,bgr,39,0.764000
blood-transfusion-service-center,2.0000,uniform,40,0.768250
blood-transfusion-service-center,2.0000,fixed,40,0.696250
blood-transfusion-service-center,2.0000,bgr,40,0.760000
blood-transfusion-service-center,2.0000,uniform,41,0.742000
blood-transfusion-service-center,2.0000,fixed,41,0.755000
blood-transfusion-service-center,2.0000,bgr,41,0.764000
blood-transfusion-service-center,2.0000,uniform,42,0.595500
blood-transfusion-service-center,2.0000,fixed,42,0.703750
blood-transfusion-service-center,2.0000,bgr,42,0.773750
blood-transfusion-service-center,2.0000,uniform,43,0.694000
blood-transfusion-service-center,2.0000,fixed,43,0.756500
blood-transfusion-service-center,2.0000,bgr,43,0.764000
blood-transfusion-service-center,2.0000,uniform,44,0.647500
blood-transfusion-service-center,2.0000,fixed,44,0.734500
blood-transfusion-service-center,2.0000,bgr,44,0.761500
blood-transfusion-service-center,2.0000,uniform,45,0.708750
blood-transfusion-service-center,2.0000,fixed,45,0.723750
blood-transfusion-service-center,2.0000,bgr,45,0.768000
blood-transfusion-service-center,2.0000,uniform,46,0.678750
blood-transfusion-service-center,2.0000,fixed,46,0.778000
blood-transfusion-service-center,2.0000,bgr,46,0.760000
blood-transfusion-service-center,2.0000,uniform,47,0.654250
blood-transfusion-service-center,2.0000,fixed,47,0.760000
blood-transfusion-service-center,2.0000,bgr,47,0.733250
blood-transfusion-service-center,2.0000,uniform,48,0.761000
blood-transfusion-service-center,2.0000,fixed,48,0.705500
blood-transfusion-service-center,2.0000,bgr,48,0.760000
blood-transfusion-service-center,2.0000,uniform,49,0.677500
blood-transfusion-service-center,2.0000,fixed,49,0.674000
blood-transfusion-service-center,2.0000,bgr,49,0.776000
blood-transfusion-service-center,2.0000,uniform,50,0.772000
blood-transfusion-service-center,2.0000,fixed,50,0.733500
blood-transfusion-service-center,2.0000,bgr,50,0.758750
blood-transfusion-service-center,2.0000,uniform,51,0.730750
blood-transfusion-service-center,2.0000,fixed,51,0.664000
blood-transfusion-service-center,2.0000,bgr,51,0.712750
blood-transfusion-service-center,2.0000,uniform,52,0.608750
blood-transfusion-service-center,2.0000,fixed,52,0.751750
blood-transfusion-service-center,2.0000,bgr,52,0.760000
blood-transfusion-service-center,2.0000,uniform,53,0.689000
blood-transfusion-service-center,2.0000,fixed,53,0.713000
blood-transfusion-service-center,2.0000,bgr,53,0.760000
blood-transfusion-service-center,2.0000,uniform,54,0.735750
blood-transfusion-service-center,2.0000,fixed,54,0.763000
blood-transfusion-service-center,2.0000,bgr,54,0.764000
blood-transfusion-service-center,2.0000,uniform,55,0.683500
blood-transfusion-service-center,2.0000,fixed,55,0.697000
blood-transfusion-service-center,2.0000,bgr,55,0.762250
blood-transfusion-service-center,2.0000,uniform,56,0.623500
blood-transfusion-service-center,2.0000,fixed,56,0.758000
blood-transfusion-service-center,2.0000,bgr,56,0.762000
blood-transfusion-service-center,2.0000,uniform,57,0.653250
blood-transfusion-service-center,2.0000,fixed,57,0.660000
blood-transfusion-service-center,2.0000,bgr,57,0.760000
blood-transfusion-service-center,2.0000,uniform,58,0.682500
blood-transfusion-service-center,2.0000,fixed,58,0.615500
blood-transfusion-service-center,2.0000,bgr,58,0.752000
blood-transfusion-service-center,2.0000,uniform,59,0.592500
blood-transfusion-service-center,2.0000,fixed,59,0.700500
blood-transfusion-service-center,2.0000,bgr,59,0.760000
