dataset,target_radius,method,seed,final_rauc
heart-statlog,2.0000,uniform,0,0.740132
heart-statlog,2.0000,fixed,0,0.763158
heart-statlog,2.0000,bgr,0,0.790789
heart-statlog,2.0000,uniform,1,0.835526
heart-statlog,2.0000,fixed,1,0.805263
heart-statlog,2.0000,bgr,1,0.816447
heart-statlog,2.0000,uniform,2,0.696053
heart-statlog,2.0000,fixed,2,0.760526
heart-statlog,2.0000,bgr,2,0.801316
heart-statlog,2.0000,uniform,3,0.644079
heart-statlog,2.0000,fixed,3,0.788816
heart-statlog,2.0000,bgr,3,0.773026
heart-statlog,2.0000,uniform,4,0.863158
heart-statlog,2.0000,fixed,4,0.621053
heart-statlog,2.0000,bgr,4,0.880263
heart-statlog,2.0000,uniform,5,0.798026
heart-statlog,2.0000,fixed,5,0.726974
heart-statlog,2.0000,bgr,5,0.765789
heart-statlog,2.0000,uniform,6,0.735526
heart-statlog,2.0000,fixed,6,0.752632
heart-statlog,2.0000,bgr,6,0.746711
heart-statlog,2.0000,uniform,7,0.836842
heart-statlog,2.0000,fixed,7,0.798684
heart-statlog,2.0000,bgr,7,0.800658
heart-statlog,2.0000,uniform,8,0.747368
heart-statlog,2.0000,fixed,8,0.726974
heart-statlog,2.0000,bgr,8,0.858553
heart-statlog,2.0000,uniform,9,0.732237
heart-statlog,2.0000,fixed,9,0.824342
heart-statlog,2.0000,bgr,9,0.840132
heart-statlog,2.0000,uniform,10,0.813816
heart-statlog,2.0000,fixed,10,0.728947
heart-statlog,2.0000,bgr,10,0.851974
heart-statlog,2.0000,uniform,11,0.790789
heart-statlog,2.0000,fixed,11,0.611842
heart-statlog,2.0000,bgr,11,0.774342
heart-statlog,2.0000,uniform,12,0.746053
heart-statlog,2.0000,fixed,12,0.503289
heart-statlog,2.0000,bgr,12,0.798026
heart-statlog,2.0000,uniform,13,0.722368
heart-statlog,2.0000,fixed,13,0.794079
heart-statlog,2.0000,bgr,13,0.730263
heart-statlog,2.0000,uniform,14,0.730263
heart-statlog,2.0000,fixed,14,0.750658
heart-statlog,2.0000,bgr,14,0.790789
heart-statlog,2.0000,uniform,15,0.834211
heart-statlog,2.0000,fixed,15,0.771711
heart-statlog,2.0000,bgr,15,0.831579
heart-statlog,2.0000,uniform,16,0.681579
heart-statlog,2.0000,fixed,16,0.738158
heart-statlog,2.0000,bgr,16,0.810526
heart-statlog,2.0000,uniform,17,0.769737
heart-statlog,2.0000,fixed,17,0.754605
heart-statlog,2.0000,bgr,17,0.818421
heart-statlog,2.0000,uniform,18,0.671053
heart-statlog,2.0000,fixed,18,0.837500
heart-statlog,2.0000,bgr,18,0.844737
heart-statlog,2.0000,uniform,19,0.773684
heart-statlog,2.0000,fixed,19,0.738158
heart-statlog,2.0000,bgr,19,0.891447
heart-statlog,2.0000,uniform,20,0.733553
heart-statlog,2.0000,fixed,20,0.762500
heart-statlog,2.0000,bgr,20,0.825000
heart-statlog,2.0000,uniform,21,0.830263
heart-statlog,2.0000,fixed,21,0.820395
heart-statlog,2.0000,bgr,21,0.817105
heart-statlog,2.0000,uniform,22,0.797368
heart-statlog,2.0000,fixed,22,0.761184
heart-statlog,2.0000,bgr,22,0.817105
heart-statlog,2.0000,uniform,23,0.715132
heart-statlog,2.0000,fixed,23,0.794737
heart-statlog,2.0000,bgr,23,0.801974
heart-statlog,2.0000,uniform,24,0.851974
heart-statlog,2.0000,fixed,24,0.801974
heart-statlog,2.0000,bgr,24,0.794737
heart-statlog,2.0000,uniform,25,0.838158
heart-statlog,2.0000,fixed,25,0.788816
heart-statlog,2.0000,bgr,25,0.853289
heart-statlog,2.0000,uniform,26,0.753947
heart-statlog,2.0000,fixed,26,0.780921
heart-statlog,2.0000,bgr,26,0.788158
heart-statlog,2.0000,uniform,27,0.765132
heart-statlog,2.0000,fixed,27,0.680263
heart-statlog,2.0000,bgr,27,0.751316
heart-statlog,2.0000,uniform,28,0.750658
