dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
Bioresponse,2.0000,uniform,30,0.658042,0.000000,0,0,30,reject-scout
Bioresponse,2.0000,fixed,30,0.658308,0.000267,17,13,0,reject-scout
Bioresponse,2.0000,bgr,30,0.572708,-0.085333,3,27,0,reject-scout
MagicTelescope,2.0000,uniform,30,0.688425,0.000000,0,0,30,reject-scout
MagicTelescope,2.0000,fixed,30,0.682700,-0.005725,16,14,0,reject-scout
MagicTelescope,2.0000,bgr,30,0.739492,0.051067,25,5,0,reject-scout
breast-w,2.0000,uniform,30,0.955179,0.000000,0,0,30,reject-scout
breast-w,2.0000,fixed,30,0.954209,-0.000969,12,18,0,reject-scout
breast-w,2.0000,bgr,30,0.958622,0.003444,19,11,0,reject-scout
eeg-eye-state,2.0000,uniform,30,0.528067,0.000000,0,0,30,reject-scout
eeg-eye-state,2.0000,fixed,30,0.522367,-0.005700,11,19,0,reject-scout
eeg-eye-state,2.0000,bgr,30,0.547475,0.019408,17,13,0,reject-scout
haberman,2.0000,uniform,30,0.615471,0.000000,0,0,30,reject-scout
haberman,2.0000,fixed,30,0.664410,0.048939,24,6,0,reject-scout
haberman,2.0000,bgr,30,0.725810,0.110340,29,0,1,candidate-for-preregistration
heart-statlog,2.0000,uniform,30,0.766250,0.000000,0,0,30,reject-scout
heart-statlog,2.0000,fixed,30,0.754276,-0.011974,14,16,0,reject-scout
heart-statlog,2.0000,bgr,30,0.807456,0.041206,21,9,0,reject-scout
mammography,2.0000,uniform,30,0.966908,0.000000,0,0,30,reject-scout
mammography,2.0000,fixed,30,0.968858,0.001950,14,16,0,reject-scout
mammography,2.0000,bgr,30,0.971883,0.004975,17,13,0,reject-scout
ozone-level-8hr,2.0000,uniform,30,0.895758,0.000000,0,0,30,reject-scout
ozone-level-8hr,2.0000,fixed,30,0.881308,-0.014450,11,19,0,reject-scout
ozone-level-8hr,2.0000,bgr,30,0.736083,-0.159675,5,25,0,reject-scout
qsar-biodeg,2.0000,uniform,30,0.789433,0.000000,0,0,30,reject-scout
qsar-biodeg,2.0000,fixed,30,0.791750,0.002317,15,15,0,reject-scout
qsar-biodeg,2.0000,bgr,30,0.787742,-0.001692,14,16,0,reject-scout
steel-plates-fault,2.0000,uniform,30,0.953775,0.000000,0,0,30,reject-scout
steel-plates-fault,2.0000,fixed,30,0.936808,-0.016967,10,20,0,reject-scout
steel-plates-fault,2.0000,bgr,30,0.908983,-0.044792,3,27,0,reject-scout
