dataset,target_radius,method,seed,final_rauc
heart-statlog,2.0000,uniform,30,0.693421
heart-statlog,2.0000,fixed,30,0.721711
heart-statlog,2.0000,bgr,30,0.862500
heart-statlog,2.0000,uniform,31,0.790789
heart-statlog,2.0000,fixed,31,0.772368
heart-statlog,2.0000,bgr,31,0.787500
heart-statlog,2.0000,uniform,32,0.796711
heart-statlog,2.0000,fixed,32,0.779605
heart-statlog,2.0000,bgr,32,0.799342
heart-statlog,2.0000,uniform,33,0.800000
heart-statlog,2.0000,fixed,33,0.705263
heart-statlog,2.0000,bgr,33,0.823026
heart-statlog,2.0000,uniform,34,0.748026
heart-statlog,2.0000,fixed,34,0.809211
heart-statlog,2.0000,bgr,34,0.836842
heart-statlog,2.0000,uniform,35,0.686184
heart-statlog,2.0000,fixed,35,0.764474
heart-statlog,2.0000,bgr,35,0.850000
heart-statlog,2.0000,uniform,36,0.669737
heart-statlog,2.0000,fixed,36,0.694737
heart-statlog,2.0000,bgr,36,0.767763
heart-statlog,2.0000,uniform,37,0.765132
heart-statlog,2.0000,fixed,37,0.646053
heart-statlog,2.0000,bgr,37,0.792105
heart-statlog,2.0000,uniform,38,0.737500
heart-statlog,2.0000,fixed,38,0.825658
heart-statlog,2.0000,bgr,38,0.796053
heart-statlog,2.0000,uniform,39,0.664474
heart-statlog,2.0000,fixed,39,0.782895
heart-statlog,2.0000,bgr,39,0.742105
heart-statlog,2.0000,uniform,40,0.786184
heart-statlog,2.0000,fixed,40,0.662500
heart-statlog,2.0000,bgr,40,0.757895
heart-statlog,2.0000,uniform,41,0.771711
heart-statlog,2.0000,fixed,41,0.680263
heart-statlog,2.0000,bgr,41,0.692763
heart-statlog,2.0000,uniform,42,0.846053
heart-statlog,2.0000,fixed,42,0.702632
heart-statlog,2.0000,bgr,42,0.840789
heart-statlog,2.0000,uniform,43,0.750658
heart-statlog,2.0000,fixed,43,0.728947
heart-statlog,2.0000,bgr,43,0.701974
heart-statlog,2.0000,uniform,44,0.634211
heart-statlog,2.0000,fixed,44,0.762500
heart-statlog,2.0000,bgr,44,0.786842
heart-statlog,2.0000,uniform,45,0.815789
heart-statlog,2.0000,fixed,45,0.611842
heart-statlog,2.0000,bgr,45,0.844079
heart-statlog,2.0000,uniform,46,0.807237
heart-statlog,2.0000,fixed,46,0.834211
heart-statlog,2.0000,bgr,46,0.813158
heart-statlog,2.0000,uniform,47,0.771053
