dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
Bioresponse,2.0000,uniform,30,0.651900,0.000000,0,0,30,reject-scout
Bioresponse,2.0000,fixed,30,0.639442,-0.012458,14,16,0,reject-scout
Bioresponse,2.0000,bgr,30,0.603225,-0.048675,6,24,0,reject-scout
MagicTelescope,2.0000,uniform,30,0.669442,0.000000,0,0,30,reject-scout
MagicTelescope,2.0000,fixed,30,0.678008,0.008567,15,15,0,reject-scout
MagicTelescope,2.0000,bgr,30,0.733908,0.064467,26,4,0,reject-scout
breast-w,2.0000,uniform,30,0.953784,0.000000,0,0,30,reject-scout
breast-w,2.0000,fixed,30,0.954830,0.001046,14,15,1,reject-scout
breast-w,2.0000,bgr,30,0.959252,0.005468,20,10,0,reject-scout
eeg-eye-state,2.0000,uniform,30,0.515950,0.000000,0,0,30,reject-scout
eeg-eye-state,2.0000,fixed,30,0.521167,0.005217,15,15,0,reject-scout
eeg-eye-state,2.0000,bgr,30,0.542892,0.026942,20,10,0,reject-scout
haberman,2.0000,uniform,30,0.632658,0.000000,0,0,30,reject-scout
haberman,2.0000,fixed,30,0.669020,0.036362,19,11,0,reject-scout
haberman,2.0000,bgr,30,0.727488,0.094830,27,3,0,reject-scout
heart-statlog,2.0000,uniform,30,0.770680,0.000000,0,0,30,reject-scout
heart-statlog,2.0000,fixed,30,0.756447,-0.014232,12,18,0,reject-scout
heart-statlog,2.0000,bgr,30,0.797851,0.027171,19,11,0,reject-scout
mammography,2.0000,uniform,30,0.967725,0.000000,0,0,30,reject-scout
mammography,2.0000,fixed,30,0.972717,0.004992,17,11,2,reject-scout
mammography,2.0000,bgr,30,0.976617,0.008892,16,10,4,reject-scout
ozone-level-8hr,2.0000,uniform,30,0.888200,0.000000,0,0,30,reject-scout
ozone-level-8hr,2.0000,fixed,30,0.905800,0.017600,18,12,0,reject-scout
ozone-level-8hr,2.0000,bgr,30,0.776392,-0.111808,7,23,0,reject-scout
qsar-biodeg,2.0000,uniform,30,0.796858,0.000000,0,0,30,reject-scout
qsar-biodeg,2.0000,fixed,30,0.795792,-0.001067,15,15,0,reject-scout
qsar-biodeg,2.0000,bgr,30,0.795992,-0.000867,15,15,0,reject-scout
steel-plates-fault,2.0000,uniform,30,0.952508,0.000000,0,0,30,reject-scout
steel-plates-fault,2.0000,fixed,30,0.952225,-0.000283,13,17,0,reject-scout
steel-plates-fault,2.0000,bgr,30,0.905992,-0.046517,5,25,0,reject-scout
