dataset,target_radius,method,seed,final_rauc
MagicTelescope,1.0000,uniform,0,0.676250
MagicTelescope,1.0000,fixed,0,0.727750
MagicTelescope,1.0000,bgr,0,0.700750
MagicTelescope,1.0000,uniform,1,0.647750
MagicTelescope,1.0000,fixed,1,0.682250
MagicTelescope,1.0000,bgr,1,0.719000
MagicTelescope,1.0000,uniform,2,0.619000
MagicTelescope,1.0000,fixed,2,0.697750
MagicTelescope,1.0000,bgr,2,0.745000
MagicTelescope,1.0000,uniform,3,0.689000
MagicTelescope,1.0000,fixed,3,0.666250
MagicTelescope,1.0000,bgr,3,0.624000
MagicTelescope,1.0000,uniform,4,0.664250
MagicTelescope,1.0000,fixed,4,0.712250
MagicTelescope,1.0000,bgr,4,0.754750
MagicTelescope,1.0000,uniform,5,0.694000
MagicTelescope,1.0000,fixed,5,0.658750
MagicTelescope,1.0000,bgr,5,0.722750
MagicTelescope,1.0000,uniform,6,0.666500
MagicTelescope,1.0000,fixed,6,0.743500
MagicTelescope,1.0000,bgr,6,0.678250
MagicTelescope,1.0000,uniform,7,0.775250
MagicTelescope,1.0000,fixed,7,0.773000
MagicTelescope,1.0000,bgr,7,0.757250
MagicTelescope,1.0000,uniform,8,0.740250
MagicTelescope,1.0000,fixed,8,0.672250
MagicTelescope,1.0000,bgr,8,0.722250
MagicTelescope,1.0000,uniform,9,0.733750
MagicTelescope,1.0000,fixed,9,0.743500
MagicTelescope,1.0000,bgr,9,0.656750
MagicTelescope,1.0000,uniform,10,0.666500
MagicTelescope,1.0000,fixed,10,0.592250
MagicTelescope,1.0000,bgr,10,0.712000
MagicTelescope,1.0000,uniform,11,0.735750
MagicTelescope,1.0000,fixed,11,0.698750
MagicTelescope,1.0000,bgr,11,0.583250
MagicTelescope,1.0000,uniform,12,0.726750
MagicTelescope,1.0000,fixed,12,0.710250
MagicTelescope,1.0000,bgr,12,0.694250
MagicTelescope,1.0000,uniform,13,0.688000
MagicTelescope,1.0000,fixed,13,0.737500
MagicTelescope,1.0000,bgr,13,0.720000
MagicTelescope,1.0000,uniform,14,0.718500
MagicTelescope,1.0000,fixed,14,0.709750
MagicTelescope,1.0000,bgr,14,0.789500
MagicTelescope,1.0000,uniform,15,0.747750
MagicTelescope,1.0000,fixed,15,0.714500
MagicTelescope,1.0000,bgr,15,0.750250
MagicTelescope,1.0000,uniform,16,0.625250
MagicTelescope,1.0000,fixed,16,0.710250
MagicTelescope,1.0000,bgr,16,0.621000
MagicTelescope,1.0000,uniform,17,0.698500
MagicTelescope,1.0000,fixed,17,0.714500
MagicTelescope,1.0000,bgr,17,0.691250
MagicTelescope,1.0000,uniform,18,0.700750
MagicTelescope,1.0000,fixed,18,0.745500
MagicTelescope,1.0000,bgr,18,0.538500
MagicTelescope,1.0000,uniform,19,0.650000
MagicTelescope,1.0000,fixed,19,0.676750
MagicTelescope,1.0000,bgr,19,0.663500
MagicTelescope,1.0000,uniform,20,0.673250
MagicTelescope,1.0000,fixed,20,0.688250
MagicTelescope,1.0000,bgr,20,0.715500
MagicTelescope,1.0000,uniform,21,0.718500
MagicTelescope,1.0000,fixed,21,0.766750
MagicTelescope,1.0000,bgr,21,0.789000
MagicTelescope,1.0000,uniform,22,0.750000
MagicTelescope,1.0000,fixed,22,0.653250
MagicTelescope,1.0000,bgr,22,0.661000
MagicTelescope,1.0000,uniform,23,0.605000
MagicTelescope,1.0000,fixed,23,0.635500
MagicTelescope,1.0000,bgr,23,0.647750
MagicTelescope,1.0000,uniform,24,0.713500
MagicTelescope,1.0000,fixed,24,0.657000
MagicTelescope,1.0000,bgr,24,0.701250
MagicTelescope,1.0000,uniform,25,0.572000
MagicTelescope,1.0000,fixed,25,0.705500
MagicTelescope,1.0000,bgr,25,0.727000
MagicTelescope,1.0000,uniform,26,0.747000
MagicTelescope,1.0000,fixed,26,0.637250
MagicTelescope,1.0000,bgr,26,0.649750
MagicTelescope,1.0000,uniform,27,0.663250
MagicTelescope,1.0000,fixed,27,0.733750
MagicTelescope,1.0000,bgr,27,0.729000
MagicTelescope,1.0000,uniform,28,0.718500
MagicTelescope,1.0000,fixed,28,0.661250
MagicTelescope,1.0000,bgr,28,0.579750
MagicTelescope,1.0000,uniform,29,0.628000
MagicTelescope,1.0000,fixed,29,0.588250
MagicTelescope,1.0000,bgr,29,0.735500
MagicTelescope,1.5000,uniform,0,0.676250
MagicTelescope,1.5000,fixed,0,0.698250
MagicTelescope,1.5000,bgr,0,0.767250
MagicTelescope,1.5000,uniform,1,0.647750
MagicTelescope,1.5000,fixed,1,0.661500
MagicTelescope,1.5000,bgr,1,0.729000
MagicTelescope,1.5000,uniform,2,0.619000
MagicTelescope,1.5000,fixed,2,0.636750
MagicTelescope,1.5000,bgr,2,0.716500
