dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
MagicTelescope,1.0000,uniform,30,0.688425,0.000000,0,0,30,reject-scout
MagicTelescope,1.0000,fixed,30,0.693800,0.005375,16,14,0,reject-scout
MagicTelescope,1.0000,bgr,30,0.692658,0.004233,17,13,0,reject-scout
MagicTelescope,1.5000,uniform,30,0.688425,0.000000,0,0,30,reject-scout
MagicTelescope,1.5000,fixed,30,0.698733,0.010308,17,13,0,reject-scout
MagicTelescope,1.5000,bgr,30,0.732383,0.043958,24,6,0,reject-scout
MagicTelescope,2.0000,uniform,30,0.688425,0.000000,0,0,30,reject-scout
MagicTelescope,2.0000,fixed,30,0.682700,-0.005725,16,14,0,reject-scout
MagicTelescope,2.0000,bgr,30,0.739492,0.051067,25,5,0,reject-scout
haberman,1.0000,uniform,30,0.615471,0.000000,0,0,30,reject-scout
haberman,1.0000,fixed,30,0.622396,0.006925,16,14,0,reject-scout
haberman,1.0000,bgr,30,0.648978,0.033507,20,10,0,reject-scout
haberman,1.5000,uniform,30,0.615471,0.000000,0,0,30,reject-scout
haberman,1.5000,fixed,30,0.652874,0.037404,22,8,0,reject-scout
haberman,1.5000,bgr,30,0.706038,0.090567,26,3,1,reject-scout
haberman,2.0000,uniform,30,0.615471,0.000000,0,0,30,reject-scout
haberman,2.0000,fixed,30,0.664410,0.048939,24,6,0,reject-scout
haberman,2.0000,bgr,30,0.725810,0.110340,29,0,1,candidate-for-preregistration
