dataset,target_radius,method,seed,final_rauc
MagicTelescope,1.0000,uniform,30,0.617250
MagicTelescope,1.0000,fixed,30,0.570750
MagicTelescope,1.0000,bgr,30,0.715750
MagicTelescope,1.0000,uniform,31,0.634500
MagicTelescope,1.0000,fixed,31,0.594000
MagicTelescope,1.0000,bgr,31,0.692250
MagicTelescope,1.0000,uniform,32,0.699500
MagicTelescope,1.0000,fixed,32,0.662250
MagicTelescope,1.0000,bgr,32,0.755500
MagicTelescope,1.0000,uniform,33,0.712500
MagicTelescope,1.0000,fixed,33,0.709250
MagicTelescope,1.0000,bgr,33,0.728250
MagicTelescope,1.0000,uniform,34,0.562250
MagicTelescope,1.0000,fixed,34,0.610000
MagicTelescope,1.0000,bgr,34,0.500750
MagicTelescope,1.0000,uniform,35,0.665000
MagicTelescope,1.0000,fixed,35,0.642000
MagicTelescope,1.0000,bgr,35,0.676500
MagicTelescope,1.0000,uniform,36,0.714250
MagicTelescope,1.0000,fixed,36,0.730750
MagicTelescope,1.0000,bgr,36,0.686500
MagicTelescope,1.0000,uniform,37,0.604250
MagicTelescope,1.0000,fixed,37,0.724500
MagicTelescope,1.0000,bgr,37,0.554500
MagicTelescope,1.0000,uniform,38,0.635250
MagicTelescope,1.0000,fixed,38,0.585750
MagicTelescope,1.0000,bgr,38,0.777000
MagicTelescope,1.0000,uniform,39,0.705750
MagicTelescope,1.0000,fixed,39,0.739000
MagicTelescope,1.0000,bgr,39,0.706500
MagicTelescope,1.0000,uniform,40,0.604250
MagicTelescope,1.0000,fixed,40,0.642750
MagicTelescope,1.0000,bgr,40,0.773250
MagicTelescope,1.0000,uniform,41,0.659000
MagicTelescope,1.0000,fixed,41,0.797250
MagicTelescope,1.0000,bgr,41,0.807500
MagicTelescope,1.0000,uniform,42,0.728000
MagicTelescope,1.0000,fixed,42,0.674750
MagicTelescope,1.0000,bgr,42,0.692500
MagicTelescope,1.0000,uniform,43,0.700750
MagicTelescope,1.0000,fixed,43,0.629250
MagicTelescope,1.0000,bgr,43,0.610000
MagicTelescope,1.0000,uniform,44,0.686500
MagicTelescope,1.0000,fixed,44,0.644750
MagicTelescope,1.0000,bgr,44,0.584000
MagicTelescope,1.0000,uniform,45,0.717250
MagicTelescope,1.0000,fixed,45,0.744000
MagicTelescope,1.0000,bgr,45,0.673000
MagicTelescope,1.0000,uniform,46,0.626000
MagicTelescope,1.0000,fixed,46,0.753000
MagicTelescope,1.0000,bgr,46,0.739000
MagicTelescope,1.0000,uniform,47,0.681500
MagicTelescope,1.0000,fixed,47,0.694750
MagicTelescope,1.0000,bgr,47,0.712250
MagicTelescope,1.0000,uniform,48,0.671250
MagicTelescope,1.0000,fixed,48,0.636250
MagicTelescope,1.0000,bgr,48,0.686250
MagicTelescope,1.0000,uniform,49,0.688750
MagicTelescope,1.0000,fixed,49,0.689000
MagicTelescope,1.0000,bgr,49,0.709250
MagicTelescope,1.0000,uniform,50,0.751500
MagicTelescope,1.0000,fixed,50,0.681750
MagicTelescope,1.0000,bgr,50,0.773250
MagicTelescope,1.0000,uniform,51,0.683750
MagicTelescope,1.0000,fixed,51,0.694000
MagicTelescope,1.0000,bgr,51,0.670500
MagicTelescope,1.0000,uniform,52,0.577500
MagicTelescope,1.0000,fixed,52,0.664000
MagicTelescope,1.0000,bgr,52,0.651250
MagicTelescope,1.0000,uniform,53,0.724750
MagicTelescope,1.0000,fixed,53,0.606250
MagicTelescope,1.0000,bgr,53,0.700250
MagicTelescope,1.0000,uniform,54,0.739750
MagicTelescope,1.0000,fixed,54,0.788750
MagicTelescope,1.0000,bgr,54,0.658000
MagicTelescope,1.0000,uniform,55,0.662500
MagicTelescope,1.0000,fixed,55,0.661500
MagicTelescope,1.0000,bgr,55,0.756500
MagicTelescope,1.0000,uniform,56,0.602250
MagicTelescope,1.0000,fixed,56,0.581000
MagicTelescope,1.0000,bgr,56,0.772250
MagicTelescope,1.0000,uniform,57,0.646500
MagicTelescope,1.0000,fixed,57,0.694000
MagicTelescope,1.0000,bgr,57,0.656250
MagicTelescope,1.0000,uniform,58,0.780000
MagicTelescope,1.0000,fixed,58,0.740250
MagicTelescope,1.0000,bgr,58,0.697000
MagicTelescope,1.0000,uniform,59,0.601000
MagicTelescope,1.0000,fixed,59,0.750000
MagicTelescope,1.0000,bgr,59,0.703250
MagicTelescope,1.5000,uniform,30,0.617250
MagicTelescope,1.5000,fixed,30,0.540000
MagicTelescope,1.5000,bgr,30,0.723500
MagicTelescope,1.5000,uniform,31,0.634500
MagicTelescope,1.5000,fixed,31,0.600000
MagicTelescope,1.5000,bgr,31,0.638750
MagicTelescope,1.5000,uniform,32,0.699500
MagicTelescope,1.5000,fixed,32,0.699750
MagicTelescope,1.5000,bgr,32,0.712750
MagicTelescope,1.5000,uniform,33,0.712500
MagicTelescope,1.5000,fixed,33,0.697250
MagicTelescope,1.5000,bgr,33,0.730500
MagicTelescope,1.5000,uniform,34,0.562250
MagicTelescope,1.5000,fixed,34,0.588250
MagicTelescope,1.5000,bgr,34,0.724500
MagicTelescope,1.5000,uniform,35,0.665000
MagicTelescope,1.5000,fixed,35,0.682500
MagicTelescope,1.5000,bgr,35,0.719000
MagicTelescope,1.5000,uniform,36,0.714250
MagicTelescope,1.5000,fixed,36,0.725000
MagicTelescope,1.5000,bgr,36,0.714750
MagicTelescope,1.5000,uniform,37,0.604250
MagicTelescope,1.5000,fixed,37,0.706000
MagicTelescope,1.5000,bgr,37,0.738000
MagicTelescope,1.5000,uniform,38,0.635250
MagicTelescope,1.5000,fixed,38,0.627500
MagicTelescope,1.5000,bgr,38,0.716750
MagicTelescope,1.5000,uniform,39,0.705750
MagicTelescope,1.5000,fixed,39,0.732250
MagicTelescope,1.5000,bgr,39,0.767000
MagicTelescope,1.5000,uniform,40,0.604250
MagicTelescope,1.5000,fixed,40,0.634750
MagicTelescope,1.5000,bgr,40,0.757250
MagicTelescope,1.5000,uniform,41,0.659000
MagicTelescope,1.5000,fixed,41,0.809750
MagicTelescope,1.5000,bgr,41,0.779000
MagicTelescope,1.5000,uniform,42,0.728000
MagicTelescope,1.5000,fixed,42,0.676500
MagicTelescope,1.5000,bgr,42,0.664750
MagicTelescope,1.5000,uniform,43,0.700750
MagicTelescope,1.5000,fixed,43,0.589750
MagicTelescope,1.5000,bgr,43,0.700000
MagicTelescope,1.5000,uniform,44,0.686500
MagicTelescope,1.5000,fixed,44,0.612000
MagicTelescope,1.5000,bgr,44,0.604750
MagicTelescope,1.5000,uniform,45,0.717250
MagicTelescope,1.5000,fixed,45,0.666750
MagicTelescope,1.5000,bgr,45,0.690250
MagicTelescope,1.5000,uniform,46,0.626000
MagicTelescope,1.5000,fixed,46,0.695750
MagicTelescope,1.5000,bgr,46,0.766250
MagicTelescope,1.5000,uniform,47,0.681500
MagicTelescope,1.5000,fixed,47,0.710500
MagicTelescope,1.5000,bgr,47,0.735000
MagicTelescope,1.5000,uniform,48,0.671250
MagicTelescope,1.5000,fixed,48,0.677000
MagicTelescope,1.5000,bgr,48,0.686750
MagicTelescope,1.5000,uniform,49,0.688750
MagicTelescope,1.5000,fixed,49,0.723750
MagicTelescope,1.5000,bgr,49,0.666750
MagicTelescope,1.5000,uniform,50,0.751500
MagicTelescope,1.5000,fixed,50,0.691750
MagicTelescope,1.5000,bgr,50,0.727500
MagicTelescope,1.5000,uniform,51,0.683750
MagicTelescope,1.5000,fixed,51,0.674000
MagicTelescope,1.5000,bgr,51,0.718750
MagicTelescope,1.5000,uniform,52,0.577500
MagicTelescope,1.5000,fixed,52,0.694750
MagicTelescope,1.5000,bgr,52,0.629000
MagicTelescope,1.5000,uniform,53,0.724750
MagicTelescope,1.5000,fixed,53,0.666250
MagicTelescope,1.5000,bgr,53,0.733500
MagicTelescope,1.5000,uniform,54,0.739750
MagicTelescope,1.5000,fixed,54,0.759750
MagicTelescope,1.5000,bgr,54,0.722250
MagicTelescope,1.5000,uniform,55,0.662500
MagicTelescope,1.5000,fixed,55,0.622000
MagicTelescope,1.5000,bgr,55,0.766750
MagicTelescope,1.5000,uniform,56,0.602250
MagicTelescope,1.5000,fixed,56,0.406750
MagicTelescope,1.5000,bgr,56,0.750250
MagicTelescope,1.5000,uniform,57,0.646500
MagicTelescope,1.5000,fixed,57,0.666250
MagicTelescope,1.5000,bgr,57,0.787000
MagicTelescope,1.5000,uniform,58,0.780000
MagicTelescope,1.5000,fixed,58,0.702500
MagicTelescope,1.5000,bgr,58,0.779750
MagicTelescope,1.5000,uniform,59,0.601000
MagicTelescope,1.5000,fixed,59,0.706500
MagicTelescope,1.5000,bgr,59,0.728750
MagicTelescope,2.0000,uniform,30,0.617250
MagicTelescope,2.0000,fixed,30,0.519500
MagicTelescope,2.0000,bgr,30,0.728250
MagicTelescope,2.0000,uniform,31,0.634500
MagicTelescope,2.0000,fixed,31,0.574000
MagicTelescope,2.0000,bgr,31,0.628750
MagicTelescope,2.0000,uniform,32,0.699500
MagicTelescope,2.0000,fixed,32,0.729250
MagicTelescope,2.0000,bgr,32,0.731500
MagicTelescope,2.0000,uniform,33,0.712500
MagicTelescope,2.0000,fixed,33,0.713000
MagicTelescope,2.0000,bgr,33,0.752750
MagicTelescope,2.0000,uniform,34,0.562250
MagicTelescope,2.0000,fixed,34,0.621000
MagicTelescope,2.0000,bgr,34,0.710500
MagicTelescope,2.0000,uniform,35,0.665000
MagicTelescope,2.0000,fixed,35,0.671500
MagicTelescope,2.0000,bgr,35,0.714500
MagicTelescope,2.0000,uniform,36,0.714250
MagicTelescope,2.0000,fixed,36,0.717250
MagicTelescope,2.0000,bgr,36,0.746000
MagicTelescope,2.0000,uniform,37,0.604250
MagicTelescope,2.0000,fixed,37,0.733750
MagicTelescope,2.0000,bgr,37,0.767750
MagicTelescope,2.0000,uniform,38,0.635250
MagicTelescope,2.0000,fixed,38,0.708000
MagicTelescope,2.0000,bgr,38,0.774250
MagicTelescope,2.0000,uniform,39,0.705750
MagicTelescope,2.0000,fixed,39,0.692000
MagicTelescope,2.0000,bgr,39,0.743250
MagicTelescope,2.0000,uniform,40,0.604250
MagicTelescope,2.0000,fixed,40,0.725500
MagicTelescope,2.0000,bgr,40,0.758250
MagicTelescope,2.0000,uniform,41,0.659000
MagicTelescope,2.0000,fixed,41,0.780750
MagicTelescope,2.0000,bgr,41,0.771000
MagicTelescope,2.0000,uniform,42,0.728000
MagicTelescope,2.0000,fixed,42,0.703750
MagicTelescope,2.0000,bgr,42,0.740500
MagicTelescope,2.0000,uniform,43,0.700750
MagicTelescope,2.0000,fixed,43,0.653000
MagicTelescope,2.0000,bgr,43,0.751250
MagicTelescope,2.0000,uniform,44,0.686500
MagicTelescope,2.0000,fixed,44,0.616250
MagicTelescope,2.0000,bgr,44,0.797000
MagicTelescope,2.0000,uniform,45,0.717250
MagicTelescope,2.0000,fixed,45,0.674750
MagicTelescope,2.0000,bgr,45,0.734750
MagicTelescope,2.0000,uniform,46,0.626000
MagicTelescope,2.0000,fixed,46,0.692500
MagicTelescope,2.0000,bgr,46,0.725250
MagicTelescope,2.0000,uniform,47,0.681500
MagicTelescope,2.0000,fixed,47,0.680500
MagicTelescope,2.0000,bgr,47,0.745500
MagicTelescope,2.0000,uniform,48,0.671250
MagicTelescope,2.0000,fixed,48,0.628250
MagicTelescope,2.0000,bgr,48,0.700500
MagicTelescope,2.0000,uniform,49,0.688750
MagicTelescope,2.0000,fixed,49,0.692750
MagicTelescope,2.0000,bgr,49,0.698000
MagicTelescope,2.0000,uniform,50,0.751500
MagicTelescope,2.0000,fixed,50,0.700500
MagicTelescope,2.0000,bgr,50,0.724250
MagicTelescope,2.0000,uniform,51,0.683750
MagicTelescope,2.0000,fixed,51,0.700250
MagicTelescope,2.0000,bgr,51,0.731750
MagicTelescope,2.0000,uniform,52,0.577500
MagicTelescope,2.0000,fixed,52,0.753250
MagicTelescope,2.0000,bgr,52,0.729500
MagicTelescope,2.0000,uniform,53,0.724750
MagicTelescope,2.0000,fixed,53,0.670500
MagicTelescope,2.0000,bgr,53,0.634750
