dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
MagicTelescope,1.0000,uniform,30,0.669442,0.000000,0,0,30,reject-scout
MagicTelescope,1.0000,fixed,30,0.677850,0.008408,15,15,0,reject-scout
MagicTelescope,1.0000,bgr,30,0.693967,0.024525,19,11,0,reject-scout
MagicTelescope,1.5000,uniform,30,0.669442,0.000000,0,0,30,reject-scout
MagicTelescope,1.5000,fixed,30,0.666183,-0.003258,16,14,0,reject-scout
MagicTelescope,1.5000,bgr,30,0.719325,0.049883,22,8,0,reject-scout
MagicTelescope,2.0000,uniform,30,0.669442,0.000000,0,0,30,reject-scout
MagicTelescope,2.0000,fixed,30,0.678008,0.008567,15,15,0,reject-scout
MagicTelescope,2.0000,bgr,30,0.733908,0.064467,26,4,0,reject-scout
haberman,1.0000,uniform,30,0.632658,0.000000,0,0,30,reject-scout
haberman,1.0000,fixed,30,0.652662,0.020004,19,11,0,reject-scout
haberman,1.0000,bgr,30,0.630633,-0.002025,13,17,0,reject-scout
haberman,1.5000,uniform,30,0.632658,0.000000,0,0,30,reject-scout
haberman,1.5000,fixed,30,0.665837,0.033179,18,12,0,reject-scout
haberman,1.5000,bgr,30,0.720660,0.088002,27,3,0,reject-scout
haberman,2.0000,uniform,30,0.632658,0.000000,0,0,30,reject-scout
haberman,2.0000,fixed,30,0.669020,0.036362,19,11,0,reject-scout
haberman,2.0000,bgr,30,0.727488,0.094830,27,3,0,reject-scout
