dataset,target_radius,method,seed,final_rauc
diabetes,2.0000,uniform,0,0.707750
diabetes,2.0000,fixed,0,0.727000
diabetes,2.0000,bgr,0,0.734750
diabetes,2.0000,uniform,1,0.676500
diabetes,2.0000,fixed,1,0.684750
diabetes,2.0000,bgr,1,0.724500
diabetes,2.0000,uniform,2,0.671750
diabetes,2.0000,fixed,2,0.708250
diabetes,2.0000,bgr,2,0.755500
diabetes,2.0000,uniform,3,0.662750
diabetes,2.0000,fixed,3,0.679750
diabetes,2.0000,bgr,3,0.746000
diabetes,2.0000,uniform,4,0.643750
diabetes,2.0000,fixed,4,0.704500
diabetes,2.0000,bgr,4,0.691000
diabetes,2.0000,uniform,5,0.636500
diabetes,2.0000,fixed,5,0.707500
diabetes,2.0000,bgr,5,0.659000
diabetes,2.0000,uniform,6,0.742000
diabetes,2.0000,fixed,6,0.689750
diabetes,2.0000,bgr,6,0.699250
diabetes,2.0000,uniform,7,0.663750
diabetes,2.0000,fixed,7,0.668500
diabetes,2.0000,bgr,7,0.665750
diabetes,2.0000,uniform,8,0.708250
diabetes,2.0000,fixed,8,0.628250
diabetes,2.0000,bgr,8,0.687500
diabetes,2.0000,uniform,9,0.706250
diabetes,2.0000,fixed,9,0.598250
diabetes,2.0000,bgr,9,0.745000
diabetes,2.0000,uniform,10,0.633500
diabetes,2.0000,fixed,10,0.739750
diabetes,2.0000,bgr,10,0.680500
diabetes,2.0000,uniform,11,0.722750
diabetes,2.0000,fixed,11,0.613000
diabetes,2.0000,bgr,11,0.734500
diabetes,2.0000,uniform,12,0.696000
diabetes,2.0000,fixed,12,0.672250
diabetes,2.0000,bgr,12,0.726000
diabetes,2.0000,uniform,13,0.662750
diabetes,2.0000,fixed,13,0.655500
diabetes,2.0000,bgr,13,0.708500
diabetes,2.0000,uniform,14,0.636500
diabetes,2.0000,fixed,14,0.683500
diabetes,2.0000,bgr,14,0.660000
diabetes,2.0000,uniform,15,0.462000
diabetes,2.0000,fixed,15,0.644250
diabetes,2.0000,bgr,15,0.741250
diabetes,2.0000,uniform,16,0.649250
diabetes,2.0000,fixed,16,0.688750
diabetes,2.0000,bgr,16,0.655250
diabetes,2.0000,uniform,17,0.732500
diabetes,2.0000,fixed,17,0.630500
diabetes,2.0000,bgr,17,0.729750
diabetes,2.0000,uniform,18,0.717000
diabetes,2.0000,fixed,18,0.689500
diabetes,2.0000,bgr,18,0.676000
diabetes,2.0000,uniform,19,0.682500
diabetes,2.0000,fixed,19,0.677750
diabetes,2.0000,bgr,19,0.652500
diabetes,2.0000,uniform,20,0.739250
diabetes,2.0000,fixed,20,0.654500
diabetes,2.0000,bgr,20,0.783250
diabetes,2.0000,uniform,21,0.556750
diabetes,2.0000,fixed,21,0.669500
diabetes,2.0000,bgr,21,0.677250
diabetes,2.0000,uniform,22,0.674750
diabetes,2.0000,fixed,22,0.747500
diabetes,2.0000,bgr,22,0.665000
diabetes,2.0000,uniform,23,0.688750
diabetes,2.0000,fixed,23,0.683000
diabetes,2.0000,bgr,23,0.708500
diabetes,2.0000,uniform,24,0.679500
diabetes,2.0000,fixed,24,0.717500
diabetes,2.0000,bgr,24,0.693750
diabetes,2.0000,uniform,25,0.645250
diabetes,2.0000,fixed,25,0.617500
diabetes,2.0000,bgr,25,0.696250
diabetes,2.0000,uniform,26,0.669500
diabetes,2.0000,fixed,26,0.658750
diabetes,2.0000,bgr,26,0.699000
diabetes,2.0000,uniform,27,0.630750
diabetes,2.0000,fixed,27,0.698250
diabetes,2.0000,bgr,27,0.692500
diabetes,2.0000,uniform,28,0.683000
diabetes,2.0000,fixed,28,0.634500
diabetes,2.0000,bgr,28,0.755000
diabetes,2.0000,uniform,29,0.685250
diabetes,2.0000,fixed,29,0.705250
diabetes,2.0000,bgr,29,0.742750
