dataset,target_radius,method,seed,final_rauc
diabetes,2.0000,uniform,30,0.613750
diabetes,2.0000,fixed,30,0.688000
diabetes,2.0000,bgr,30,0.734000
diabetes,2.0000,uniform,31,0.709500
diabetes,2.0000,fixed,31,0.698500
diabetes,2.0000,bgr,31,0.716250
diabetes,2.0000,uniform,32,0.743500
diabetes,2.0000,fixed,32,0.550000
diabetes,2.0000,bgr,32,0.696250
diabetes,2.0000,uniform,33,0.685250
diabetes,2.0000,fixed,33,0.603750
diabetes,2.0000,bgr,33,0.684000
diabetes,2.0000,uniform,34,0.539000
diabetes,2.0000,fixed,34,0.616000
diabetes,2.0000,bgr,34,0.699750
diabetes,2.0000,uniform,35,0.666750
diabetes,2.0000,fixed,35,0.737250
diabetes,2.0000,bgr,35,0.738250
diabetes,2.0000,uniform,36,0.576250
diabetes,2.0000,fixed,36,0.671500
diabetes,2.0000,bgr,36,0.724000
diabetes,2.0000,uniform,37,0.557750
diabetes,2.0000,fixed,37,0.578500
diabetes,2.0000,bgr,37,0.707250
diabetes,2.0000,uniform,38,0.678000
diabetes,2.0000,fixed,38,0.637500
diabetes,2.0000,bgr,38,0.710500
diabetes,2.0000,uniform,39,0.625500
diabetes,2.0000,fixed,39,0.682500
diabetes,2.0000,bgr,39,0.707750
diabetes,2.0000,uniform,40,0.622500
diabetes,2.0000,fixed,40,0.733500
diabetes,2.0000,bgr,40,0.684000
diabetes,2.0000,uniform,41,0.700250
diabetes,2.0000,fixed,41,0.635250
diabetes,2.0000,bgr,41,0.702500
diabetes,2.0000,uniform,42,0.708750
diabetes,2.0000,fixed,42,0.573000
diabetes,2.0000,bgr,42,0.644000
diabetes,2.0000,uniform,43,0.671750
diabetes,2.0000,fixed,43,0.695250
diabetes,2.0000,bgr,43,0.664500
diabetes,2.0000,uniform,44,0.702000
diabetes,2.0000,fixed,44,0.740250
diabetes,2.0000,bgr,44,0.761250
diabetes,2.0000,uniform,45,0.718250
diabetes,2.0000,fixed,45,0.709500
diabetes,2.0000,bgr,45,0.723500
diabetes,2.0000,uniform,46,0.651500
diabetes,2.0000,fixed,46,0.606750
diabetes,2.0000,bgr,46,0.719500
diabetes,2.0000,uniform,47,0.693000
diabetes,2.0000,fixed,47,0.632750
diabetes,2.0000,bgr,47,0.715250
diabetes,2.0000,uniform,48,0.647000
diabetes,2.0000,fixed,48,0.659500
diabetes,2.0000,bgr,48,0.695500
diabetes,2.0000,uniform,49,0.689000
diabetes,2.0000,fixed,49,0.709750
diabetes,2.0000,bgr,49,0.644000
diabetes,2.0000,uniform,50,0.655250
diabetes,2.0000,fixed,50,0.628000
diabetes,2.0000,bgr,50,0.690750
diabetes,2.0000,uniform,51,0.688000
diabetes,2.0000,fixed,51,0.686000
diabetes,2.0000,bgr,51,0.703250
diabetes,2.0000,uniform,52,0.629000
diabetes,2.0000,fixed,52,0.592250
diabetes,2.0000,bgr,52,0.784250
diabetes,2.0000,uniform,53,0.707250
diabetes,2.0000,fixed,53,0.686000
diabetes,2.0000,bgr,53,0.754250
diabetes,2.0000,uniform,54,0.713000
diabetes,2.0000,fixed,54,0.713250
diabetes,2.0000,bgr,54,0.690000
diabetes,2.0000,uniform,55,0.673250
diabetes,2.0000,fixed,55,0.649750
diabetes,2.0000,bgr,55,0.678500
diabetes,2.0000,uniform,56,0.671000
diabetes,2.0000,fixed,56,0.725000
diabetes,2.0000,bgr,56,0.678000
diabetes,2.0000,uniform,57,0.665750
diabetes,2.0000,fixed,57,0.668750
diabetes,2.0000,bgr,57,0.678250
diabetes,2.0000,uniform,58,0.691250
diabetes,2.0000,fixed,58,0.729000
diabetes,2.0000,bgr,58,0.684500
diabetes,2.0000,uniform,59,0.726250
diabetes,2.0000,fixed,59,0.682250
diabetes,2.0000,bgr,59,0.753500
