dataset,target_radius,method,seed,final_rauc
heart-statlog,2.0000,uniform,60,0.757237
heart-statlog,2.0000,fixed,60,0.711842
heart-statlog,2.0000,bgr,60,0.840132
heart-statlog,2.0000,uniform,61,0.798684
heart-statlog,2.0000,fixed,61,0.676974
heart-statlog,2.0000,bgr,61,0.732237
heart-statlog,2.0000,uniform,62,0.630921
heart-statlog,2.0000,fixed,62,0.771053
heart-statlog,2.0000,bgr,62,0.743421
heart-statlog,2.0000,uniform,63,0.846711
heart-statlog,2.0000,fixed,63,0.767763
heart-statlog,2.0000,bgr,63,0.838158
heart-statlog,2.0000,uniform,64,0.763158
heart-statlog,2.0000,fixed,64,0.769079
heart-statlog,2.0000,bgr,64,0.811184
heart-statlog,2.0000,uniform,65,0.713158
heart-statlog,2.0000,fixed,65,0.801316
heart-statlog,2.0000,bgr,65,0.794079
heart-statlog,2.0000,uniform,66,0.807237
heart-statlog,2.0000,fixed,66,0.783553
heart-statlog,2.0000,bgr,66,0.863158
heart-statlog,2.0000,uniform,67,0.722368
heart-statlog,2.0000,fixed,67,0.746711
heart-statlog,2.0000,bgr,67,0.765789
heart-statlog,2.0000,uniform,68,0.752632
heart-statlog,2.0000,fixed,68,0.773026
heart-statlog,2.0000,bgr,68,0.811184
heart-statlog,2.0000,uniform,69,0.720395
heart-statlog,2.0000,fixed,69,0.809868
heart-statlog,2.0000,bgr,69,0.809868
heart-statlog,2.0000,uniform,70,0.815789
heart-statlog,2.0000,fixed,70,0.636184
heart-statlog,2.0000,bgr,70,0.792105
heart-statlog,2.0000,uniform,71,0.777632
heart-statlog,2.0000,fixed,71,0.701316
heart-statlog,2.0000,bgr,71,0.840789
heart-statlog,2.0000,uniform,72,0.713158
heart-statlog,2.0000,fixed,72,0.751316
heart-statlog,2.0000,bgr,72,0.811842
heart-statlog,2.0000,uniform,73,0.848026
heart-statlog,2.0000,fixed,73,0.848026
heart-statlog,2.0000,bgr,73,0.840132
heart-statlog,2.0000,uniform,74,0.821711
heart-statlog,2.0000,fixed,74,0.778947
heart-statlog,2.0000,bgr,74,0.801974
heart-statlog,2.0000,uniform,75,0.655263
heart-statlog,2.0000,fixed,75,0.803947
heart-statlog,2.0000,bgr,75,0.761842
heart-statlog,2.0000,uniform,76,0.780263
heart-statlog,2.0000,fixed,76,0.768421
heart-statlog,2.0000,bgr,76,0.769079
heart-statlog,2.0000,uniform,77,0.774342
heart-statlog,2.0000,fixed,77,0.772368
heart-statlog,2.0000,bgr,77,0.831579
heart-statlog,2.0000,uniform,78,0.759868
heart-statlog,2.0000,fixed,78,0.767105
heart-statlog,2.0000,bgr,78,0.828947
heart-statlog,2.0000,uniform,79,0.777632
heart-statlog,2.0000,fixed,79,0.759211
heart-statlog,2.0000,bgr,79,0.823684
heart-statlog,2.0000,uniform,80,0.750658
heart-statlog,2.0000,fixed,80,0.622368
heart-statlog,2.0000,bgr,80,0.806579
heart-statlog,2.0000,uniform,81,0.788158
heart-statlog,2.0000,fixed,81,0.829605
heart-statlog,2.0000,bgr,81,0.780921
heart-statlog,2.0000,uniform,82,0.756579
heart-statlog,2.0000,fixed,82,0.772368
heart-statlog,2.0000,bgr,82,0.812500
heart-statlog,2.0000,uniform,83,0.775000
heart-statlog,2.0000,fixed,83,0.818421
heart-statlog,2.0000,bgr,83,0.761184
heart-statlog,2.0000,uniform,84,0.809868
heart-statlog,2.0000,fixed,84,0.727632
heart-statlog,2.0000,bgr,84,0.772368
heart-statlog,2.0000,uniform,85,0.800000
heart-statlog,2.0000,fixed,85,0.845395
heart-statlog,2.0000,bgr,85,0.716447
heart-statlog,2.0000,uniform,86,0.801316
heart-statlog,2.0000,fixed,86,0.790132
heart-statlog,2.0000,bgr,86,0.819079
heart-statlog,2.0000,uniform,87,0.778947
heart-statlog,2.0000,fixed,87,0.753289
heart-statlog,2.0000,bgr,87,0.795395
heart-statlog,2.0000,uniform,88,0.789474
heart-statlog,2.0000,fixed,88,0.753947
heart-statlog,2.0000,bgr,88,0.826974
heart-statlog,2.0000,uniform,89,0.791447
heart-statlog,2.0000,fixed,89,0.744079
heart-statlog,2.0000,bgr,89,0.791447
heart-statlog,2.0000,uniform,90,0.755263
heart-statlog,2.0000,fixed,90,0.736184
heart-statlog,2.0000,bgr,90,0.800000
heart-statlog,2.0000,uniform,91,0.784868
heart-statlog,2.0000,fixed,91,0.770395
heart-statlog,2.0000,bgr,91,0.723026
heart-statlog,2.0000,uniform,92,0.740789
heart-statlog,2.0000,fixed,92,0.792763
heart-statlog,2.0000,bgr,92,0.813158
heart-statlog,2.0000,uniform,93,0.784211
heart-statlog,2.0000,fixed,93,0.808553
heart-statlog,2.0000,bgr,93,0.743421
heart-statlog,2.0000,uniform,94,0.682895
heart-statlog,2.0000,fixed,94,0.749342
heart-statlog,2.0000,bgr,94,0.756579
heart-statlog,2.0000,uniform,95,0.798684
heart-statlog,2.0000,fixed,95,0.800000
heart-statlog,2.0000,bgr,95,0.803289
heart-statlog,2.0000,uniform,96,0.773684
heart-statlog,2.0000,fixed,96,0.743421
heart-statlog,2.0000,bgr,96,0.858553
heart-statlog,2.0000,uniform,97,0.850658
heart-statlog,2.0000,fixed,97,0.674342
heart-statlog,2.0000,bgr,97,0.837500
heart-statlog,2.0000,uniform,98,0.761842
heart-statlog,2.0000,fixed,98,0.847368
heart-statlog,2.0000,bgr,98,0.798684
heart-statlog,2.0000,uniform,99,0.777632
heart-statlog,2.0000,fixed,99,0.798684
heart-statlog,2.0000,bgr,99,0.770395
heart-statlog,2.0000,uniform,100,0.784868
heart-statlog,2.0000,fixed,100,0.756579
heart-statlog,2.0000,bgr,100,0.792763
heart-statlog,2.0000,uniform,101,0.776974
heart-statlog,2.0000,fixed,101,0.719737
heart-statlog,2.0000,bgr,101,0.817763
heart-statlog,2.0000,uniform,102,0.780921
heart-statlog,2.0000,fixed,102,0.701974
heart-statlog,2.0000,bgr,102,0.792105
heart-statlog,2.0000,uniform,103,0.757237
heart-statlog,2.0000,fixed,103,0.838816
heart-statlog,2.0000,bgr,103,0.830263
heart-statlog,2.0000,uniform,104,0.821053
heart-statlog,2.0000,fixed,104,0.792763
heart-statlog,2.0000,bgr,104,0.692763
heart-statlog,2.0000,uniform,105,0.718421
heart-statlog,2.0000,fixed,105,0.782237
heart-statlog,2.0000,bgr,105,0.826974
heart-statlog,2.0000,uniform,106,0.815132
heart-statlog,2.0000,fixed,106,0.792763
heart-statlog,2.0000,bgr,106,0.863816
heart-statlog,2.0000,uniform,107,0.790132
heart-statlog,2.0000,fixed,107,0.809211
heart-statlog,2.0000,bgr,107,0.825000
heart-statlog,2.0000,uniform,108,0.840789
heart-statlog,2.0000,fixed,108,0.728947
heart-statlog,2.0000,bgr,108,0.796053
heart-statlog,2.0000,uniform,109,0.667105
heart-statlog,2.0000,fixed,109,0.817763
heart-statlog,2.0000,bgr,109,0.828289
heart-statlog,2.0000,uniform,110,0.755263
heart-statlog,2.0000,fixed,110,0.778947
heart-statlog,2.0000,bgr,110,0.836184
heart-statlog,2.0000,uniform,111,0.800000
heart-statlog,2.0000,fixed,111,0.725658
heart-statlog,2.0000,bgr,111,0.801974
heart-statlog,2.0000,uniform,112,0.729605
heart-statlog,2.0000,fixed,112,0.723684
heart-statlog,2.0000,bgr,112,0.753947
heart-statlog,2.0000,uniform,113,0.775658
heart-statlog,2.0000,fixed,113,0.813158
heart-statlog,2.0000,bgr,113,0.789474
heart-statlog,2.0000,uniform,114,0.846053
heart-statlog,2.0000,fixed,114,0.768421
heart-statlog,2.0000,bgr,114,0.793421
heart-statlog,2.0000,uniform,115,0.797368
heart-statlog,2.0000,fixed,115,0.824342
heart-statlog,2.0000,bgr,115,0.807237
heart-statlog,2.0000,uniform,116,0.780921
heart-statlog,2.0000,fixed,116,0.761842
heart-statlog,2.0000,bgr,116,0.799342
heart-statlog,2.0000,uniform,117,0.805263
heart-statlog,2.0000,fixed,117,0.797368
heart-statlog,2.0000,bgr,117,0.823684
heart-statlog,2.0000,uniform,118,0.737500
heart-statlog,2.0000,fixed,118,0.640132
heart-statlog,2.0000,bgr,118,0.746711
heart-statlog,2.0000,uniform,119,0.826974
heart-statlog,2.0000,fixed,119,0.784211
heart-statlog,2.0000,bgr,119,0.807895
