dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
diabetes,0.5000,uniform,4,0.679687,0.000000,0,0,4,reject-scout
diabetes,0.5000,fixed,4,0.683500,0.003813,2,2,0,reject-scout
diabetes,0.5000,bgr,4,0.640375,-0.039312,2,2,0,reject-scout
diabetes,1.0000,uniform,4,0.679687,0.000000,0,0,4,reject-scout
diabetes,1.0000,fixed,4,0.667750,-0.011937,2,2,0,reject-scout
diabetes,1.0000,bgr,4,0.653312,-0.026375,1,3,0,reject-scout
diabetes,1.5000,uniform,4,0.679687,0.000000,0,0,4,reject-scout
diabetes,1.5000,fixed,4,0.677312,-0.002375,2,2,0,reject-scout
diabetes,1.5000,bgr,4,0.712187,0.032500,3,1,0,reject-scout
diabetes,2.0000,uniform,4,0.679687,0.000000,0,0,4,reject-scout
diabetes,2.0000,fixed,4,0.699937,0.020250,4,0,0,reject-scout
diabetes,2.0000,bgr,4,0.740187,0.060500,4,0,0,candidate-for-preregistration
ionosphere,0.5000,uniform,4,0.833841,0.000000,0,0,4,reject-scout
ionosphere,0.5000,fixed,4,0.828252,-0.005589,2,2,0,reject-scout
ionosphere,0.5000,bgr,4,0.797129,-0.036712,1,3,0,reject-scout
ionosphere,1.0000,uniform,4,0.833841,0.000000,0,0,4,reject-scout
ionosphere,1.0000,fixed,4,0.840828,0.006987,2,2,0,reject-scout
ionosphere,1.0000,bgr,4,0.838542,0.004700,1,3,0,reject-scout
ionosphere,1.5000,uniform,4,0.833841,0.000000,0,0,4,reject-scout
ionosphere,1.5000,fixed,4,0.839431,0.005589,2,2,0,reject-scout
ionosphere,1.5000,bgr,4,0.842861,0.009019,2,2,0,reject-scout
ionosphere,2.0000,uniform,4,0.833841,0.000000,0,0,4,reject-scout
ionosphere,2.0000,fixed,4,0.841590,0.007749,2,2,0,reject-scout
ionosphere,2.0000,bgr,4,0.820376,-0.013465,2,2,0,reject-scout
sonar,0.5000,uniform,4,0.737800,0.000000,0,0,4,reject-scout
sonar,0.5000,fixed,4,0.743793,0.005993,3,1,0,reject-scout
sonar,0.5000,bgr,4,0.732449,-0.005351,2,2,0,reject-scout
sonar,1.0000,uniform,4,0.737800,0.000000,0,0,4,reject-scout
sonar,1.0000,fixed,4,0.744221,0.006421,3,1,0,reject-scout
sonar,1.0000,bgr,4,0.725171,-0.012628,2,2,0,reject-scout
sonar,1.5000,uniform,4,0.737800,0.000000,0,0,4,reject-scout
sonar,1.5000,fixed,4,0.749144,0.011344,2,2,0,reject-scout
sonar,1.5000,bgr,4,0.766695,0.028896,4,0,0,reject-scout
sonar,2.0000,uniform,4,0.737800,0.000000,0,0,4,reject-scout
sonar,2.0000,fixed,4,0.770120,0.032320,2,2,0,reject-scout
sonar,2.0000,bgr,4,0.707834,-0.029966,1,3,0,reject-scout
spambase,0.5000,uniform,4,0.860188,0.000000,0,0,4,reject-scout
spambase,0.5000,fixed,4,0.832875,-0.027313,2,2,0,reject-scout
spambase,0.5000,bgr,4,0.866937,0.006750,2,2,0,reject-scout
spambase,1.0000,uniform,4,0.860188,0.000000,0,0,4,reject-scout
spambase,1.0000,fixed,4,0.837187,-0.023000,2,2,0,reject-scout
spambase,1.0000,bgr,4,0.884000,0.023812,3,1,0,reject-scout
spambase,1.5000,uniform,4,0.860188,0.000000,0,0,4,reject-scout
spambase,1.5000,fixed,4,0.833187,-0.027000,2,2,0,reject-scout
spambase,1.5000,bgr,4,0.866875,0.006687,3,1,0,reject-scout
spambase,2.0000,uniform,4,0.860188,0.000000,0,0,4,reject-scout
spambase,2.0000,fixed,4,0.843125,-0.017063,3,1,0,reject-scout
spambase,2.0000,bgr,4,0.866062,0.005875,3,1,0,reject-scout
