dataset,target_radius,method,seed,final_rauc
credit-approval,2.0000,bgr,60,0.837293
credit-approval,2.0000,fixed,60,0.642820
credit-approval,2.0000,uniform,60,0.827221
credit-approval,2.0000,bgr,61,0.847882
credit-approval,2.0000,fixed,61,0.823605
credit-approval,2.0000,uniform,61,0.841426
credit-approval,2.0000,bgr,62,0.760589
credit-approval,2.0000,fixed,62,0.766012
credit-approval,2.0000,uniform,62,0.776860
credit-approval,2.0000,bgr,63,0.849174
credit-approval,2.0000,fixed,63,0.819215
credit-approval,2.0000,uniform,63,0.827738
credit-approval,2.0000,bgr,64,0.830062
credit-approval,2.0000,fixed,64,0.784866
credit-approval,2.0000,uniform,64,0.826963
credit-approval,2.0000,bgr,65,0.835227
credit-approval,2.0000,fixed,65,0.818182
credit-approval,2.0000,uniform,65,0.802686
credit-approval,2.0000,bgr,66,0.847366
credit-approval,2.0000,fixed,66,0.790806
credit-approval,2.0000,uniform,66,0.806818
credit-approval,2.0000,bgr,67,0.803461
credit-approval,2.0000,fixed,67,0.844525
credit-approval,2.0000,uniform,67,0.808884
credit-approval,2.0000,bgr,68,0.827996
credit-approval,2.0000,fixed,68,0.811467
credit-approval,2.0000,uniform,68,0.829545
credit-approval,2.0000,bgr,69,0.833678
credit-approval,2.0000,fixed,69,0.825155
credit-approval,2.0000,uniform,69,0.779959
credit-approval,2.0000,bgr,70,0.745093
credit-approval,2.0000,fixed,70,0.804494
credit-approval,2.0000,uniform,70,0.839101
credit-approval,2.0000,bgr,71,0.850723
credit-approval,2.0000,fixed,71,0.816890
credit-approval,2.0000,uniform,71,0.779184
credit-approval,2.0000,bgr,72,0.818698
credit-approval,2.0000,fixed,72,0.816632
credit-approval,2.0000,uniform,72,0.784091
credit-approval,2.0000,bgr,73,0.784607
credit-approval,2.0000,fixed,73,0.770919
credit-approval,2.0000,uniform,73,0.726240
credit-approval,2.0000,bgr,74,0.802169
credit-approval,2.0000,fixed,74,0.786932
credit-approval,2.0000,uniform,74,0.738636
credit-approval,2.0000,bgr,75,0.840651
credit-approval,2.0000,fixed,75,0.799587
