dataset,target_radius,method,seed,final_rauc
adult,1.5000,bgr,60,0.822250
adult,1.5000,fixed,60,0.756000
adult,1.5000,uniform,60,0.841750
adult,1.5000,bgr,61,0.807750
adult,1.5000,fixed,61,0.788500
adult,1.5000,uniform,61,0.793000
adult,1.5000,bgr,62,0.824500
adult,1.5000,fixed,62,0.739250
adult,1.5000,uniform,62,0.693750
adult,1.5000,bgr,63,0.754500
adult,1.5000,fixed,63,0.821500
adult,1.5000,uniform,63,0.740250
adult,1.5000,bgr,64,0.756250
adult,1.5000,fixed,64,0.743000
adult,1.5000,uniform,64,0.754750
adult,1.5000,bgr,65,0.798750
adult,1.5000,fixed,65,0.793250
adult,1.5000,uniform,65,0.686000
adult,1.5000,bgr,66,0.859750
adult,1.5000,fixed,66,0.781750
adult,1.5000,uniform,66,0.786000
adult,1.5000,bgr,67,0.744000
adult,1.5000,fixed,67,0.805500
adult,1.5000,uniform,67,0.751250
adult,1.5000,bgr,68,0.748000
adult,1.5000,fixed,68,0.796500
adult,1.5000,uniform,68,0.813000
adult,1.5000,bgr,69,0.767500
adult,1.5000,fixed,69,0.769000
adult,1.5000,uniform,69,0.748000
adult,1.5000,bgr,70,0.760250
adult,1.5000,fixed,70,0.813250
adult,1.5000,uniform,70,0.796000
adult,1.5000,bgr,71,0.787000
adult,1.5000,fixed,71,0.740250
adult,1.5000,uniform,71,0.828250
adult,1.5000,bgr,72,0.796750
adult,1.5000,fixed,72,0.845750
adult,1.5000,uniform,72,0.727000
adult,1.5000,bgr,73,0.741500
adult,1.5000,fixed,73,0.822500
adult,1.5000,uniform,73,0.669000
adult,1.5000,bgr,74,0.852500
adult,1.5000,fixed,74,0.796500
adult,1.5000,uniform,74,0.790750
adult,1.5000,bgr,75,0.791250
adult,1.5000,fixed,75,0.820000
adult,1.5000,uniform,75,0.832000
adult,1.5000,bgr,76,0.798000
adult,1.5000,fixed,76,0.835250
adult,1.5000,uniform,76,0.755000
adult,1.5000,bgr,77,0.777500
adult,1.5000,fixed,77,0.821750
adult,1.5000,uniform,77,0.742000
adult,1.5000,bgr,78,0.810500
