dataset,target_radius,method,seed,final_rauc
optdigits,2.0000,uniform,0,0.847500
optdigits,2.0000,fixed,0,0.869000
optdigits,2.0000,bgr,0,0.755500
optdigits,2.0000,uniform,1,0.840250
optdigits,2.0000,fixed,1,0.849500
optdigits,2.0000,bgr,1,0.754750
optdigits,2.0000,uniform,2,0.823000
optdigits,2.0000,fixed,2,0.836250
optdigits,2.0000,bgr,2,0.574000
optdigits,2.0000,uniform,3,0.854250
optdigits,2.0000,fixed,3,0.847750
optdigits,2.0000,bgr,3,0.686250
optdigits,2.0000,uniform,4,0.834500
optdigits,2.0000,fixed,4,0.809250
optdigits,2.0000,bgr,4,0.687000
optdigits,2.0000,uniform,5,0.843750
optdigits,2.0000,fixed,5,0.872000
optdigits,2.0000,bgr,5,0.822750
optdigits,2.0000,uniform,6,0.885750
optdigits,2.0000,fixed,6,0.837500
optdigits,2.0000,bgr,6,0.772750
optdigits,2.0000,uniform,7,0.758000
optdigits,2.0000,fixed,7,0.804750
optdigits,2.0000,bgr,7,0.780000
optdigits,2.0000,uniform,8,0.873750
optdigits,2.0000,fixed,8,0.877250
optdigits,2.0000,bgr,8,0.855750
optdigits,2.0000,uniform,9,0.887000
optdigits,2.0000,fixed,9,0.849250
optdigits,2.0000,bgr,9,0.801750
optdigits,2.0000,uniform,10,0.831000
optdigits,2.0000,fixed,10,0.883750
optdigits,2.0000,bgr,10,0.825250
optdigits,2.0000,uniform,11,0.817000
optdigits,2.0000,fixed,11,0.817500
optdigits,2.0000,bgr,11,0.775500
optdigits,2.0000,uniform,12,0.850750
optdigits,2.0000,fixed,12,0.865000
optdigits,2.0000,bgr,12,0.760750
optdigits,2.0000,uniform,13,0.790750
optdigits,2.0000,fixed,13,0.787500
optdigits,2.0000,bgr,13,0.702500
optdigits,2.0000,uniform,14,0.849500
optdigits,2.0000,fixed,14,0.846500
optdigits,2.0000,bgr,14,0.817500
optdigits,2.0000,uniform,15,0.850000
optdigits,2.0000,fixed,15,0.828250
optdigits,2.0000,bgr,15,0.793500
optdigits,2.0000,uniform,16,0.805000
optdigits,2.0000,fixed,16,0.845000
optdigits,2.0000,bgr,16,0.759250
optdigits,2.0000,uniform,17,0.786500
optdigits,2.0000,fixed,17,0.870750
optdigits,2.0000,bgr,17,0.802750
optdigits,2.0000,uniform,18,0.888750
optdigits,2.0000,fixed,18,0.820250
optdigits,2.0000,bgr,18,0.768500
optdigits,2.0000,uniform,19,0.841500
optdigits,2.0000,fixed,19,0.796250
optdigits,2.0000,bgr,19,0.808750
optdigits,2.0000,uniform,20,0.861750
optdigits,2.0000,fixed,20,0.836500
optdigits,2.0000,bgr,20,0.756250
optdigits,2.0000,uniform,21,0.855000
optdigits,2.0000,fixed,21,0.781250
optdigits,2.0000,bgr,21,0.816000
optdigits,2.0000,uniform,22,0.848250
optdigits,2.0000,fixed,22,0.861500
optdigits,2.0000,bgr,22,0.739250
optdigits,2.0000,uniform,23,0.850000
optdigits,2.0000,fixed,23,0.855000
optdigits,2.0000,bgr,23,0.818500
optdigits,2.0000,uniform,24,0.815750
optdigits,2.0000,fixed,24,0.840000
optdigits,2.0000,bgr,24,0.796500
optdigits,2.0000,uniform,25,0.859000
optdigits,2.0000,fixed,25,0.854500
optdigits,2.0000,bgr,25,0.809750
optdigits,2.0000,uniform,26,0.837250
optdigits,2.0000,fixed,26,0.779750
optdigits,2.0000,bgr,26,0.746750
optdigits,2.0000,uniform,27,0.847500
optdigits,2.0000,fixed,27,0.794500
optdigits,2.0000,bgr,27,0.806500
optdigits,2.0000,uniform,28,0.832250
optdigits,2.0000,fixed,28,0.820750
optdigits,2.0000,bgr,28,0.837000
optdigits,2.0000,uniform,29,0.759750
optdigits,2.0000,fixed,29,0.873250
optdigits,2.0000,bgr,29,0.814750
pendigits,2.0000,uniform,0,0.663500
pendigits,2.0000,fixed,0,0.694000
pendigits,2.0000,bgr,0,0.654500
pendigits,2.0000,uniform,1,0.770750
pendigits,2.0000,fixed,1,0.597000
pendigits,2.0000,bgr,1,0.623500
pendigits,2.0000,uniform,2,0.721250
pendigits,2.0000,fixed,2,0.776000
pendigits,2.0000,bgr,2,0.619250
pendigits,2.0000,uniform,3,0.688250
pendigits,2.0000,fixed,3,0.709500
pendigits,2.0000,bgr,3,0.625250
pendigits,2.0000,uniform,4,0.662500
pendigits,2.0000,fixed,4,0.675500
pendigits,2.0000,bgr,4,0.740500
pendigits,2.0000,uniform,5,0.723000
pendigits,2.0000,fixed,5,0.722750
pendigits,2.0000,bgr,5,0.618250
pendigits,2.0000,uniform,6,0.792750
pendigits,2.0000,fixed,6,0.738500
pendigits,2.0000,bgr,6,0.678250
pendigits,2.0000,uniform,7,0.679500
pendigits,2.0000,fixed,7,0.696250
pendigits,2.0000,bgr,7,0.527750
pendigits,2.0000,uniform,8,0.820750
pendigits,2.0000,fixed,8,0.804000
pendigits,2.0000,bgr,8,0.663250
pendigits,2.0000,uniform,9,0.709500
pendigits,2.0000,fixed,9,0.662750
pendigits,2.0000,bgr,9,0.649250
pendigits,2.0000,uniform,10,0.754500
pendigits,2.0000,fixed,10,0.755500
pendigits,2.0000,bgr,10,0.640250
pendigits,2.0000,uniform,11,0.743250
pendigits,2.0000,fixed,11,0.686750
pendigits,2.0000,bgr,11,0.590750
pendigits,2.0000,uniform,12,0.715250
pendigits,2.0000,fixed,12,0.796250
pendigits,2.0000,bgr,12,0.622750
pendigits,2.0000,uniform,13,0.707750
pendigits,2.0000,fixed,13,0.724250
pendigits,2.0000,bgr,13,0.667750
pendigits,2.0000,uniform,14,0.690750
pendigits,2.0000,fixed,14,0.781750
