dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
letter,2.0000,uniform,30,0.331150,0.000000,0,0,30,reject-scout
letter,2.0000,fixed,30,0.305625,-0.025525,8,22,0,reject-scout
letter,2.0000,bgr,30,0.313542,-0.017608,9,21,0,reject-scout
mfeat-fourier,2.0000,uniform,30,0.659083,0.000000,0,0,30,reject-scout
mfeat-fourier,2.0000,fixed,30,0.642608,-0.016475,12,18,0,reject-scout
mfeat-fourier,2.0000,bgr,30,0.613233,-0.045850,5,25,0,reject-scout
mfeat-karhunen,2.0000,uniform,30,0.824417,0.000000,0,0,30,reject-scout
mfeat-karhunen,2.0000,fixed,30,0.821542,-0.002875,14,16,0,reject-scout
mfeat-karhunen,2.0000,bgr,30,0.768458,-0.055958,2,28,0,reject-scout
mfeat-pixel,2.0000,uniform,30,0.796975,0.000000,0,0,30,reject-scout
mfeat-pixel,2.0000,fixed,30,0.788883,-0.008092,12,18,0,reject-scout
mfeat-pixel,2.0000,bgr,30,0.737117,-0.059858,5,25,0,reject-scout
optdigits,2.0000,uniform,30,0.837500,0.000000,0,0,30,reject-scout
optdigits,2.0000,fixed,30,0.837008,-0.000492,15,15,0,reject-scout
optdigits,2.0000,bgr,30,0.774867,-0.062633,4,26,0,reject-scout
pendigits,2.0000,uniform,30,0.729025,0.000000,0,0,30,reject-scout
pendigits,2.0000,fixed,30,0.705667,-0.023358,11,19,0,reject-scout
pendigits,2.0000,bgr,30,0.638950,-0.090075,2,28,0,reject-scout
satimage,2.0000,uniform,30,0.724458,0.000000,0,0,30,reject-scout
satimage,2.0000,fixed,30,0.714017,-0.010442,14,16,0,reject-scout
satimage,2.0000,bgr,30,0.674608,-0.049850,9,21,0,reject-scout
segment,2.0000,uniform,30,0.759817,0.000000,0,0,30,reject-scout
segment,2.0000,fixed,30,0.752733,-0.007083,12,18,0,reject-scout
segment,2.0000,bgr,30,0.699192,-0.060625,4,26,0,reject-scout
texture,2.0000,uniform,30,0.755608,0.000000,0,0,30,reject-scout
texture,2.0000,fixed,30,0.725583,-0.030025,12,18,0,reject-scout
texture,2.0000,bgr,30,0.616100,-0.139508,3,27,0,reject-scout
vehicle,2.0000,uniform,30,0.555892,0.000000,0,0,30,reject-scout
vehicle,2.0000,fixed,30,0.550942,-0.004950,15,15,0,reject-scout
vehicle,2.0000,bgr,30,0.546650,-0.009242,14,16,0,reject-scout
