dataset,target_radius,method,seed,final_rauc
optdigits,2.0000,uniform,30,0.878750
optdigits,2.0000,fixed,30,0.855500
optdigits,2.0000,bgr,30,0.780750
optdigits,2.0000,uniform,31,0.815750
optdigits,2.0000,fixed,31,0.788500
optdigits,2.0000,bgr,31,0.822750
optdigits,2.0000,uniform,32,0.797500
optdigits,2.0000,fixed,32,0.801000
optdigits,2.0000,bgr,32,0.792500
optdigits,2.0000,uniform,33,0.833500
optdigits,2.0000,fixed,33,0.852500
optdigits,2.0000,bgr,33,0.804750
optdigits,2.0000,uniform,34,0.778750
optdigits,2.0000,fixed,34,0.875500
optdigits,2.0000,bgr,34,0.755250
optdigits,2.0000,uniform,35,0.794500
optdigits,2.0000,fixed,35,0.819250
optdigits,2.0000,bgr,35,0.747500
optdigits,2.0000,uniform,36,0.891500
optdigits,2.0000,fixed,36,0.851000
optdigits,2.0000,bgr,36,0.798500
optdigits,2.0000,uniform,37,0.812250
optdigits,2.0000,fixed,37,0.788750
optdigits,2.0000,bgr,37,0.750750
optdigits,2.0000,uniform,38,0.857750
optdigits,2.0000,fixed,38,0.800500
optdigits,2.0000,bgr,38,0.745750
optdigits,2.0000,uniform,39,0.801500
optdigits,2.0000,fixed,39,0.884000
optdigits,2.0000,bgr,39,0.831250
optdigits,2.0000,uniform,40,0.825500
optdigits,2.0000,fixed,40,0.889750
optdigits,2.0000,bgr,40,0.801000
optdigits,2.0000,uniform,41,0.855750
optdigits,2.0000,fixed,41,0.827250
optdigits,2.0000,bgr,41,0.791750
optdigits,2.0000,uniform,42,0.824000
optdigits,2.0000,fixed,42,0.846000
optdigits,2.0000,bgr,42,0.700750
optdigits,2.0000,uniform,43,0.815750
optdigits,2.0000,fixed,43,0.857750
optdigits,2.0000,bgr,43,0.807250
optdigits,2.0000,uniform,44,0.833250
optdigits,2.0000,fixed,44,0.833750
optdigits,2.0000,bgr,44,0.747500
optdigits,2.0000,uniform,45,0.885500
optdigits,2.0000,fixed,45,0.848750
optdigits,2.0000,bgr,45,0.821500
optdigits,2.0000,uniform,46,0.844500
optdigits,2.0000,fixed,46,0.831500
optdigits,2.0000,bgr,46,0.741250
optdigits,2.0000,uniform,47,0.821000
optdigits,2.0000,fixed,47,0.862500
optdigits,2.0000,bgr,47,0.833250
optdigits,2.0000,uniform,48,0.783000
optdigits,2.0000,fixed,48,0.810000
optdigits,2.0000,bgr,48,0.727750
optdigits,2.0000,uniform,49,0.842250
optdigits,2.0000,fixed,49,0.816000
optdigits,2.0000,bgr,49,0.806250
optdigits,2.0000,uniform,50,0.821750
optdigits,2.0000,fixed,50,0.847500
optdigits,2.0000,bgr,50,0.746000
optdigits,2.0000,uniform,51,0.866250
optdigits,2.0000,fixed,51,0.810750
optdigits,2.0000,bgr,51,0.783000
optdigits,2.0000,uniform,52,0.864000
optdigits,2.0000,fixed,52,0.849000
optdigits,2.0000,bgr,52,0.748000
optdigits,2.0000,uniform,53,0.871000
optdigits,2.0000,fixed,53,0.844000
optdigits,2.0000,bgr,53,0.759500
optdigits,2.0000,uniform,54,0.782000
optdigits,2.0000,fixed,54,0.826000
optdigits,2.0000,bgr,54,0.814000
optdigits,2.0000,uniform,55,0.826250
optdigits,2.0000,fixed,55,0.837250
optdigits,2.0000,bgr,55,0.807000
optdigits,2.0000,uniform,56,0.833500
optdigits,2.0000,fixed,56,0.829500
optdigits,2.0000,bgr,56,0.784500
optdigits,2.0000,uniform,57,0.836500
optdigits,2.0000,fixed,57,0.869000
optdigits,2.0000,bgr,57,0.836000
optdigits,2.0000,uniform,58,0.779000
optdigits,2.0000,fixed,58,0.771750
optdigits,2.0000,bgr,58,0.776000
optdigits,2.0000,uniform,59,0.858000
optdigits,2.0000,fixed,59,0.833750
optdigits,2.0000,bgr,59,0.820250
pendigits,2.0000,uniform,30,0.752750
pendigits,2.0000,fixed,30,0.721750
pendigits,2.0000,bgr,30,0.676250
pendigits,2.0000,uniform,31,0.627500
pendigits,2.0000,fixed,31,0.783000
pendigits,2.0000,bgr,31,0.755000
pendigits,2.0000,uniform,32,0.713500
pendigits,2.0000,fixed,32,0.752000
pendigits,2.0000,bgr,32,0.628250
pendigits,2.0000,uniform,33,0.712750
pendigits,2.0000,fixed,33,0.708750
pendigits,2.0000,bgr,33,0.642250
pendigits,2.0000,uniform,34,0.723250
pendigits,2.0000,fixed,34,0.694500
pendigits,2.0000,bgr,34,0.558500
pendigits,2.0000,uniform,35,0.759000
pendigits,2.0000,fixed,35,0.710750
pendigits,2.0000,bgr,35,0.584750
pendigits,2.0000,uniform,36,0.752250
pendigits,2.0000,fixed,36,0.754500
pendigits,2.0000,bgr,36,0.731250
pendigits,2.0000,uniform,37,0.764000
pendigits,2.0000,fixed,37,0.626000
pendigits,2.0000,bgr,37,0.523500
pendigits,2.0000,uniform,38,0.695750
pendigits,2.0000,fixed,38,0.673250
pendigits,2.0000,bgr,38,0.677500
pendigits,2.0000,uniform,39,0.715500
pendigits,2.0000,fixed,39,0.749750
pendigits,2.0000,bgr,39,0.670250
pendigits,2.0000,uniform,40,0.695000
pendigits,2.0000,fixed,40,0.687250
pendigits,2.0000,bgr,40,0.664500
pendigits,2.0000,uniform,41,0.748750
pendigits,2.0000,fixed,41,0.639000
pendigits,2.0000,bgr,41,0.597250
pendigits,2.0000,uniform,42,0.694750
pendigits,2.0000,fixed,42,0.719500
pendigits,2.0000,bgr,42,0.548250
pendigits,2.0000,uniform,43,0.714000
pendigits,2.0000,fixed,43,0.681000
pendigits,2.0000,bgr,43,0.595500
pendigits,2.0000,uniform,44,0.766500
pendigits,2.0000,fixed,44,0.735000
pendigits,2.0000,bgr,44,0.769250
pendigits,2.0000,uniform,45,0.517500
pendigits,2.0000,fixed,45,0.721750
pendigits,2.0000,bgr,45,0.624750
pendigits,2.0000,uniform,46,0.746250
pendigits,2.0000,fixed,46,0.717500
pendigits,2.0000,bgr,46,0.611250
pendigits,2.0000,uniform,47,0.673000
pendigits,2.0000,fixed,47,0.712500
pendigits,2.0000,bgr,47,0.684500
pendigits,2.0000,uniform,48,0.736000
pendigits,2.0000,fixed,48,0.657000
pendigits,2.0000,bgr,48,0.539750
pendigits,2.0000,uniform,49,0.678500
pendigits,2.0000,fixed,49,0.792250
pendigits,2.0000,bgr,49,0.666000
pendigits,2.0000,uniform,50,0.726000
pendigits,2.0000,fixed,50,0.689000
pendigits,2.0000,bgr,50,0.716250
pendigits,2.0000,uniform,51,0.774000
pendigits,2.0000,fixed,51,0.686500
pendigits,2.0000,bgr,51,0.649750
pendigits,2.0000,uniform,52,0.689000
pendigits,2.0000,fixed,52,0.610750
pendigits,2.0000,bgr,52,0.647500
pendigits,2.0000,uniform,53,0.779750
pendigits,2.0000,fixed,53,0.686000
pendigits,2.0000,bgr,53,0.722750
pendigits,2.0000,uniform,54,0.747750
pendigits,2.0000,fixed,54,0.579500
pendigits,2.0000,bgr,54,0.625000
pendigits,2.0000,uniform,55,0.723250
pendigits,2.0000,fixed,55,0.734500
pendigits,2.0000,bgr,55,0.630500
pendigits,2.0000,uniform,56,0.767000
pendigits,2.0000,fixed,56,0.593500
pendigits,2.0000,bgr,56,0.684250
pendigits,2.0000,uniform,57,0.658500
pendigits,2.0000,fixed,57,0.672250
pendigits,2.0000,bgr,57,0.678000
pendigits,2.0000,uniform,58,0.747000
pendigits,2.0000,fixed,58,0.671750
pendigits,2.0000,bgr,58,0.645500
pendigits,2.0000,uniform,59,0.697750
pendigits,2.0000,fixed,59,0.659500
pendigits,2.0000,bgr,59,0.552250
satimage,2.0000,uniform,30,0.778750
satimage,2.0000,fixed,30,0.814750
satimage,2.0000,bgr,30,0.656500
satimage,2.0000,uniform,31,0.752750
satimage,2.0000,fixed,31,0.783250
satimage,2.0000,bgr,31,0.760750
satimage,2.0000,uniform,32,0.751000
satimage,2.0000,fixed,32,0.754000
satimage,2.0000,bgr,32,0.778500
satimage,2.0000,uniform,33,0.722750
satimage,2.0000,fixed,33,0.683250
satimage,2.0000,bgr,33,0.638000
satimage,2.0000,uniform,34,0.748500
satimage,2.0000,fixed,34,0.789750
satimage,2.0000,bgr,34,0.713500
satimage,2.0000,uniform,35,0.715500
satimage,2.0000,fixed,35,0.713500
satimage,2.0000,bgr,35,0.720750
satimage,2.0000,uniform,36,0.708500
satimage,2.0000,fixed,36,0.809250
satimage,2.0000,bgr,36,0.802000
satimage,2.0000,uniform,37,0.824500
satimage,2.0000,fixed,37,0.767250
satimage,2.0000,bgr,37,0.644000
satimage,2.0000,uniform,38,0.770250
satimage,2.0000,fixed,38,0.583500
satimage,2.0000,bgr,38,0.758250
satimage,2.0000,uniform,39,0.760500
satimage,2.0000,fixed,39,0.806000
satimage,2.0000,bgr,39,0.616000
satimage,2.0000,uniform,40,0.667500
satimage,2.0000,fixed,40,0.824500
satimage,2.0000,bgr,40,0.623500
satimage,2.0000,uniform,41,0.768500
satimage,2.0000,fixed,41,0.810000
satimage,2.0000,bgr,41,0.642750
satimage,2.0000,uniform,42,0.594750
