dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
letter,2.0000,uniform,30,0.325383,0.000000,0,0,30,reject-scout
letter,2.0000,fixed,30,0.293125,-0.032258,7,23,0,reject-scout
letter,2.0000,bgr,30,0.312917,-0.012467,13,17,0,reject-scout
mfeat-fourier,2.0000,uniform,30,0.651275,0.000000,0,0,30,reject-scout
mfeat-fourier,2.0000,fixed,30,0.657575,0.006300,16,14,0,reject-scout
mfeat-fourier,2.0000,bgr,30,0.631883,-0.019392,10,20,0,reject-scout
mfeat-karhunen,2.0000,uniform,30,0.815308,0.000000,0,0,30,reject-scout
mfeat-karhunen,2.0000,fixed,30,0.824925,0.009617,19,11,0,reject-scout
mfeat-karhunen,2.0000,bgr,30,0.759667,-0.055642,2,28,0,reject-scout
mfeat-pixel,2.0000,uniform,30,0.786683,0.000000,0,0,30,reject-scout
mfeat-pixel,2.0000,fixed,30,0.784875,-0.001808,15,15,0,reject-scout
mfeat-pixel,2.0000,bgr,30,0.742717,-0.043967,8,22,0,reject-scout
optdigits,2.0000,uniform,30,0.831017,0.000000,0,0,30,reject-scout
optdigits,2.0000,fixed,30,0.835275,0.004258,15,15,0,reject-scout
optdigits,2.0000,bgr,30,0.782742,-0.048275,4,26,0,reject-scout
pendigits,2.0000,uniform,30,0.716550,0.000000,0,0,30,reject-scout
pendigits,2.0000,fixed,30,0.694008,-0.022542,10,20,0,reject-scout
pendigits,2.0000,bgr,30,0.643342,-0.073208,5,25,0,reject-scout
satimage,2.0000,uniform,30,0.721892,0.000000,0,0,30,reject-scout
satimage,2.0000,fixed,30,0.739717,0.017825,15,15,0,reject-scout
satimage,2.0000,bgr,30,0.690492,-0.031400,10,20,0,reject-scout
segment,2.0000,uniform,30,0.757100,0.000000,0,0,30,reject-scout
segment,2.0000,fixed,30,0.742750,-0.014350,10,20,0,reject-scout
segment,2.0000,bgr,30,0.704958,-0.052142,6,24,0,reject-scout
texture,2.0000,uniform,30,0.761583,0.000000,0,0,30,reject-scout
texture,2.0000,fixed,30,0.724958,-0.036625,11,19,0,reject-scout
texture,2.0000,bgr,30,0.636683,-0.124900,0,30,0,reject-scout
vehicle,2.0000,uniform,30,0.555733,0.000000,0,0,30,reject-scout
vehicle,2.0000,fixed,30,0.532333,-0.023400,12,18,0,reject-scout
vehicle,2.0000,bgr,30,0.548875,-0.006858,11,19,0,reject-scout
