dataset,target_radius,method,seed,final_rauc
banknote-authentication,2.0000,uniform,0,0.832250
banknote-authentication,2.0000,fixed,0,0.698500
banknote-authentication,2.0000,bgr,0,0.732000
banknote-authentication,2.0000,uniform,1,0.831500
banknote-authentication,2.0000,fixed,1,0.676500
banknote-authentication,2.0000,bgr,1,0.623500
banknote-authentication,2.0000,uniform,2,0.823750
banknote-authentication,2.0000,fixed,2,0.584750
banknote-authentication,2.0000,bgr,2,0.790000
banknote-authentication,2.0000,uniform,3,0.682500
banknote-authentication,2.0000,fixed,3,0.774000
banknote-authentication,2.0000,bgr,3,0.771500
banknote-authentication,2.0000,uniform,4,0.688250
banknote-authentication,2.0000,fixed,4,0.598250
banknote-authentication,2.0000,bgr,4,0.832750
banknote-authentication,2.0000,uniform,5,0.840250
banknote-authentication,2.0000,fixed,5,0.742500
banknote-authentication,2.0000,bgr,5,0.669500
banknote-authentication,2.0000,uniform,6,0.846250
banknote-authentication,2.0000,fixed,6,0.678250
banknote-authentication,2.0000,bgr,6,0.767750
banknote-authentication,2.0000,uniform,7,0.814250
banknote-authentication,2.0000,fixed,7,0.735500
banknote-authentication,2.0000,bgr,7,0.726000
banknote-authentication,2.0000,uniform,8,0.855750
banknote-authentication,2.0000,fixed,8,0.621000
banknote-authentication,2.0000,bgr,8,0.733500
banknote-authentication,2.0000,uniform,9,0.697250
banknote-authentication,2.0000,fixed,9,0.606750
banknote-authentication,2.0000,bgr,9,0.801250
banknote-authentication,2.0000,uniform,10,0.802750
banknote-authentication,2.0000,fixed,10,0.802000
banknote-authentication,2.0000,bgr,10,0.688500
banknote-authentication,2.0000,uniform,11,0.812250
banknote-authentication,2.0000,fixed,11,0.748750
banknote-authentication,2.0000,bgr,11,0.722500
banknote-authentication,2.0000,uniform,12,0.813250
banknote-authentication,2.0000,fixed,12,0.749500
banknote-authentication,2.0000,bgr,12,0.622000
banknote-authentication,2.0000,uniform,13,0.862250
banknote-authentication,2.0000,fixed,13,0.775500
banknote-authentication,2.0000,bgr,13,0.618000
banknote-authentication,2.0000,uniform,14,0.737750
banknote-authentication,2.0000,fixed,14,0.820500
banknote-authentication,2.0000,bgr,14,0.623250
banknote-authentication,2.0000,uniform,15,0.763000
banknote-authentication,2.0000,fixed,15,0.665000
banknote-authentication,2.0000,bgr,15,0.746750
banknote-authentication,2.0000,uniform,16,0.796250
banknote-authentication,2.0000,fixed,16,0.718250
banknote-authentication,2.0000,bgr,16,0.690500
banknote-authentication,2.0000,uniform,17,0.748000
banknote-authentication,2.0000,fixed,17,0.711000
banknote-authentication,2.0000,bgr,17,0.564250
banknote-authentication,2.0000,uniform,18,0.784000
banknote-authentication,2.0000,fixed,18,0.685000
banknote-authentication,2.0000,bgr,18,0.730250
banknote-authentication,2.0000,uniform,19,0.822750
banknote-authentication,2.0000,fixed,19,0.764250
banknote-authentication,2.0000,bgr,19,0.634000
banknote-authentication,2.0000,uniform,20,0.715000
banknote-authentication,2.0000,fixed,20,0.713750
banknote-authentication,2.0000,bgr,20,0.797500
banknote-authentication,2.0000,uniform,21,0.821250
banknote-authentication,2.0000,fixed,21,0.842750
banknote-authentication,2.0000,bgr,21,0.398500
banknote-authentication,2.0000,uniform,22,0.768750
banknote-authentication,2.0000,fixed,22,0.601000
banknote-authentication,2.0000,bgr,22,0.721500
banknote-authentication,2.0000,uniform,23,0.774000
banknote-authentication,2.0000,fixed,23,0.656500
banknote-authentication,2.0000,bgr,23,0.770000
banknote-authentication,2.0000,uniform,24,0.762000
