dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
banknote-authentication,2.0000,uniform,30,0.786442,0.000000,0,0,30,reject-scout
banknote-authentication,2.0000,fixed,30,0.711817,-0.074625,4,26,0,reject-scout
banknote-authentication,2.0000,bgr,30,0.709217,-0.077225,4,26,0,reject-scout
blood-transfusion-service-center,2.0000,uniform,30,0.665675,0.000000,0,0,30,reject-scout
blood-transfusion-service-center,2.0000,fixed,30,0.691975,0.026300,17,13,0,reject-scout
blood-transfusion-service-center,2.0000,bgr,30,0.762500,0.096825,30,0,0,candidate-for-preregistration
climate-model-simulation-crashes,2.0000,uniform,30,0.879619,0.000000,0,0,30,reject-scout
climate-model-simulation-crashes,2.0000,fixed,30,0.881647,0.002028,16,14,0,reject-scout
climate-model-simulation-crashes,2.0000,bgr,30,0.901929,0.022310,25,5,0,reject-scout
kc1,2.0000,uniform,30,0.812575,0.000000,0,0,30,reject-scout
kc1,2.0000,fixed,30,0.810642,-0.001933,17,13,0,reject-scout
kc1,2.0000,bgr,30,0.814550,0.001975,15,14,1,reject-scout
mozilla4,2.0000,uniform,30,0.680775,0.000000,0,0,30,reject-scout
mozilla4,2.0000,fixed,30,0.658125,-0.022650,10,20,0,reject-scout
mozilla4,2.0000,bgr,30,0.676100,-0.004675,11,18,1,reject-scout
pc1,2.0000,uniform,30,0.883575,0.000000,0,0,30,reject-scout
pc1,2.0000,fixed,30,0.912758,0.029183,18,10,2,reject-scout
pc1,2.0000,bgr,30,0.906275,0.022700,21,9,0,reject-scout
phoneme,2.0000,uniform,30,0.689642,0.000000,0,0,30,reject-scout
phoneme,2.0000,fixed,30,0.670417,-0.019225,15,15,0,reject-scout
phoneme,2.0000,bgr,30,0.722850,0.033208,21,9,0,reject-scout
wdbc,2.0000,uniform,30,0.953042,0.000000,0,0,30,reject-scout
wdbc,2.0000,fixed,30,0.953896,0.000854,14,16,0,reject-scout
wdbc,2.0000,bgr,30,0.950458,-0.002583,13,16,1,reject-scout
