dataset,target_radius,method,seed,final_rauc
banknote-authentication,2.0000,uniform,30,0.824000
banknote-authentication,2.0000,fixed,30,0.734500
banknote-authentication,2.0000,bgr,30,0.654250
banknote-authentication,2.0000,uniform,31,0.820500
banknote-authentication,2.0000,fixed,31,0.797500
banknote-authentication,2.0000,bgr,31,0.746500
banknote-authentication,2.0000,uniform,32,0.834250
banknote-authentication,2.0000,fixed,32,0.756000
banknote-authentication,2.0000,bgr,32,0.831000
banknote-authentication,2.0000,uniform,33,0.798000
banknote-authentication,2.0000,fixed,33,0.709250
banknote-authentication,2.0000,bgr,33,0.744750
banknote-authentication,2.0000,uniform,34,0.814750
banknote-authentication,2.0000,fixed,34,0.457500
banknote-authentication,2.0000,bgr,34,0.713250
banknote-authentication,2.0000,uniform,35,0.782250
banknote-authentication,2.0000,fixed,35,0.406750
banknote-authentication,2.0000,bgr,35,0.729000
banknote-authentication,2.0000,uniform,36,0.846250
banknote-authentication,2.0000,fixed,36,0.658750
banknote-authentication,2.0000,bgr,36,0.775000
banknote-authentication,2.0000,uniform,37,0.807750
banknote-authentication,2.0000,fixed,37,0.552000
banknote-authentication,2.0000,bgr,37,0.775000
banknote-authentication,2.0000,uniform,38,0.846750
banknote-authentication,2.0000,fixed,38,0.764000
banknote-authentication,2.0000,bgr,38,0.764250
banknote-authentication,2.0000,uniform,39,0.825500
banknote-authentication,2.0000,fixed,39,0.696250
banknote-authentication,2.0000,bgr,39,0.663250
banknote-authentication,2.0000,uniform,40,0.671250
banknote-authentication,2.0000,fixed,40,0.705000
banknote-authentication,2.0000,bgr,40,0.775500
banknote-authentication,2.0000,uniform,41,0.776000
banknote-authentication,2.0000,fixed,41,0.768750
banknote-authentication,2.0000,bgr,41,0.828750
banknote-authentication,2.0000,uniform,42,0.812750
banknote-authentication,2.0000,fixed,42,0.580250
banknote-authentication,2.0000,bgr,42,0.670500
banknote-authentication,2.0000,uniform,43,0.859000
banknote-authentication,2.0000,fixed,43,0.809000
banknote-authentication,2.0000,bgr,43,0.836500
banknote-authentication,2.0000,uniform,44,0.824000
banknote-authentication,2.0000,fixed,44,0.800500
banknote-authentication,2.0000,bgr,44,0.734750
banknote-authentication,2.0000,uniform,45,0.822750
banknote-authentication,2.0000,fixed,45,0.675750
banknote-authentication,2.0000,bgr,45,0.578250
banknote-authentication,2.0000,uniform,46,0.813500
banknote-authentication,2.0000,fixed,46,0.618250
banknote-authentication,2.0000,bgr,46,0.650500
banknote-authentication,2.0000,uniform,47,0.845750
banknote-authentication,2.0000,fixed,47,0.840500
banknote-authentication,2.0000,bgr,47,0.745000
banknote-authentication,2.0000,uniform,48,0.826000
banknote-authentication,2.0000,fixed,48,0.733000
banknote-authentication,2.0000,bgr,48,0.858750
banknote-authentication,2.0000,uniform,49,0.796250
banknote-authentication,2.0000,fixed,49,0.766500
banknote-authentication,2.0000,bgr,49,0.735500
banknote-authentication,2.0000,uniform,50,0.835250
banknote-authentication,2.0000,fixed,50,0.803500
banknote-authentication,2.0000,bgr,50,0.849000
banknote-authentication,2.0000,uniform,51,0.854250
banknote-authentication,2.0000,fixed,51,0.617750
banknote-authentication,2.0000,bgr,51,0.762750
banknote-authentication,2.0000,uniform,52,0.760750
banknote-authentication,2.0000,fixed,52,0.752000
banknote-authentication,2.0000,bgr,52,0.801250
banknote-authentication,2.0000,uniform,53,0.808750
banknote-authentication,2.0000,fixed,53,0.752250
banknote-authentication,2.0000,bgr,53,0.826500
banknote-authentication,2.0000,uniform,54,0.842000
banknote-authentication,2.0000,fixed,54,0.792000
banknote-authentication,2.0000,bgr,54,0.799500
banknote-authentication,2.0000,uniform,55,0.844000
banknote-authentication,2.0000,fixed,55,0.808000
banknote-authentication,2.0000,bgr,55,0.583750
banknote-authentication,2.0000,uniform,56,0.758000
banknote-authentication,2.0000,fixed,56,0.750000
banknote-authentication,2.0000,bgr,56,0.819000
banknote-authentication,2.0000,uniform,57,0.812000
banknote-authentication,2.0000,fixed,57,0.613500
banknote-authentication,2.0000,bgr,57,0.663500
banknote-authentication,2.0000,uniform,58,0.830500
banknote-authentication,2.0000,fixed,58,0.738750
banknote-authentication,2.0000,bgr,58,0.737250
banknote-authentication,2.0000,uniform,59,0.866000
banknote-authentication,2.0000,fixed,59,0.827000
banknote-authentication,2.0000,bgr,59,0.797750
blood-transfusion-service-center,2.0000,uniform,30,0.615000
blood-transfusion-service-center,2.0000,fixed,30,0.765000
blood-transfusion-service-center,2.0000,bgr,30,0.760000
blood-transfusion-service-center,2.0000,uniform,31,0.687750
