dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
banknote-authentication,2.0000,uniform,30,0.815292,0.000000,0,0,30,reject-scout
banknote-authentication,2.0000,fixed,30,0.709492,-0.105800,1,29,0,reject-scout
banknote-authentication,2.0000,bgr,30,0.748350,-0.066942,7,23,0,reject-scout
blood-transfusion-service-center,2.0000,uniform,30,0.684600,0.000000,0,0,30,reject-scout
blood-transfusion-service-center,2.0000,fixed,30,0.713258,0.028658,20,10,0,reject-scout
blood-transfusion-service-center,2.0000,bgr,30,0.759467,0.074867,25,5,0,reject-scout
climate-model-simulation-crashes,2.0000,uniform,30,0.877337,0.000000,0,0,30,reject-scout
climate-model-simulation-crashes,2.0000,fixed,30,0.880996,0.003660,17,13,0,reject-scout
climate-model-simulation-crashes,2.0000,bgr,30,0.906526,0.029189,26,4,0,reject-scout
kc1,2.0000,uniform,30,0.787317,0.000000,0,0,30,reject-scout
kc1,2.0000,fixed,30,0.806058,0.018742,19,11,0,reject-scout
kc1,2.0000,bgr,30,0.818067,0.030750,18,12,0,reject-scout
mozilla4,2.0000,uniform,30,0.675450,0.000000,0,0,30,reject-scout
mozilla4,2.0000,fixed,30,0.636800,-0.038650,14,16,0,reject-scout
mozilla4,2.0000,bgr,30,0.663325,-0.012125,14,16,0,reject-scout
pc1,2.0000,uniform,30,0.894708,0.000000,0,0,30,reject-scout
pc1,2.0000,fixed,30,0.896575,0.001867,12,17,1,reject-scout
pc1,2.0000,bgr,30,0.891825,-0.002883,14,15,1,reject-scout
phoneme,2.0000,uniform,30,0.675808,0.000000,0,0,30,reject-scout
phoneme,2.0000,fixed,30,0.679233,0.003425,16,14,0,reject-scout
phoneme,2.0000,bgr,30,0.712392,0.036583,21,9,0,reject-scout
wdbc,2.0000,uniform,30,0.944229,0.000000,0,0,30,reject-scout
wdbc,2.0000,fixed,30,0.948615,0.004385,19,11,0,reject-scout
wdbc,2.0000,bgr,30,0.954469,0.010240,22,8,0,reject-scout
