dataset,target_radius,method,seed,final_rauc
phoneme,2.0000,uniform,30,0.794000
phoneme,2.0000,fixed,30,0.754000
phoneme,2.0000,bgr,30,0.787000
phoneme,2.0000,uniform,31,0.702750
phoneme,2.0000,fixed,31,0.605750
phoneme,2.0000,bgr,31,0.721750
phoneme,2.0000,uniform,32,0.702500
phoneme,2.0000,fixed,32,0.739250
phoneme,2.0000,bgr,32,0.680000
phoneme,2.0000,uniform,33,0.703000
phoneme,2.0000,fixed,33,0.652000
phoneme,2.0000,bgr,33,0.758500
phoneme,2.0000,uniform,34,0.659250
phoneme,2.0000,fixed,34,0.583500
phoneme,2.0000,bgr,34,0.656000
phoneme,2.0000,uniform,35,0.626250
phoneme,2.0000,fixed,35,0.650500
phoneme,2.0000,bgr,35,0.702500
phoneme,2.0000,uniform,36,0.745000
phoneme,2.0000,fixed,36,0.702750
phoneme,2.0000,bgr,36,0.720000
phoneme,2.0000,uniform,37,0.694750
phoneme,2.0000,fixed,37,0.657000
phoneme,2.0000,bgr,37,0.724000
phoneme,2.0000,uniform,38,0.604250
phoneme,2.0000,fixed,38,0.685750
phoneme,2.0000,bgr,38,0.687000
phoneme,2.0000,uniform,39,0.610250
phoneme,2.0000,fixed,39,0.642500
phoneme,2.0000,bgr,39,0.665000
phoneme,2.0000,uniform,40,0.550750
phoneme,2.0000,fixed,40,0.684750
phoneme,2.0000,bgr,40,0.690750
phoneme,2.0000,uniform,41,0.638500
phoneme,2.0000,fixed,41,0.698750
phoneme,2.0000,bgr,41,0.730500
phoneme,2.0000,uniform,42,0.701000
phoneme,2.0000,fixed,42,0.682500
phoneme,2.0000,bgr,42,0.700000
phoneme,2.0000,uniform,43,0.665000
phoneme,2.0000,fixed,43,0.714750
phoneme,2.0000,bgr,43,0.709500
phoneme,2.0000,uniform,44,0.678750
phoneme,2.0000,fixed,44,0.634500
phoneme,2.0000,bgr,44,0.704000
phoneme,2.0000,uniform,45,0.670500
phoneme,2.0000,fixed,45,0.641750
phoneme,2.0000,bgr,45,0.735500
phoneme,2.0000,uniform,46,0.707250
phoneme,2.0000,fixed,46,0.721000
phoneme,2.0000,bgr,46,0.733750
phoneme,2.0000,uniform,47,0.640750
phoneme,2.0000,fixed,47,0.700250
phoneme,2.0000,bgr,47,0.739000
phoneme,2.0000,uniform,48,0.765000
phoneme,2.0000,fixed,48,0.686250
phoneme,2.0000,bgr,48,0.747250
phoneme,2.0000,uniform,49,0.704000
phoneme,2.0000,fixed,49,0.734750
phoneme,2.0000,bgr,49,0.683500
phoneme,2.0000,uniform,50,0.786250
phoneme,2.0000,fixed,50,0.680500
phoneme,2.0000,bgr,50,0.760000
phoneme,2.0000,uniform,51,0.573000
phoneme,2.0000,fixed,51,0.629750
phoneme,2.0000,bgr,51,0.664750
phoneme,2.0000,uniform,52,0.718750
phoneme,2.0000,fixed,52,0.769000
phoneme,2.0000,bgr,52,0.756000
phoneme,2.0000,uniform,53,0.747250
phoneme,2.0000,fixed,53,0.658250
phoneme,2.0000,bgr,53,0.675250
phoneme,2.0000,uniform,54,0.549500
phoneme,2.0000,fixed,54,0.661250
phoneme,2.0000,bgr,54,0.718750
phoneme,2.0000,uniform,55,0.675750
phoneme,2.0000,fixed,55,0.706000
phoneme,2.0000,bgr,55,0.689500
phoneme,2.0000,uniform,56,0.687750
phoneme,2.0000,fixed,56,0.662500
phoneme,2.0000,bgr,56,0.695750
phoneme,2.0000,uniform,57,0.654500
phoneme,2.0000,fixed,57,0.686000
phoneme,2.0000,bgr,57,0.728750
phoneme,2.0000,uniform,58,0.667500
phoneme,2.0000,fixed,58,0.733750
phoneme,2.0000,bgr,58,0.735500
phoneme,2.0000,uniform,59,0.650500
phoneme,2.0000,fixed,59,0.617750
phoneme,2.0000,bgr,59,0.672000
