dataset,target_radius,method,seed,final_rauc
diabetes,1.0000,uniform,0,0.707750
diabetes,1.0000,fixed,0,0.680000
diabetes,1.0000,bgr,0,0.645500
diabetes,1.0000,uniform,1,0.676500
diabetes,1.0000,fixed,1,0.683500
diabetes,1.0000,bgr,1,0.621000
diabetes,1.0000,uniform,2,0.671750
diabetes,1.0000,fixed,2,0.732000
diabetes,1.0000,bgr,2,0.646750
diabetes,1.0000,uniform,3,0.662750
diabetes,1.0000,fixed,3,0.575500
diabetes,1.0000,bgr,3,0.700000
diabetes,1.0000,uniform,4,0.643750
diabetes,1.0000,fixed,4,0.693500
diabetes,1.0000,bgr,4,0.688500
diabetes,1.0000,uniform,5,0.636500
diabetes,1.0000,fixed,5,0.684500
diabetes,1.0000,bgr,5,0.725500
diabetes,1.0000,uniform,6,0.742000
diabetes,1.0000,fixed,6,0.700250
diabetes,1.0000,bgr,6,0.631000
diabetes,1.0000,uniform,7,0.663750
diabetes,1.0000,fixed,7,0.697250
diabetes,1.0000,bgr,7,0.655500
diabetes,1.0000,uniform,8,0.708250
diabetes,1.0000,fixed,8,0.604750
diabetes,1.0000,bgr,8,0.602750
diabetes,1.0000,uniform,9,0.706250
diabetes,1.0000,fixed,9,0.601750
diabetes,1.0000,bgr,9,0.708500
diabetes,1.0000,uniform,10,0.633500
diabetes,1.0000,fixed,10,0.739750
diabetes,1.0000,bgr,10,0.670250
diabetes,1.0000,uniform,11,0.722750
diabetes,1.0000,fixed,11,0.684000
diabetes,1.0000,bgr,11,0.712000
diabetes,1.0000,uniform,12,0.696000
diabetes,1.0000,fixed,12,0.688250
diabetes,1.0000,bgr,12,0.672000
diabetes,1.0000,uniform,13,0.662750
diabetes,1.0000,fixed,13,0.686000
diabetes,1.0000,bgr,13,0.696500
diabetes,1.0000,uniform,14,0.636500
diabetes,1.0000,fixed,14,0.653750
diabetes,1.0000,bgr,14,0.643250
diabetes,1.0000,uniform,15,0.462000
diabetes,1.0000,fixed,15,0.715500
diabetes,1.0000,bgr,15,0.628500
diabetes,1.0000,uniform,16,0.649250
diabetes,1.0000,fixed,16,0.650750
diabetes,1.0000,bgr,16,0.572500
diabetes,1.0000,uniform,17,0.732500
diabetes,1.0000,fixed,17,0.527000
diabetes,1.0000,bgr,17,0.730000
diabetes,1.0000,uniform,18,0.717000
diabetes,1.0000,fixed,18,0.716750
diabetes,1.0000,bgr,18,0.638250
diabetes,1.0000,uniform,19,0.682500
diabetes,1.0000,fixed,19,0.678250
diabetes,1.0000,bgr,19,0.687750
diabetes,1.0000,uniform,20,0.739250
diabetes,1.0000,fixed,20,0.618750
diabetes,1.0000,bgr,20,0.715250
diabetes,1.0000,uniform,21,0.556750
diabetes,1.0000,fixed,21,0.707000
diabetes,1.0000,bgr,21,0.680500
diabetes,1.0000,uniform,22,0.674750
diabetes,1.0000,fixed,22,0.746750
diabetes,1.0000,bgr,22,0.709750
diabetes,1.0000,uniform,23,0.688750
diabetes,1.0000,fixed,23,0.645750
diabetes,1.0000,bgr,23,0.642750
diabetes,1.0000,uniform,24,0.679500
diabetes,1.0000,fixed,24,0.715750
diabetes,1.0000,bgr,24,0.688500
diabetes,1.0000,uniform,25,0.645250
