dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
blood-transfusion-service-center,1.0000,uniform,30,0.665675,0.000000,0,0,30,reject-scout
blood-transfusion-service-center,1.0000,fixed,30,0.657642,-0.008033,16,14,0,reject-scout
blood-transfusion-service-center,1.0000,bgr,30,0.663425,-0.002250,16,14,0,reject-scout
blood-transfusion-service-center,1.5000,uniform,30,0.665675,0.000000,0,0,30,reject-scout
blood-transfusion-service-center,1.5000,fixed,30,0.660908,-0.004767,13,17,0,reject-scout
blood-transfusion-service-center,1.5000,bgr,30,0.731392,0.065717,24,6,0,reject-scout
blood-transfusion-service-center,2.0000,uniform,30,0.665675,0.000000,0,0,30,reject-scout
blood-transfusion-service-center,2.0000,fixed,30,0.691975,0.026300,17,13,0,reject-scout
blood-transfusion-service-center,2.0000,bgr,30,0.762500,0.096825,30,0,0,candidate-for-preregistration
diabetes,1.0000,uniform,30,0.668892,0.000000,0,0,30,reject-scout
diabetes,1.0000,fixed,30,0.672808,0.003917,16,14,0,reject-scout
diabetes,1.0000,bgr,30,0.674250,0.005358,16,14,0,reject-scout
diabetes,1.5000,uniform,30,0.668892,0.000000,0,0,30,reject-scout
diabetes,1.5000,fixed,30,0.681275,0.012383,15,15,0,reject-scout
diabetes,1.5000,bgr,30,0.703958,0.035067,25,5,0,reject-scout
diabetes,2.0000,uniform,30,0.668892,0.000000,0,0,30,reject-scout
diabetes,2.0000,fixed,30,0.675917,0.007025,16,14,0,reject-scout
diabetes,2.0000,bgr,30,0.706192,0.037300,24,6,0,reject-scout
phoneme,1.0000,uniform,30,0.689642,0.000000,0,0,30,reject-scout
phoneme,1.0000,fixed,30,0.678067,-0.011575,15,15,0,reject-scout
phoneme,1.0000,bgr,30,0.672875,-0.016767,12,18,0,reject-scout
phoneme,1.5000,uniform,30,0.689642,0.000000,0,0,30,reject-scout
phoneme,1.5000,fixed,30,0.683292,-0.006350,16,14,0,reject-scout
phoneme,1.5000,bgr,30,0.706692,0.017050,18,12,0,reject-scout
phoneme,2.0000,uniform,30,0.689642,0.000000,0,0,30,reject-scout
phoneme,2.0000,fixed,30,0.670417,-0.019225,15,15,0,reject-scout
phoneme,2.0000,bgr,30,0.722850,0.033208,21,9,0,reject-scout
