dataset,target_radius,method,seed,final_rauc
kc2,2.0000,uniform,0,0.798497
kc2,2.0000,fixed,0,0.828552
kc2,2.0000,bgr,0,0.803620
kc2,2.0000,uniform,1,0.785861
kc2,2.0000,fixed,1,0.841530
kc2,2.0000,bgr,1,0.832650
kc2,2.0000,uniform,2,0.826844
kc2,2.0000,fixed,2,0.667350
kc2,2.0000,bgr,2,0.853825
kc2,2.0000,uniform,3,0.841872
kc2,2.0000,fixed,3,0.755806
kc2,2.0000,bgr,3,0.841530
kc2,2.0000,uniform,4,0.816940
kc2,2.0000,fixed,4,0.809768
kc2,2.0000,bgr,4,0.827869
kc2,2.0000,uniform,5,0.838456
kc2,2.0000,fixed,5,0.822063
kc2,2.0000,bgr,5,0.837773
kc2,2.0000,uniform,6,0.798839
kc2,2.0000,fixed,6,0.796107
kc2,2.0000,bgr,6,0.792691
kc2,2.0000,uniform,7,0.709016
kc2,2.0000,fixed,7,0.777664
kc2,2.0000,bgr,7,0.792350
kc2,2.0000,uniform,8,0.759221
kc2,2.0000,fixed,8,0.819331
kc2,2.0000,bgr,8,0.783128
kc2,2.0000,uniform,9,0.853825
kc2,2.0000,fixed,9,0.836066
kc2,2.0000,bgr,9,0.816940
kc2,2.0000,uniform,10,0.760246
kc2,2.0000,fixed,10,0.840505
kc2,2.0000,bgr,10,0.809768
kc2,2.0000,uniform,11,0.811817
kc2,2.0000,fixed,11,0.813866
kc2,2.0000,bgr,11,0.823770
kc2,2.0000,uniform,12,0.806011
kc2,2.0000,fixed,12,0.809426
kc2,2.0000,bgr,12,0.792350
kc2,2.0000,uniform,13,0.812842
kc2,2.0000,fixed,13,0.818989
kc2,2.0000,bgr,13,0.835724
kc2,2.0000,uniform,14,0.776639
kc2,2.0000,fixed,14,0.807719
kc2,2.0000,bgr,14,0.807036
kc2,2.0000,uniform,15,0.809426
kc2,2.0000,fixed,15,0.787568
kc2,2.0000,bgr,15,0.835041
kc2,2.0000,uniform,16,0.745902
kc2,2.0000,fixed,16,0.817964
kc2,2.0000,bgr,16,0.827869
kc2,2.0000,uniform,17,0.858265
kc2,2.0000,fixed,17,0.815574
kc2,2.0000,bgr,17,0.845970
kc2,2.0000,uniform,18,0.834016
kc2,2.0000,fixed,18,0.781762
kc2,2.0000,bgr,18,0.792350
kc2,2.0000,uniform,19,0.689549
kc2,2.0000,fixed,19,0.828893
kc2,2.0000,bgr,19,0.827186
kc2,2.0000,uniform,20,0.808402
kc2,2.0000,fixed,20,0.796790
kc2,2.0000,bgr,20,0.829918
kc2,2.0000,uniform,21,0.833675
kc2,2.0000,fixed,21,0.747609
kc2,2.0000,bgr,21,0.817281
kc2,2.0000,uniform,22,0.812500
kc2,2.0000,fixed,22,0.799863
kc2,2.0000,bgr,22,0.798839
kc2,2.0000,uniform,23,0.801913
kc2,2.0000,fixed,23,0.787227
kc2,2.0000,bgr,23,0.815915
kc2,2.0000,uniform,24,0.795423
kc2,2.0000,fixed,24,0.815915
kc2,2.0000,bgr,24,0.853142
kc2,2.0000,uniform,25,0.794399
kc2,2.0000,fixed,25,0.801571
kc2,2.0000,bgr,25,0.794399
kc2,2.0000,uniform,26,0.824795
kc2,2.0000,fixed,26,0.846995
kc2,2.0000,bgr,26,0.830601
kc2,2.0000,uniform,27,0.653347
kc2,2.0000,fixed,27,0.805669
kc2,2.0000,bgr,27,0.829577
kc2,2.0000,uniform,28,0.797814
kc2,2.0000,fixed,28,0.799180
kc2,2.0000,bgr,28,0.784153
kc2,2.0000,uniform,29,0.820355
kc2,2.0000,fixed,29,0.836407
kc2,2.0000,bgr,29,0.832309
pc2,2.0000,uniform,0,0.959250
pc2,2.0000,fixed,0,0.873000
pc2,2.0000,bgr,0,0.992000
pc2,2.0000,uniform,1,0.999750
pc2,2.0000,fixed,1,0.989000
pc2,2.0000,bgr,1,0.996000
pc2,2.0000,uniform,2,0.979250
pc2,2.0000,fixed,2,0.988000
pc2,2.0000,bgr,2,0.955500
pc2,2.0000,uniform,3,0.991250
pc2,2.0000,fixed,3,0.992000
pc2,2.0000,bgr,3,0.992000
pc2,2.0000,uniform,4,0.950500
pc2,2.0000,fixed,4,0.992000
pc2,2.0000,bgr,4,0.996000
pc2,2.0000,uniform,5,0.983500
pc2,2.0000,fixed,5,0.869500
pc2,2.0000,bgr,5,0.992000
pc2,2.0000,uniform,6,0.995500
pc2,2.0000,fixed,6,0.994250
pc2,2.0000,bgr,6,0.991500
pc2,2.0000,uniform,7,0.996000
pc2,2.0000,fixed,7,0.996000
pc2,2.0000,bgr,7,0.983500
pc2,2.0000,uniform,8,0.995500
pc2,2.0000,fixed,8,0.992000
pc2,2.0000,bgr,8,0.709000
pc2,2.0000,uniform,9,0.979250
pc2,2.0000,fixed,9,0.995750
pc2,2.0000,bgr,9,0.967000
pc2,2.0000,uniform,10,0.900000
pc2,2.0000,fixed,10,0.995250
pc2,2.0000,bgr,10,0.996000
pc2,2.0000,uniform,11,0.988750
pc2,2.0000,fixed,11,0.967000
pc2,2.0000,bgr,11,0.736500
pc2,2.0000,uniform,12,0.999250
pc2,2.0000,fixed,12,0.993750
pc2,2.0000,bgr,12,1.000000
pc2,2.0000,uniform,13,0.982250
pc2,2.0000,fixed,13,0.996000
pc2,2.0000,bgr,13,0.991250
pc2,2.0000,uniform,14,0.996000
pc2,2.0000,fixed,14,0.996000
pc2,2.0000,bgr,14,0.988000
pc2,2.0000,uniform,15,0.994750
pc2,2.0000,fixed,15,0.999500
pc2,2.0000,bgr,15,1.000000
pc2,2.0000,uniform,16,0.997000
pc2,2.0000,fixed,16,0.961250
pc2,2.0000,bgr,16,0.998750
pc2,2.0000,uniform,17,0.985750
pc2,2.0000,fixed,17,0.988000
pc2,2.0000,bgr,17,0.988000
pc2,2.0000,uniform,18,0.998000
pc2,2.0000,fixed,18,1.000000
pc2,2.0000,bgr,18,1.000000
pc2,2.0000,uniform,19,0.999500
pc2,2.0000,fixed,19,0.993250
pc2,2.0000,bgr,19,0.992500
pc2,2.0000,uniform,20,0.983000
pc2,2.0000,fixed,20,0.992000
pc2,2.0000,bgr,20,0.984000
pc2,2.0000,uniform,21,1.000000
pc2,2.0000,fixed,21,1.000000
pc2,2.0000,bgr,21,1.000000
pc2,2.0000,uniform,22,1.000000
pc2,2.0000,fixed,22,0.961250
pc2,2.0000,bgr,22,0.986750
pc2,2.0000,uniform,23,1.000000
pc2,2.0000,fixed,23,1.000000
pc2,2.0000,bgr,23,0.991500
pc2,2.0000,uniform,24,0.996000
pc2,2.0000,fixed,24,0.983000
pc2,2.0000,bgr,24,0.996000
pc2,2.0000,uniform,25,0.998000
pc2,2.0000,fixed,25,0.964750
pc2,2.0000,bgr,25,0.967250
pc2,2.0000,uniform,26,0.999250
pc2,2.0000,fixed,26,0.740500
pc2,2.0000,bgr,26,0.931500
pc2,2.0000,uniform,27,0.989500
pc2,2.0000,fixed,27,0.966750
pc2,2.0000,bgr,27,0.901500
pc2,2.0000,uniform,28,0.994000
pc2,2.0000,fixed,28,0.995250
pc2,2.0000,bgr,28,0.880750
pc2,2.0000,uniform,29,0.995000
pc2,2.0000,fixed,29,0.995500
pc2,2.0000,bgr,29,0.934500
pc3,2.0000,uniform,0,0.841000
pc3,2.0000,fixed,0,0.872500
pc3,2.0000,bgr,0,0.866250
pc3,2.0000,uniform,1,0.785250
pc3,2.0000,fixed,1,0.829750
pc3,2.0000,bgr,1,0.812500
pc3,2.0000,uniform,2,0.846000
pc3,2.0000,fixed,2,0.901250
pc3,2.0000,bgr,2,0.886000
pc3,2.0000,uniform,3,0.822250
pc3,2.0000,fixed,3,0.807250
pc3,2.0000,bgr,3,0.888000
pc3,2.0000,uniform,4,0.897750
pc3,2.0000,fixed,4,0.826000
pc3,2.0000,bgr,4,0.842000
pc3,2.0000,uniform,5,0.862250
pc3,2.0000,fixed,5,0.727500
pc3,2.0000,bgr,5,0.844000
pc3,2.0000,uniform,6,0.865500
pc3,2.0000,fixed,6,0.863250
pc3,2.0000,bgr,6,0.898000
pc3,2.0000,uniform,7,0.852750
pc3,2.0000,fixed,7,0.861750
pc3,2.0000,bgr,7,0.901750
pc3,2.0000,uniform,8,0.776500
pc3,2.0000,fixed,8,0.840500
pc3,2.0000,bgr,8,0.879250
pc3,2.0000,uniform,9,0.823750
pc3,2.0000,fixed,9,0.846250
pc3,2.0000,bgr,9,0.898750
pc3,2.0000,uniform,10,0.794000
pc3,2.0000,fixed,10,0.838000
pc3,2.0000,bgr,10,0.844000
pc3,2.0000,uniform,11,0.876750
pc3,2.0000,fixed,11,0.873000
