dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
electricity,2.0000,uniform,30,0.629100,0.000000,0,0,30,reject-scout
electricity,2.0000,fixed,30,0.619842,-0.009258,15,15,0,reject-scout
electricity,2.0000,bgr,30,0.641717,0.012617,16,14,0,reject-scout
gina_agnostic,2.0000,uniform,30,0.765650,0.000000,0,0,30,reject-scout
gina_agnostic,2.0000,fixed,30,0.783408,0.017758,21,9,0,reject-scout
gina_agnostic,2.0000,bgr,30,0.691858,-0.073792,4,26,0,reject-scout
hill-valley,2.0000,uniform,30,0.505342,0.000000,0,0,30,reject-scout
hill-valley,2.0000,fixed,30,0.512883,0.007542,16,14,0,reject-scout
hill-valley,2.0000,bgr,30,0.503983,-0.001358,17,13,0,reject-scout
jm1,2.0000,uniform,30,0.719650,0.000000,0,0,30,reject-scout
jm1,2.0000,fixed,30,0.746833,0.027183,19,11,0,reject-scout
jm1,2.0000,bgr,30,0.789433,0.069783,28,2,0,reject-scout
kc2,2.0000,uniform,30,0.795890,0.000000,0,0,30,reject-scout
kc2,2.0000,fixed,30,0.803791,0.007901,17,13,0,reject-scout
kc2,2.0000,bgr,30,0.818852,0.022962,19,10,1,reject-scout
madelon,2.0000,uniform,30,0.527758,0.000000,0,0,30,reject-scout
madelon,2.0000,fixed,30,0.528342,0.000583,15,15,0,reject-scout
madelon,2.0000,bgr,30,0.524233,-0.003525,11,19,0,reject-scout
mc1,2.0000,uniform,30,0.973900,0.000000,0,0,30,reject-scout
mc1,2.0000,fixed,30,0.969158,-0.004742,15,14,1,reject-scout
mc1,2.0000,bgr,30,0.958100,-0.015800,6,24,0,reject-scout
pc2,2.0000,uniform,30,0.987525,0.000000,0,0,30,reject-scout
pc2,2.0000,fixed,30,0.972350,-0.015175,12,14,4,reject-scout
pc2,2.0000,bgr,30,0.961308,-0.026217,12,16,2,reject-scout
pc3,2.0000,uniform,30,0.837558,0.000000,0,0,30,reject-scout
pc3,2.0000,fixed,30,0.845425,0.007867,16,14,0,reject-scout
pc3,2.0000,bgr,30,0.860800,0.023242,19,11,0,reject-scout
pc4,2.0000,uniform,30,0.858500,0.000000,0,0,30,reject-scout
pc4,2.0000,fixed,30,0.855033,-0.003467,15,15,0,reject-scout
pc4,2.0000,bgr,30,0.844175,-0.014325,12,18,0,reject-scout
