dataset,target_radius,method,seed,final_rauc
kc2,2.0000,uniform,30,0.742486
kc2,2.0000,fixed,30,0.818306
kc2,2.0000,bgr,30,0.824795
kc2,2.0000,uniform,31,0.798497
kc2,2.0000,fixed,31,0.825478
kc2,2.0000,bgr,31,0.792691
kc2,2.0000,uniform,32,0.496926
kc2,2.0000,fixed,32,0.841189
kc2,2.0000,bgr,32,0.855191
kc2,2.0000,uniform,33,0.830943
kc2,2.0000,fixed,33,0.812158
kc2,2.0000,bgr,33,0.832650
kc2,2.0000,uniform,34,0.747268
kc2,2.0000,fixed,34,0.784836
kc2,2.0000,bgr,34,0.837432
kc2,2.0000,uniform,35,0.817281
kc2,2.0000,fixed,35,0.842555
kc2,2.0000,bgr,35,0.834358
kc2,2.0000,uniform,36,0.800888
kc2,2.0000,fixed,36,0.796107
kc2,2.0000,bgr,36,0.819331
kc2,2.0000,uniform,37,0.683060
kc2,2.0000,fixed,37,0.775615
kc2,2.0000,bgr,37,0.831284
kc2,2.0000,uniform,38,0.792691
kc2,2.0000,fixed,38,0.822404
kc2,2.0000,bgr,38,0.815232
kc2,2.0000,uniform,39,0.823770
kc2,2.0000,fixed,39,0.828893
kc2,2.0000,bgr,39,0.823770
kc2,2.0000,uniform,40,0.820355
kc2,2.0000,fixed,40,0.798839
kc2,2.0000,bgr,40,0.836407
kc2,2.0000,uniform,41,0.757172
kc2,2.0000,fixed,41,0.792691
kc2,2.0000,bgr,41,0.801913
kc2,2.0000,uniform,42,0.789959
kc2,2.0000,fixed,42,0.783128
kc2,2.0000,bgr,42,0.815232
kc2,2.0000,uniform,43,0.772883
kc2,2.0000,fixed,43,0.768443
kc2,2.0000,bgr,43,0.798497
kc2,2.0000,uniform,44,0.780738
kc2,2.0000,fixed,44,0.796107
kc2,2.0000,bgr,44,0.813183
kc2,2.0000,uniform,45,0.798156
kc2,2.0000,fixed,45,0.807719
kc2,2.0000,bgr,45,0.827869
kc2,2.0000,uniform,46,0.832650
kc2,2.0000,fixed,46,0.830260
kc2,2.0000,bgr,46,0.812158
kc2,2.0000,uniform,47,0.817964
kc2,2.0000,fixed,47,0.818648
kc2,2.0000,bgr,47,0.830601
kc2,2.0000,uniform,48,0.825820
kc2,2.0000,fixed,48,0.646858
kc2,2.0000,bgr,48,0.831967
kc2,2.0000,uniform,49,0.829918
kc2,2.0000,fixed,49,0.734631
kc2,2.0000,bgr,49,0.818648
kc2,2.0000,uniform,50,0.758197
kc2,2.0000,fixed,50,0.849727
kc2,2.0000,bgr,50,0.823087
kc2,2.0000,uniform,51,0.830260
kc2,2.0000,fixed,51,0.814549
kc2,2.0000,bgr,51,0.831284
kc2,2.0000,uniform,52,0.751366
kc2,2.0000,fixed,52,0.754440
kc2,2.0000,bgr,52,0.831284
kc2,2.0000,uniform,53,0.818648
kc2,2.0000,fixed,53,0.756489
kc2,2.0000,bgr,53,0.826844
kc2,2.0000,uniform,54,0.764686
kc2,2.0000,fixed,54,0.813183
kc2,2.0000,bgr,54,0.818306
kc2,2.0000,uniform,55,0.747951
kc2,2.0000,fixed,55,0.829918
kc2,2.0000,bgr,55,0.843238
kc2,2.0000,uniform,56,0.825137
kc2,2.0000,fixed,56,0.766393
kc2,2.0000,bgr,56,0.832992
kc2,2.0000,uniform,57,0.826844
kc2,2.0000,fixed,57,0.810451
kc2,2.0000,bgr,57,0.799863
kc2,2.0000,uniform,58,0.789617
kc2,2.0000,fixed,58,0.433060
kc2,2.0000,bgr,58,0.850751
kc2,2.0000,uniform,59,0.850751
kc2,2.0000,fixed,59,0.835041
kc2,2.0000,bgr,59,0.842555
pc2,2.0000,uniform,30,0.992000
pc2,2.0000,fixed,30,0.986750
pc2,2.0000,bgr,30,0.732750
pc2,2.0000,uniform,31,0.996000
pc2,2.0000,fixed,31,0.996000
pc2,2.0000,bgr,31,1.000000
pc2,2.0000,uniform,32,0.987500
pc2,2.0000,fixed,32,0.988000
pc2,2.0000,bgr,32,0.960500
pc2,2.0000,uniform,33,0.992250
pc2,2.0000,fixed,33,0.996000
pc2,2.0000,bgr,33,0.786500
pc2,2.0000,uniform,34,0.996000
pc2,2.0000,fixed,34,0.996000
pc2,2.0000,bgr,34,0.996000
pc2,2.0000,uniform,35,0.936750
pc2,2.0000,fixed,35,0.996000
pc2,2.0000,bgr,35,0.933500
pc2,2.0000,uniform,36,0.996000
pc2,2.0000,fixed,36,0.996000
pc2,2.0000,bgr,36,0.996000
pc2,2.0000,uniform,37,0.976250
pc2,2.0000,fixed,37,0.992000
pc2,2.0000,bgr,37,0.958250
pc2,2.0000,uniform,38,0.982750
pc2,2.0000,fixed,38,0.999250
pc2,2.0000,bgr,38,0.973000
pc2,2.0000,uniform,39,0.985500
pc2,2.0000,fixed,39,0.996000
pc2,2.0000,bgr,39,0.993750
pc2,2.0000,uniform,40,0.996000
pc2,2.0000,fixed,40,0.978250
pc2,2.0000,bgr,40,0.996000
pc2,2.0000,uniform,41,0.992000
pc2,2.0000,fixed,41,0.996000
pc2,2.0000,bgr,41,0.959000
pc2,2.0000,uniform,42,0.980250
pc2,2.0000,fixed,42,0.391000
pc2,2.0000,bgr,42,0.994000
pc2,2.0000,uniform,43,0.964750
pc2,2.0000,fixed,43,0.996000
pc2,2.0000,bgr,43,0.967750
pc2,2.0000,uniform,44,0.986750
pc2,2.0000,fixed,44,0.988500
pc2,2.0000,bgr,44,0.991250
pc2,2.0000,uniform,45,0.995250
pc2,2.0000,fixed,45,0.996000
pc2,2.0000,bgr,45,0.881500
pc2,2.0000,uniform,46,0.989000
pc2,2.0000,fixed,46,0.988000
pc2,2.0000,bgr,46,0.872000
pc2,2.0000,uniform,47,0.994500
pc2,2.0000,fixed,47,0.994750
pc2,2.0000,bgr,47,0.929000
pc2,2.0000,uniform,48,0.957500
pc2,2.0000,fixed,48,0.988000
pc2,2.0000,bgr,48,0.988000
pc2,2.0000,uniform,49,0.995750
pc2,2.0000,fixed,49,0.995250
pc2,2.0000,bgr,49,0.996000
pc2,2.0000,uniform,50,0.990500
pc2,2.0000,fixed,50,0.978250
pc2,2.0000,bgr,50,0.988500
pc2,2.0000,uniform,51,1.000000
pc2,2.0000,fixed,51,0.995250
pc2,2.0000,bgr,51,1.000000
pc2,2.0000,uniform,52,0.992000
pc2,2.0000,fixed,52,0.992000
pc2,2.0000,bgr,52,0.991250
pc2,2.0000,uniform,53,0.991750
pc2,2.0000,fixed,53,0.988000
pc2,2.0000,bgr,53,0.986000
pc2,2.0000,uniform,54,0.995250
pc2,2.0000,fixed,54,1.000000
pc2,2.0000,bgr,54,0.976000
pc2,2.0000,uniform,55,0.998500
pc2,2.0000,fixed,55,1.000000
pc2,2.0000,bgr,55,0.927250
pc2,2.0000,uniform,56,1.000000
pc2,2.0000,fixed,56,0.995000
pc2,2.0000,bgr,56,1.000000
pc2,2.0000,uniform,57,0.908000
pc2,2.0000,fixed,57,1.000000
pc2,2.0000,bgr,57,0.969000
pc2,2.0000,uniform,58,0.982750
pc2,2.0000,fixed,58,0.987250
pc2,2.0000,bgr,58,0.967000
pc2,2.0000,uniform,59,0.932750
pc2,2.0000,fixed,59,0.996000
pc2,2.0000,bgr,59,0.996000
pc3,2.0000,uniform,30,0.863000
pc3,2.0000,fixed,30,0.905750
pc3,2.0000,bgr,30,0.882000
pc3,2.0000,uniform,31,0.829500
pc3,2.0000,fixed,31,0.873250
pc3,2.0000,bgr,31,0.767750
pc3,2.0000,uniform,32,0.857500
pc3,2.0000,fixed,32,0.803500
pc3,2.0000,bgr,32,0.879000
pc3,2.0000,uniform,33,0.868250
pc3,2.0000,fixed,33,0.890000
pc3,2.0000,bgr,33,0.878000
pc3,2.0000,uniform,34,0.826750
pc3,2.0000,fixed,34,0.798500
pc3,2.0000,bgr,34,0.836250
pc3,2.0000,uniform,35,0.835250
pc3,2.0000,fixed,35,0.917250
pc3,2.0000,bgr,35,0.833750
pc3,2.0000,uniform,36,0.906250
pc3,2.0000,fixed,36,0.874250
pc3,2.0000,bgr,36,0.837250
pc3,2.0000,uniform,37,0.887000
pc3,2.0000,fixed,37,0.816500
pc3,2.0000,bgr,37,0.841000
pc3,2.0000,uniform,38,0.823250
pc3,2.0000,fixed,38,0.898500
pc3,2.0000,bgr,38,0.908750
pc3,2.0000,uniform,39,0.907500
pc3,2.0000,fixed,39,0.871750
pc3,2.0000,bgr,39,0.868250
pc3,2.0000,uniform,40,0.859000
pc3,2.0000,fixed,40,0.705250
pc3,2.0000,bgr,40,0.878250
pc3,2.0000,uniform,41,0.852500
pc3,2.0000,fixed,41,0.847000
pc3,2.0000,bgr,41,0.902000
pc3,2.0000,uniform,42,0.850750
pc3,2.0000,fixed,42,0.893000
pc3,2.0000,bgr,42,0.843750
pc3,2.0000,uniform,43,0.774250
pc3,2.0000,fixed,43,0.903250
pc3,2.0000,bgr,43,0.913250
pc3,2.0000,uniform,44,0.841000
pc3,2.0000,fixed,44,0.480250
pc3,2.0000,bgr,44,0.906750
pc3,2.0000,uniform,45,0.810750
pc3,2.0000,fixed,45,0.891000
pc3,2.0000,bgr,45,0.896000
pc3,2.0000,uniform,46,0.768750
pc3,2.0000,fixed,46,0.885000
pc3,2.0000,bgr,46,0.837000
pc3,2.0000,uniform,47,0.892250
pc3,2.0000,fixed,47,0.729000
pc3,2.0000,bgr,47,0.908000
pc3,2.0000,uniform,48,0.873750
pc3,2.0000,fixed,48,0.881250
pc3,2.0000,bgr,48,0.883250
pc3,2.0000,uniform,49,0.865000
pc3,2.0000,fixed,49,0.865000
pc3,2.0000,bgr,49,0.884000
pc3,2.0000,uniform,50,0.866500
pc3,2.0000,fixed,50,0.876750
pc3,2.0000,bgr,50,0.875500
pc3,2.0000,uniform,51,0.818500
pc3,2.0000,fixed,51,0.896750
pc3,2.0000,bgr,51,0.861750
pc3,2.0000,uniform,52,0.811750
pc3,2.0000,fixed,52,0.710500
pc3,2.0000,bgr,52,0.744500
pc3,2.0000,uniform,53,0.794750
pc3,2.0000,fixed,53,0.889500
pc3,2.0000,bgr,53,0.830500
pc3,2.0000,uniform,54,0.875250
pc3,2.0000,fixed,54,0.805250
pc3,2.0000,bgr,54,0.911750
pc3,2.0000,uniform,55,0.767250
pc3,2.0000,fixed,55,0.809500
pc3,2.0000,bgr,55,0.821750
pc3,2.0000,uniform,56,0.867750
pc3,2.0000,fixed,56,0.867250
pc3,2.0000,bgr,56,0.863750
pc3,2.0000,uniform,57,0.875000
pc3,2.0000,fixed,57,0.867250
pc3,2.0000,bgr,57,0.873000
pc3,2.0000,uniform,58,0.851750
pc3,2.0000,fixed,58,0.873500
pc3,2.0000,bgr,58,0.369000
pc3,2.0000,uniform,59,0.815250
pc3,2.0000,fixed,59,0.879500
pc3,2.0000,bgr,59,0.885250
pc4,2.0000,uniform,30,0.872500
pc4,2.0000,fixed,30,0.875750
pc4,2.0000,bgr,30,0.865750
pc4,2.0000,uniform,31,0.872500
pc4,2.0000,fixed,31,0.859250
pc4,2.0000,bgr,31,0.883500
pc4,2.0000,uniform,32,0.789250
pc4,2.0000,fixed,32,0.828750
pc4,2.0000,bgr,32,0.887750
pc4,2.0000,uniform,33,0.846000
pc4,2.0000,fixed,33,0.878000
pc4,2.0000,bgr,33,0.869250
pc4,2.0000,uniform,34,0.870500
pc4,2.0000,fixed,34,0.864250
pc4,2.0000,bgr,34,0.883250
pc4,2.0000,uniform,35,0.829000
pc4,2.0000,fixed,35,0.870750
