dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
electricity,2.0000,uniform,30,0.622883,0.000000,0,0,30,reject-scout
electricity,2.0000,fixed,30,0.604650,-0.018233,10,20,0,reject-scout
electricity,2.0000,bgr,30,0.639808,0.016925,17,13,0,reject-scout
gina_agnostic,2.0000,uniform,30,0.781133,0.000000,0,0,30,reject-scout
gina_agnostic,2.0000,fixed,30,0.781608,0.000475,14,16,0,reject-scout
gina_agnostic,2.0000,bgr,30,0.711533,-0.069600,4,26,0,reject-scout
hill-valley,2.0000,uniform,30,0.505725,0.000000,0,0,30,reject-scout
hill-valley,2.0000,fixed,30,0.512692,0.006967,15,15,0,reject-scout
hill-valley,2.0000,bgr,30,0.498942,-0.006783,14,16,0,reject-scout
jm1,2.0000,uniform,30,0.708133,0.000000,0,0,30,reject-scout
jm1,2.0000,fixed,30,0.735817,0.027683,19,11,0,reject-scout
jm1,2.0000,bgr,30,0.788750,0.080617,26,4,0,reject-scout
kc2,2.0000,uniform,30,0.784096,0.000000,0,0,30,reject-scout
kc2,2.0000,fixed,30,0.786270,0.002174,16,14,0,reject-scout
kc2,2.0000,bgr,30,0.825114,0.041018,24,6,0,reject-scout
madelon,2.0000,uniform,30,0.530367,0.000000,0,0,30,reject-scout
madelon,2.0000,fixed,30,0.531750,0.001383,19,11,0,reject-scout
madelon,2.0000,bgr,30,0.520208,-0.010158,11,19,0,reject-scout
mc1,2.0000,uniform,30,0.971500,0.000000,0,0,30,reject-scout
mc1,2.0000,fixed,30,0.972792,0.001292,19,10,1,reject-scout
mc1,2.0000,bgr,30,0.964675,-0.006825,11,18,1,reject-scout
pc2,2.0000,uniform,30,0.982808,0.000000,0,0,30,reject-scout
pc2,2.0000,fixed,30,0.972850,-0.009958,17,9,4,reject-scout
pc2,2.0000,bgr,30,0.956858,-0.025950,9,16,5,reject-scout
pc3,2.0000,uniform,30,0.844533,0.000000,0,0,30,reject-scout
pc3,2.0000,fixed,30,0.840167,-0.004367,16,13,1,reject-scout
pc3,2.0000,bgr,30,0.847367,0.002833,20,10,0,reject-scout
pc4,2.0000,uniform,30,0.868492,0.000000,0,0,30,reject-scout
pc4,2.0000,fixed,30,0.857058,-0.011433,15,15,0,reject-scout
pc4,2.0000,bgr,30,0.846400,-0.022092,11,19,0,reject-scout
