dataset,target_radius,method,seed,final_rauc
jm1,1.0000,uniform,0,0.796750
jm1,1.0000,fixed,0,0.726750
jm1,1.0000,bgr,0,0.810000
jm1,1.0000,uniform,1,0.580250
jm1,1.0000,fixed,1,0.612250
jm1,1.0000,bgr,1,0.728000
jm1,1.0000,uniform,2,0.726250
jm1,1.0000,fixed,2,0.784750
jm1,1.0000,bgr,2,0.724000
jm1,1.0000,uniform,3,0.747500
jm1,1.0000,fixed,3,0.785250
jm1,1.0000,bgr,3,0.453000
jm1,1.0000,uniform,4,0.696750
jm1,1.0000,fixed,4,0.635250
jm1,1.0000,bgr,4,0.535250
jm1,1.0000,uniform,5,0.779500
jm1,1.0000,fixed,5,0.719250
jm1,1.0000,bgr,5,0.788000
jm1,1.0000,uniform,6,0.721750
jm1,1.0000,fixed,6,0.740250
jm1,1.0000,bgr,6,0.787500
jm1,1.0000,uniform,7,0.715000
jm1,1.0000,fixed,7,0.761500
jm1,1.0000,bgr,7,0.778750
jm1,1.0000,uniform,8,0.741000
jm1,1.0000,fixed,8,0.722250
jm1,1.0000,bgr,8,0.772500
jm1,1.0000,uniform,9,0.761500
jm1,1.0000,fixed,9,0.806750
jm1,1.0000,bgr,9,0.822000
jm1,1.0000,uniform,10,0.803750
jm1,1.0000,fixed,10,0.743500
jm1,1.0000,bgr,10,0.788250
jm1,1.0000,uniform,11,0.492500
jm1,1.0000,fixed,11,0.606500
jm1,1.0000,bgr,11,0.682750
jm1,1.0000,uniform,12,0.763500
jm1,1.0000,fixed,12,0.708500
jm1,1.0000,bgr,12,0.715750
jm1,1.0000,uniform,13,0.725500
jm1,1.0000,fixed,13,0.734250
jm1,1.0000,bgr,13,0.765000
jm1,1.0000,uniform,14,0.760000
jm1,1.0000,fixed,14,0.698500
jm1,1.0000,bgr,14,0.759000
jm1,1.0000,uniform,15,0.773750
jm1,1.0000,fixed,15,0.734250
jm1,1.0000,bgr,15,0.770250
jm1,1.0000,uniform,16,0.569500
jm1,1.0000,fixed,16,0.708750
jm1,1.0000,bgr,16,0.602000
jm1,1.0000,uniform,17,0.564000
jm1,1.0000,fixed,17,0.785750
jm1,1.0000,bgr,17,0.793500
jm1,1.0000,uniform,18,0.792250
jm1,1.0000,fixed,18,0.665500
jm1,1.0000,bgr,18,0.621250
jm1,1.0000,uniform,19,0.792750
jm1,1.0000,fixed,19,0.648500
jm1,1.0000,bgr,19,0.801750
jm1,1.0000,uniform,20,0.530000
jm1,1.0000,fixed,20,0.767250
jm1,1.0000,bgr,20,0.799500
jm1,1.0000,uniform,21,0.772750
jm1,1.0000,fixed,21,0.746750
jm1,1.0000,bgr,21,0.771500
jm1,1.0000,uniform,22,0.740500
jm1,1.0000,fixed,22,0.728000
jm1,1.0000,bgr,22,0.705500
jm1,1.0000,uniform,23,0.684500
jm1,1.0000,fixed,23,0.772750
jm1,1.0000,bgr,23,0.785750
jm1,1.0000,uniform,24,0.776500
jm1,1.0000,fixed,24,0.693250
jm1,1.0000,bgr,24,0.729750
jm1,1.0000,uniform,25,0.728500
jm1,1.0000,fixed,25,0.725750
jm1,1.0000,bgr,25,0.670750
jm1,1.0000,uniform,26,0.752000
jm1,1.0000,fixed,26,0.766500
jm1,1.0000,bgr,26,0.819000
jm1,1.0000,uniform,27,0.791000
jm1,1.0000,fixed,27,0.791750
jm1,1.0000,bgr,27,0.407500
jm1,1.0000,uniform,28,0.734250
jm1,1.0000,fixed,28,0.727250
jm1,1.0000,bgr,28,0.762250
jm1,1.0000,uniform,29,0.775750
