dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
jm1,1.0000,uniform,30,0.719650,0.000000,0,0,30,reject-scout
jm1,1.0000,fixed,30,0.724833,0.005183,14,16,0,reject-scout
jm1,1.0000,bgr,30,0.723567,0.003917,16,14,0,reject-scout
jm1,1.5000,uniform,30,0.719650,0.000000,0,0,30,reject-scout
jm1,1.5000,fixed,30,0.725442,0.005792,14,16,0,reject-scout
jm1,1.5000,bgr,30,0.791700,0.072050,25,5,0,reject-scout
jm1,2.0000,uniform,30,0.719650,0.000000,0,0,30,reject-scout
jm1,2.0000,fixed,30,0.746833,0.027183,19,11,0,reject-scout
jm1,2.0000,bgr,30,0.789433,0.069783,28,2,0,reject-scout
kc2,1.0000,uniform,30,0.795890,0.000000,0,0,30,reject-scout
kc2,1.0000,fixed,30,0.781193,-0.014697,13,17,0,reject-scout
kc2,1.0000,bgr,30,0.805419,0.009529,14,16,0,reject-scout
kc2,1.5000,uniform,30,0.795890,0.000000,0,0,30,reject-scout
kc2,1.5000,fixed,30,0.799294,0.003404,16,14,0,reject-scout
kc2,1.5000,bgr,30,0.823702,0.027812,21,8,1,reject-scout
kc2,2.0000,uniform,30,0.795890,0.000000,0,0,30,reject-scout
kc2,2.0000,fixed,30,0.803791,0.007901,17,13,0,reject-scout
kc2,2.0000,bgr,30,0.818852,0.022962,19,10,1,reject-scout
