dataset,target_radius,method,seed,final_rauc
jm1,1.0000,uniform,30,0.774750
jm1,1.0000,fixed,30,0.758750
jm1,1.0000,bgr,30,0.730250
jm1,1.0000,uniform,31,0.541250
jm1,1.0000,fixed,31,0.756000
jm1,1.0000,bgr,31,0.708500
jm1,1.0000,uniform,32,0.712500
jm1,1.0000,fixed,32,0.697750
jm1,1.0000,bgr,32,0.723500
jm1,1.0000,uniform,33,0.784250
jm1,1.0000,fixed,33,0.831750
jm1,1.0000,bgr,33,0.803250
jm1,1.0000,uniform,34,0.596000
jm1,1.0000,fixed,34,0.753500
jm1,1.0000,bgr,34,0.728000
jm1,1.0000,uniform,35,0.803500
jm1,1.0000,fixed,35,0.747000
jm1,1.0000,bgr,35,0.797750
jm1,1.0000,uniform,36,0.806000
jm1,1.0000,fixed,36,0.426750
jm1,1.0000,bgr,36,0.816000
jm1,1.0000,uniform,37,0.800750
jm1,1.0000,fixed,37,0.561250
jm1,1.0000,bgr,37,0.740250
jm1,1.0000,uniform,38,0.769500
jm1,1.0000,fixed,38,0.798250
jm1,1.0000,bgr,38,0.810000
jm1,1.0000,uniform,39,0.623000
jm1,1.0000,fixed,39,0.721000
jm1,1.0000,bgr,39,0.675250
jm1,1.0000,uniform,40,0.747250
jm1,1.0000,fixed,40,0.797250
jm1,1.0000,bgr,40,0.785000
jm1,1.0000,uniform,41,0.779750
jm1,1.0000,fixed,41,0.743750
jm1,1.0000,bgr,41,0.774750
jm1,1.0000,uniform,42,0.368250
jm1,1.0000,fixed,42,0.799500
jm1,1.0000,bgr,42,0.743000
jm1,1.0000,uniform,43,0.687750
jm1,1.0000,fixed,43,0.666750
jm1,1.0000,bgr,43,0.687250
jm1,1.0000,uniform,44,0.779000
jm1,1.0000,fixed,44,0.773500
jm1,1.0000,bgr,44,0.749500
jm1,1.0000,uniform,45,0.429500
jm1,1.0000,fixed,45,0.726750
jm1,1.0000,bgr,45,0.726000
jm1,1.0000,uniform,46,0.583750
jm1,1.0000,fixed,46,0.756500
jm1,1.0000,bgr,46,0.780250
jm1,1.0000,uniform,47,0.756500
jm1,1.0000,fixed,47,0.704000
jm1,1.0000,bgr,47,0.796000
jm1,1.0000,uniform,48,0.745500
jm1,1.0000,fixed,48,0.733250
jm1,1.0000,bgr,48,0.767000
jm1,1.0000,uniform,49,0.668750
jm1,1.0000,fixed,49,0.777000
jm1,1.0000,bgr,49,0.677750
jm1,1.0000,uniform,50,0.758500
jm1,1.0000,fixed,50,0.788750
jm1,1.0000,bgr,50,0.714750
jm1,1.0000,uniform,51,0.811500
jm1,1.0000,fixed,51,0.798000
jm1,1.0000,bgr,51,0.817250
jm1,1.0000,uniform,52,0.793750
jm1,1.0000,fixed,52,0.626750
jm1,1.0000,bgr,52,0.807500
jm1,1.0000,uniform,53,0.725750
jm1,1.0000,fixed,53,0.787000
jm1,1.0000,bgr,53,0.815500
jm1,1.0000,uniform,54,0.743750
jm1,1.0000,fixed,54,0.376500
jm1,1.0000,bgr,54,0.786500
jm1,1.0000,uniform,55,0.693250
jm1,1.0000,fixed,55,0.387500
jm1,1.0000,bgr,55,0.546500
jm1,1.0000,uniform,56,0.732000
jm1,1.0000,fixed,56,0.766750
jm1,1.0000,bgr,56,0.721250
jm1,1.0000,uniform,57,0.767750
jm1,1.0000,fixed,57,0.802250
jm1,1.0000,bgr,57,0.819000
jm1,1.0000,uniform,58,0.744250
jm1,1.0000,fixed,58,0.667000
jm1,1.0000,bgr,58,0.705250
jm1,1.0000,uniform,59,0.716000
jm1,1.0000,fixed,59,0.464500
jm1,1.0000,bgr,59,0.759750
jm1,1.5000,uniform,30,0.774750
jm1,1.5000,fixed,30,0.763000
jm1,1.5000,bgr,30,0.816500
jm1,1.5000,uniform,31,0.541250
jm1,1.5000,fixed,31,0.743750
jm1,1.5000,bgr,31,0.779750
jm1,1.5000,uniform,32,0.712500
jm1,1.5000,fixed,32,0.744750
jm1,1.5000,bgr,32,0.789500
jm1,1.5000,uniform,33,0.784250
jm1,1.5000,fixed,33,0.839000
jm1,1.5000,bgr,33,0.837500
jm1,1.5000,uniform,34,0.596000
jm1,1.5000,fixed,34,0.758250
jm1,1.5000,bgr,34,0.761750
jm1,1.5000,uniform,35,0.803500
jm1,1.5000,fixed,35,0.782000
jm1,1.5000,bgr,35,0.812250
jm1,1.5000,uniform,36,0.806000
jm1,1.5000,fixed,36,0.577500
jm1,1.5000,bgr,36,0.850000
jm1,1.5000,uniform,37,0.800750
jm1,1.5000,fixed,37,0.457750
jm1,1.5000,bgr,37,0.790000
jm1,1.5000,uniform,38,0.769500
jm1,1.5000,fixed,38,0.807000
jm1,1.5000,bgr,38,0.776500
jm1,1.5000,uniform,39,0.623000
jm1,1.5000,fixed,39,0.764750
jm1,1.5000,bgr,39,0.792000
jm1,1.5000,uniform,40,0.747250
jm1,1.5000,fixed,40,0.812750
jm1,1.5000,bgr,40,0.812500
jm1,1.5000,uniform,41,0.779750
jm1,1.5000,fixed,41,0.736000
jm1,1.5000,bgr,41,0.821750
jm1,1.5000,uniform,42,0.368250
jm1,1.5000,fixed,42,0.832500
jm1,1.5000,bgr,42,0.832000
jm1,1.5000,uniform,43,0.687750
jm1,1.5000,fixed,43,0.778750
jm1,1.5000,bgr,43,0.784500
jm1,1.5000,uniform,44,0.779000
jm1,1.5000,fixed,44,0.786750
jm1,1.5000,bgr,44,0.792000
jm1,1.5000,uniform,45,0.429500
jm1,1.5000,fixed,45,0.713500
jm1,1.5000,bgr,45,0.761750
jm1,1.5000,uniform,46,0.583750
jm1,1.5000,fixed,46,0.765500
jm1,1.5000,bgr,46,0.724000
jm1,1.5000,uniform,47,0.756500
jm1,1.5000,fixed,47,0.697250
jm1,1.5000,bgr,47,0.814750
jm1,1.5000,uniform,48,0.745500
jm1,1.5000,fixed,48,0.764750
jm1,1.5000,bgr,48,0.811000
jm1,1.5000,uniform,49,0.668750
jm1,1.5000,fixed,49,0.721250
jm1,1.5000,bgr,49,0.800000
jm1,1.5000,uniform,50,0.758500
jm1,1.5000,fixed,50,0.824250
jm1,1.5000,bgr,50,0.847250
jm1,1.5000,uniform,51,0.811500
jm1,1.5000,fixed,51,0.621250
jm1,1.5000,bgr,51,0.868000
jm1,1.5000,uniform,52,0.793750
jm1,1.5000,fixed,52,0.690750
jm1,1.5000,bgr,52,0.806500
jm1,1.5000,uniform,53,0.725750
jm1,1.5000,fixed,53,0.809750
jm1,1.5000,bgr,53,0.819000
jm1,1.5000,uniform,54,0.743750
jm1,1.5000,fixed,54,0.479750
jm1,1.5000,bgr,54,0.808750
jm1,1.5000,uniform,55,0.693250
jm1,1.5000,fixed,55,0.776250
jm1,1.5000,bgr,55,0.788000
jm1,1.5000,uniform,56,0.732000
jm1,1.5000,fixed,56,0.784000
jm1,1.5000,bgr,56,0.816000
jm1,1.5000,uniform,57,0.767750
jm1,1.5000,fixed,57,0.791250
jm1,1.5000,bgr,57,0.804250
jm1,1.5000,uniform,58,0.744250
jm1,1.5000,fixed,58,0.666250
jm1,1.5000,bgr,58,0.740000
jm1,1.5000,uniform,59,0.716000
jm1,1.5000,fixed,59,0.307750
jm1,1.5000,bgr,59,0.774750
jm1,2.0000,uniform,30,0.774750
jm1,2.0000,fixed,30,0.772500
jm1,2.0000,bgr,30,0.783250
jm1,2.0000,uniform,31,0.541250
jm1,2.0000,fixed,31,0.784500
jm1,2.0000,bgr,31,0.732750
jm1,2.0000,uniform,32,0.712500
jm1,2.0000,fixed,32,0.739250
jm1,2.0000,bgr,32,0.784250
jm1,2.0000,uniform,33,0.784250
jm1,2.0000,fixed,33,0.841500
jm1,2.0000,bgr,33,0.844000
jm1,2.0000,uniform,34,0.596000
jm1,2.0000,fixed,34,0.749500
jm1,2.0000,bgr,34,0.662500
jm1,2.0000,uniform,35,0.803500
jm1,2.0000,fixed,35,0.771250
jm1,2.0000,bgr,35,0.812000
jm1,2.0000,uniform,36,0.806000
jm1,2.0000,fixed,36,0.547000
jm1,2.0000,bgr,36,0.834000
jm1,2.0000,uniform,37,0.800750
jm1,2.0000,fixed,37,0.572500
jm1,2.0000,bgr,37,0.756750
jm1,2.0000,uniform,38,0.769500
jm1,2.0000,fixed,38,0.817250
jm1,2.0000,bgr,38,0.820000
jm1,2.0000,uniform,39,0.623000
jm1,2.0000,fixed,39,0.772250
jm1,2.0000,bgr,39,0.757750
jm1,2.0000,uniform,40,0.747250
jm1,2.0000,fixed,40,0.809000
