dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
jm1,1.0000,uniform,30,0.708133,0.000000,0,0,30,reject-scout
jm1,1.0000,fixed,30,0.699842,-0.008292,14,16,0,reject-scout
jm1,1.0000,bgr,30,0.750417,0.042283,20,10,0,reject-scout
jm1,1.5000,uniform,30,0.708133,0.000000,0,0,30,reject-scout
jm1,1.5000,fixed,30,0.719933,0.011800,19,11,0,reject-scout
jm1,1.5000,bgr,30,0.801083,0.092950,28,2,0,reject-scout
jm1,2.0000,uniform,30,0.708133,0.000000,0,0,30,reject-scout
jm1,2.0000,fixed,30,0.735817,0.027683,19,11,0,reject-scout
jm1,2.0000,bgr,30,0.788750,0.080617,26,4,0,reject-scout
kc2,1.0000,uniform,30,0.784096,0.000000,0,0,30,reject-scout
kc2,1.0000,fixed,30,0.766792,-0.017304,16,14,0,reject-scout
kc2,1.0000,bgr,30,0.789561,0.005464,21,9,0,reject-scout
kc2,1.5000,uniform,30,0.784096,0.000000,0,0,30,reject-scout
kc2,1.5000,fixed,30,0.794638,0.010542,15,15,0,reject-scout
kc2,1.5000,bgr,30,0.823588,0.039492,21,9,0,reject-scout
kc2,2.0000,uniform,30,0.784096,0.000000,0,0,30,reject-scout
kc2,2.0000,fixed,30,0.786270,0.002174,16,14,0,reject-scout
kc2,2.0000,bgr,30,0.825114,0.041018,24,6,0,reject-scout
