method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.0,0.0,1.0,0.029513888888888885,0.23611111111111108
uniform,1,0.0,0.0,1.0,0.028790509259259262,0.22916666666666666
uniform,2,0.0,0.0,1.0,0.013093171296296294,0.10474537037037035
uniform,3,0.020833333333333332,0.002893518518518519,1.0,0.03146701388888889,0.23958333333333334
fixed,0,0.0,0.0,1.0,0.029513888888888885,0.23611111111111108
fixed,1,0.0,0.0,1.0,0.028645833333333332,0.22916666666666666
fixed,2,0.0,0.0,1.0,0.013093171296296294,0.10474537037037035
fixed,3,0.0,0.0,1.0,0.029947916666666668,0.23958333333333334
failure_only,0,0.0,0.0,1.0,0.029513888888888885,0.23611111111111108
failure_only,1,0.0,0.0005787037037037037,1.0,0.028718171296296297,0.22916666666666666
failure_only,2,0.0,0.0,1.0,0.013093171296296294,0.10474537037037035
failure_only,3,0.125,0.029513888888888885,1.0,0.03783275462962963,0.23958333333333334
td_loss,0,0.0,0.0,1.0,0.029947916666666668,0.23611111111111108
td_loss,1,0.0,0.0,1.0,0.035590277777777776,0.22916666666666666
td_loss,2,0.0,0.0,1.0,0.013093171296296294,0.10474537037037035
td_loss,3,0.0,0.0,1.0,0.030381944444444448,0.23958333333333334
bgr_uniform_radius,0,0.0,0.0,1.0,0.029513888888888885,0.23611111111111108
bgr_uniform_radius,1,0.0,0.0,1.0,0.028645833333333332,0.22916666666666666
bgr_uniform_radius,2,0.0,0.0,1.0,0.014973958333333329,0.10474537037037035
bgr_uniform_radius,3,0.0,0.0,1.0,0.029947916666666668,0.23958333333333334
bgr_coverage,0,0.0,0.0,1.0,0.03414351851851852,0.23611111111111108
bgr_coverage,1,0.0,0.0,1.0,0.03139467592592592,0.22916666666666666
bgr_coverage,2,0.0,0.0,1.0,0.014539930555555556,0.10474537037037035
bgr_coverage,3,0.020833333333333332,0.001736111111111111,1.0,0.03016493055555556,0.23958333333333334
bgr,0,0.0,0.005787037037037038,1.0,0.03096064814814814,0.23611111111111108
bgr,1,0.0625,0.008680555555555556,1.0,0.03334780092592592,0.22916666666666666
bgr,2,0.0,0.0,1.0,0.013093171296296294,0.10474537037037035
bgr,3,0.0,0.0,1.0,0.03385416666666667,0.23958333333333334
