method,seed,final_clean,final_rauc,final_median_r80,final_abs_r20,rauc_aulc,best_rauc
uniform,0,0.5,0.18750000000000003,0.7,0.06666666666666667,0.27777777777777773,0.6041666666666666
uniform,1,0.0,0.0,1.0,0.0,0.325,1.0
uniform,2,0.25,0.08333333333333333,1.0,0.0,0.11111111111111112,0.5833333333333334
uniform,3,0.0,0.0,1.0,0.0,0.13333333333333333,0.5916666666666667
fixed,0,0.25,0.020833333333333332,1.0,0.0,0.1263888888888889,0.6041666666666666
fixed,1,0.0,0.008333333333333337,1.0,0.0,0.19861111111111107,1.0
fixed,2,0.0,0.0,1.0,0.0,0.09722222222222224,0.5833333333333334
fixed,3,0.75,0.3291666666666666,0.46759259259259256,0.3541666666666667,0.22291666666666668,0.5916666666666667
failure_only,0,0.5,0.18750000000000003,0.7,0.06666666666666667,0.4583333333333333,0.6041666666666666
failure_only,1,0.25,0.4291666666666667,1.0,0.0,0.5576388888888888,1.0
failure_only,2,0.5,0.44999999999999996,0.6875,0.2222222222222222,0.2916666666666667,0.5833333333333334
failure_only,3,0.75,0.3333333333333333,0.5925925925925926,0.29583333333333334,0.3763888888888889,0.5916666666666667
td_loss,0,0.0,0.0625,1.0,0.0,0.1111111111111111,0.6041666666666666
td_loss,1,0.0,0.0,1.0,0.0,0.28611111111111115,1.0
td_loss,2,0.0,0.0,1.0,0.0,0.15000000000000002,0.5833333333333334
td_loss,3,0.0,0.0,1.0,0.0,0.11944444444444445,0.5916666666666667
bgr_uniform_radius,0,0.0,0.0625,1.0,0.0,0.14166666666666666,0.6041666666666666
bgr_uniform_radius,1,0.0,0.0,1.0,0.0,0.23611111111111113,1.0
bgr_uniform_radius,2,0.0,0.004166666666666666,1.0,0.0,0.11875000000000001,0.5833333333333334
bgr_uniform_radius,3,0.0,0.0,1.0,0.0,0.11944444444444445,0.5916666666666667
bgr_coverage,0,0.0,0.0,1.0,0.0,0.12152777777777776,0.6041666666666666
bgr_coverage,1,0.25,0.08333333333333333,1.0,0.0,0.20833333333333334,1.0
bgr_coverage,2,0.0,0.0625,1.0,0.0,0.25069444444444444,0.5833333333333334
bgr_coverage,3,0.25,0.08333333333333333,1.0,0.0,0.16111111111111107,0.5916666666666667
bgr,0,0.5,0.18750000000000003,0.7,0.06666666666666667,0.1736111111111111,0.6041666666666666
bgr,1,0.0,0.008333333333333337,1.0,0.0,0.19583333333333333,1.0
bgr,2,0.25,0.08333333333333333,1.0,0.0,0.1388888888888889,0.5833333333333334
bgr,3,0.0,0.0625,1.0,0.0,0.15763888888888886,0.5916666666666667
