seed,sigma,success,steps,best_distance,final_distance
0,0.0,1,16,0.014453986194317406,0.014453986194317406
0,0.25,1,16,0.01418858256660973,0.01418858256660973
0,0.5,1,16,0.01382609024250321,0.01382609024250321
0,0.75,1,16,0.013363417510792355,0.013363417510792355
0,1.0,1,16,0.012823469678122574,0.012823469678122574
0,1.5,1,16,0.012336586591987823,0.012336586591987823
0,2.0,1,16,0.013128958095197164,0.013128958095197164
0,2.5,1,16,0.013639655237492693,0.013639655237492693
0,3.0,1,16,0.01459368073423966,0.01459368073423966
0,3.5,1,16,0.016552190861363194,0.016552190861363194
0,4.0,1,16,0.020138672694029844,0.020138672694029844
1,0.0,1,16,0.018983657192432626,0.018983657192432626
1,0.25,1,16,0.020814886479285682,0.020814886479285682
1,0.5,1,16,0.018721703479083782,0.018721703479083782
1,0.75,1,16,0.01641448386334218,0.01641448386334218
1,1.0,1,16,0.0146216987647924,0.0146216987647924
1,1.5,1,16,0.012368273544814278,0.012368273544814278
1,2.0,0,16,0.08519807698840905,0.09832139218444075
1,2.5,0,16,0.08630336426944402,0.09838700613624367
1,3.0,0,16,0.0764763817017101,0.09839630173433764
1,3.5,0,16,0.0644504825028519,0.0978008893519072
1,4.0,0,16,0.06230112464308648,0.1935596928101266
2,0.0,1,16,0.014645024796523357,0.014645024796523357
2,0.25,1,16,0.015173744477449161,0.015173744477449161
2,0.5,1,16,0.015807414949958912,0.015807414949958912
2,0.75,1,16,0.01650916865474638,0.01650916865474638
2,1.0,1,16,0.017226408244688605,0.017226408244688605
2,1.5,1,16,0.019754688777422615,0.019754688777422615
2,2.0,1,16,0.019764661187657,0.019764661187657
2,2.5,1,16,0.015296619537874178,0.015296619537874178
2,3.0,1,16,0.012376322898590983,0.012376322898590983
2,3.5,1,16,0.010575509853369964,0.010575509853369964
2,4.0,1,16,0.009461396945871527,0.009461396945871527
3,0.0,0,16,0.026315898144751926,0.026315898144751926
3,0.25,0,16,0.02535800387911302,0.02535800387911302
3,0.5,1,16,0.024601918604199448,0.024601918604199448
3,0.75,1,16,0.023592932624643497,0.023592932624643497
3,1.0,1,16,0.022724727688338834,0.022724727688338834
3,1.5,1,16,0.022632047904237552,0.022632047904237552
3,2.0,1,16,0.022217614792520858,0.022217614792520858
3,2.5,1,16,0.020910956651825297,0.020910956651825297
3,3.0,0,16,0.15842500840969168,0.18198188828429263
3,3.5,0,16,0.1530124124983686,0.18186349749178288
3,4.0,0,16,0.0668736814689566,0.0668736814689566
4,0.0,1,16,0.01593623136314926,0.01593623136314926
4,0.25,1,16,0.01641320744194071,0.01641320744194071
4,0.5,1,16,0.016671276495413365,0.016671276495413365
4,0.75,1,16,0.016944541647516846,0.016944541647516846
4,1.0,1,16,0.017288925565069276,0.017288925565069276
4,1.5,1,16,0.020072551299912273,0.020072551299912273
4,2.0,1,16,0.018735813289708938,0.018735813289708938
4,2.5,1,16,0.015175861186799464,0.015175861186799464
4,3.0,1,16,0.01277830860159396,0.01277830860159396
4,3.5,1,16,0.011201005536698703,0.011201005536698703
4,4.0,1,16,0.009804606232052291,0.009804606232052291
5,0.0,0,16,0.029358111595425552,0.029358111595425552
5,0.25,0,16,0.029983055995041072,0.029983055995041072
5,0.5,0,16,0.03217524071524538,0.03217524071524538
5,0.75,0,16,0.03495483202056547,0.03495483202056547
5,1.0,0,16,0.03629342640452641,0.03629342640452641
5,1.5,0,16,0.042649950403957096,0.042649950403957096
5,2.0,0,16,0.040887169371827056,0.040887169371827056
5,2.5,0,16,0.04045417223477356,0.04045417223477356
5,3.0,0,16,0.19154172735781785,0.20067151616412066
5,3.5,0,16,0.15323867956444495,0.2005736553598286
5,4.0,0,16,0.03520620521782158,0.03520620521782158
6,0.0,1,16,0.013685765358866687,0.013685765358866687
6,0.25,1,16,0.012405565265048482,0.012405565265048482
6,0.5,1,16,0.010922881507614291,0.010922881507614291
6,0.75,1,16,0.0100150916453009,0.0100150916453009
6,1.0,1,16,0.009163487931299001,0.009163487931299001
6,1.5,1,16,0.009119623751494619,0.009119623751494619
6,2.0,1,16,0.018391539168745898,0.018391539168745898
6,2.5,1,16,0.0215112277738436,0.0215112277738436
6,3.0,0,16,0.02523429279243481,0.02523429279243481
6,3.5,1,16,0.017464515737586145,0.017464515737586145
6,4.0,1,16,0.013536785557622213,0.013536785557622213
7,0.0,1,16,0.013063419516545561,0.013063419516545561
7,0.25,1,16,0.013866603606259924,0.013866603606259924
7,0.5,1,16,0.015140599408048393,0.015140599408048393
7,0.75,1,16,0.016940593463553994,0.016940593463553994
7,1.0,1,16,0.018835657269925865,0.018835657269925865
7,1.5,1,16,0.02298155727669657,0.02298155727669657
7,2.0,1,16,0.02075800745777109,0.02075800745777109
7,2.5,1,16,0.02003834618862121,0.02003834618862121
7,3.0,1,16,0.020488960096330833,0.020488960096330833
7,3.5,0,16,0.16821878852027286,0.18610597712194646
7,4.0,0,16,0.04467267717517263,0.04467267717517263
8,0.0,1,16,0.006642141998473557,0.006642141998473557
8,0.25,1,16,0.008215915588800908,0.008215915588800908
8,0.5,1,16,0.00981873115983214,0.00981873115983214
8,0.75,1,16,0.011271297547565078,0.011271297547565078
8,1.0,1,16,0.012636440325976394,0.012636440325976394
8,1.5,1,16,0.017046150952109818,0.017046150952109818
8,2.0,1,16,0.021581016098048893,0.021581016098048893
8,2.5,0,16,0.030452598798943777,0.030452598798943777
8,3.0,1,16,0.02250316363677272,0.02250316363677272
8,3.5,1,16,0.016731804309135147,0.016731804309135147
8,4.0,1,16,0.010091208658700342,0.010091208658700342
9,0.0,1,16,0.005131108344044376,0.005131108344044376
9,0.25,1,16,0.0046081675939534,0.0046081675939534
9,0.5,1,16,0.0044715097021849745,0.0044715097021849745
9,0.75,1,16,0.004633778849760016,0.004633778849760016
9,1.0,1,16,0.00515240861997509,0.00515240861997509
9,1.5,1,16,0.006437129640565343,0.006437129640565343
9,2.0,1,16,0.007443570930848688,0.007443570930848688
9,2.5,1,16,0.00839068900272728,0.00839068900272728
9,3.0,1,16,0.008942259782818682,0.008942259782818682
9,3.5,1,16,0.01089969789641584,0.01089969789641584
9,4.0,0,16,0.0320699301348092,0.0320699301348092
10,0.0,1,16,0.009869354801529276,0.009869354801529276
10,0.25,1,16,0.007834250135657373,0.007834250135657373
10,0.5,1,16,0.006133593510945915,0.006133593510945915
10,0.75,1,16,0.004859160015670454,0.004859160015670454
10,1.0,1,16,0.003683606917205483,0.003683606917205483
10,1.5,1,16,0.001789765844454712,0.001789765844454712
10,2.0,1,16,0.0034590671258323937,0.0034590671258323937
10,2.5,1,16,0.008201233862122315,0.008201233862122315
10,3.0,1,16,0.0146761737015219,0.0146761737015219
10,3.5,1,16,0.0196258077903409,0.0196258077903409
10,4.0,0,16,0.02520665044291337,0.02520665044291337
11,0.0,1,16,0.002708235266116202,0.002708235266116202
11,0.25,1,16,0.001715732728073478,0.001715732728073478
11,0.5,1,16,0.0014625460254194158,0.0014625460254194158
11,0.75,1,16,0.0012619776837155343,0.0012619776837155343
