method,seed,step,clean,rauc,median_r80
uniform,0,0.0,1.0,0.8932291666666666,2.95
uniform,0,20.0,0.08333333333333333,0.14192708333333334,4.0
uniform,0,40.0,0.0,0.1328125,4.0
uniform,0,60.0,0.5,0.6458333333333334,3.6
uniform,0,80.0,0.75,0.4869791666666667,0.85
uniform,1,0.0,1.0,0.8984375,2.7
uniform,1,20.0,0.08333333333333333,0.17708333333333334,4.0
uniform,1,40.0,0.16666666666666666,0.07552083333333333,4.0
uniform,1,60.0,0.16666666666666666,0.18098958333333334,4.0
uniform,1,80.0,0.16666666666666666,0.3802083333333333,4.0
uniform,2,0.0,1.0,0.9270833333333334,3.85
uniform,2,20.0,0.25,0.20703125,4.0
uniform,2,40.0,0.75,0.5091145833333334,0.9750000000000001
uniform,2,60.0,0.0,0.21875,4.0
uniform,2,80.0,0.3333333333333333,0.6328125,4.0
uniform,3,0.0,1.0,0.9244791666666666,3.8
uniform,3,20.0,0.0,0.4934895833333333,4.0
uniform,3,40.0,0.3333333333333333,0.3502604166666667,4.0
uniform,3,60.0,0.4166666666666667,0.2916666666666667,4.0
uniform,3,80.0,0.25,0.4700520833333333,4.0
uniform,4,0.0,1.0,0.8815104166666666,2.7
uniform,4,20.0,0.25,0.26171875,4.0
uniform,4,40.0,0.6666666666666666,0.3997395833333333,0.725
uniform,4,60.0,0.25,0.21875,4.0
uniform,4,80.0,0.8333333333333334,0.6393229166666666,0.9750000000000001
uniform,5,0.0,1.0,0.9049479166666666,2.95
uniform,5,20.0,0.3333333333333333,0.22526041666666666,4.0
uniform,5,40.0,0.9166666666666666,0.81640625,2.6500000000000004
uniform,5,60.0,0.08333333333333333,0.10286458333333333,4.0
uniform,5,80.0,0.75,0.4869791666666667,1.1
uniform,6,0.0,1.0,0.9114583333333334,2.7
uniform,6,20.0,0.75,0.4166666666666667,0.6
uniform,6,40.0,0.8333333333333334,0.7200520833333334,1.45
uniform,6,60.0,0.3333333333333333,0.3515625,4.0
uniform,6,80.0,0.0,0.16927083333333334,4.0
uniform,7,0.0,1.0,0.9192708333333334,3.45
uniform,7,20.0,0.0,0.15234375,4.0
uniform,7,40.0,0.08333333333333333,0.23046875,4.0
uniform,7,60.0,0.0,0.14713541666666666,4.0
uniform,7,80.0,0.0,0.18619791666666666,4.0
uniform,8,0.0,1.0,0.9296875,3.2
uniform,8,20.0,0.4166666666666667,0.3033854166666667,4.0
uniform,8,40.0,0.16666666666666666,0.2955729166666667,4.0
uniform,8,60.0,0.5,0.4361979166666667,3.3
uniform,8,80.0,0.25,0.3020833333333333,4.0
uniform,9,0.0,1.0,0.890625,2.7
uniform,9,20.0,0.0,0.044270833333333336,4.0
uniform,9,40.0,0.0,0.13802083333333334,4.0
uniform,9,60.0,0.16666666666666666,0.2838541666666667,4.0
uniform,9,80.0,0.4166666666666667,0.4661458333333333,4.0
uniform,10,0.0,1.0,0.8828125,2.9000000000000004
uniform,10,20.0,0.08333333333333333,0.3411458333333333,4.0
uniform,10,40.0,0.5833333333333334,0.4466145833333333,1.2
uniform,10,60.0,0.5833333333333334,0.7200520833333334,3.2
uniform,10,80.0,0.0,0.11067708333333333,4.0
uniform,11,0.0,1.0,0.91796875,2.95
uniform,11,20.0,0.25,0.16276041666666666,4.0
uniform,11,40.0,0.3333333333333333,0.6419270833333334,4.0
uniform,11,60.0,0.0,0.2591145833333333,4.0
uniform,11,80.0,0.16666666666666666,0.3033854166666667,4.0
fixed,0,0.0,1.0,0.8932291666666666,2.95
fixed,0,20.0,0.3333333333333333,0.24479166666666666,4.0
fixed,0,40.0,0.6666666666666666,0.37890625,0.8
fixed,0,60.0,0.3333333333333333,0.3828125,4.0
fixed,0,80.0,0.16666666666666666,0.17317708333333334,4.0
fixed,1,0.0,1.0,0.8984375,2.7
fixed,1,20.0,0.25,0.2721354166666667,4.0
fixed,1,40.0,0.5,0.4544270833333333,2.85
fixed,1,60.0,0.25,0.3671875,4.0
fixed,1,80.0,0.5,0.23046875,2.3
fixed,2,0.0,1.0,0.9270833333333334,3.85
fixed,2,20.0,0.3333333333333333,0.2955729166666667,4.0
fixed,2,40.0,0.0,0.16796875,4.0
fixed,2,60.0,0.3333333333333333,0.34375,4.0
fixed,2,80.0,0.0,0.07421875,4.0
fixed,3,0.0,1.0,0.9244791666666666,3.8
fixed,3,20.0,0.5833333333333334,0.5872395833333334,2.7
fixed,3,40.0,0.16666666666666666,0.2799479166666667,4.0
fixed,3,60.0,0.4166666666666667,0.3541666666666667,4.0
fixed,3,80.0,0.25,0.20052083333333334,4.0
fixed,4,0.0,1.0,0.8815104166666666,2.7
fixed,4,20.0,0.25,0.15755208333333334,4.0
fixed,4,40.0,0.08333333333333333,0.11848958333333333,4.0
fixed,4,60.0,0.5833333333333334,0.4557291666666667,0.7
fixed,4,80.0,0.4166666666666667,0.21744791666666666,4.0
fixed,5,0.0,1.0,0.9049479166666666,2.95
fixed,5,20.0,0.0,0.23567708333333334,4.0
fixed,5,40.0,0.0,0.3984375,4.0
fixed,5,60.0,0.16666666666666666,0.4049479166666667,4.0
fixed,5,80.0,0.0,0.08723958333333333,4.0
fixed,6,0.0,1.0,0.9114583333333334,2.7
fixed,6,20.0,0.0,0.16015625,4.0
fixed,6,40.0,0.75,0.5533854166666666,0.725
fixed,6,60.0,0.4166666666666667,0.4544270833333333,4.0
fixed,6,80.0,0.0,0.13151041666666666,4.0
fixed,7,0.0,1.0,0.9192708333333334,3.45
fixed,7,20.0,0.08333333333333333,0.24739583333333334,4.0
fixed,7,40.0,0.08333333333333333,0.15755208333333334,4.0
fixed,7,60.0,0.0,0.22526041666666666,4.0
fixed,7,80.0,0.0,0.125,4.0
fixed,8,0.0,1.0,0.9296875,3.2
fixed,8,20.0,0.08333333333333333,0.13151041666666666,4.0
fixed,8,40.0,0.08333333333333333,0.15755208333333334,4.0
fixed,8,60.0,0.16666666666666666,0.3489583333333333,4.0
fixed,8,80.0,0.16666666666666666,0.359375,4.0
fixed,9,0.0,1.0,0.890625,2.7
fixed,9,20.0,0.3333333333333333,0.23307291666666666,4.0
fixed,9,40.0,0.08333333333333333,0.18229166666666666,4.0
fixed,9,60.0,0.16666666666666666,0.35546875,4.0
fixed,9,80.0,0.0,0.3255208333333333,4.0
fixed,10,0.0,1.0,0.8828125,2.9000000000000004
fixed,10,20.0,0.25,0.2942708333333333,4.0
fixed,10,40.0,0.9166666666666666,0.859375,1.275
fixed,10,60.0,0.0,0.13411458333333334,4.0
fixed,10,80.0,0.4166666666666667,0.3958333333333333,4.0
fixed,11,0.0,1.0,0.91796875,2.95
fixed,11,20.0,0.3333333333333333,0.4075520833333333,4.0
fixed,11,40.0,0.16666666666666666,0.3098958333333333,4.0
fixed,11,60.0,0.3333333333333333,0.4856770833333333,4.0
fixed,11,80.0,0.5833333333333334,0.4752604166666667,1.7
failure_only,0,0.0,1.0,0.8932291666666666,2.95
failure_only,0,20.0,0.75,0.3567708333333333,0.7
failure_only,0,40.0,0.3333333333333333,0.18098958333333334,4.0
failure_only,0,60.0,0.5,0.328125,2.425
failure_only,0,80.0,0.08333333333333333,0.14192708333333334,4.0
failure_only,1,0.0,1.0,0.8984375,2.7
failure_only,1,20.0,0.4166666666666667,0.3932291666666667,4.0
failure_only,1,40.0,0.5,0.30859375,2.4
failure_only,1,60.0,0.16666666666666666,0.14973958333333334,4.0
failure_only,1,80.0,0.3333333333333333,0.3776041666666667,4.0
failure_only,2,0.0,1.0,0.9270833333333334,3.85
failure_only,2,20.0,0.5,0.3216145833333333,2.6
failure_only,2,40.0,0.4166666666666667,0.30078125,4.0
failure_only,2,60.0,0.4166666666666667,0.2955729166666667,4.0
failure_only,2,80.0,0.0,0.08072916666666667,4.0
failure_only,3,0.0,1.0,0.9244791666666666,3.8
failure_only,3,20.0,0.6666666666666666,0.3932291666666667,0.725
failure_only,3,40.0,0.5,0.4088541666666667,2.4
failure_only,3,60.0,0.25,0.4505208333333333,4.0
failure_only,3,80.0,0.6666666666666666,0.703125,3.6500000000000004
failure_only,4,0.0,1.0,0.8815104166666666,2.7
failure_only,4,20.0,0.6666666666666666,0.2421875,0.475
failure_only,4,40.0,0.3333333333333333,0.20442708333333334,4.0
failure_only,4,60.0,0.08333333333333333,0.25390625,4.0
failure_only,4,80.0,0.5833333333333334,0.7721354166666666,2.45
failure_only,5,0.0,1.0,0.9049479166666666,2.95
failure_only,5,20.0,0.0,0.14713541666666666,4.0
failure_only,5,40.0,0.0,0.13802083333333334,4.0
failure_only,5,60.0,0.25,0.3502604166666667,4.0
failure_only,5,80.0,0.3333333333333333,0.21484375,4.0
failure_only,6,0.0,1.0,0.9114583333333334,2.7
failure_only,6,20.0,0.8333333333333334,0.421875,0.7
failure_only,6,40.0,0.0,0.11848958333333333,4.0
failure_only,6,60.0,0.08333333333333333,0.2669270833333333,4.0
failure_only,6,80.0,0.08333333333333333,0.4127604166666667,4.0
failure_only,7,0.0,1.0,0.9192708333333334,3.45
failure_only,7,20.0,0.3333333333333333,0.2669270833333333,4.0
failure_only,7,40.0,0.0,0.16145833333333334,4.0
failure_only,7,60.0,0.3333333333333333,0.3125,4.0
failure_only,7,80.0,0.75,0.5078125,0.825
failure_only,8,0.0,1.0,0.9296875,3.2
failure_only,8,20.0,0.5,0.3997395833333333,2.85
failure_only,8,40.0,0.4166666666666667,0.3606770833333333,4.0
failure_only,8,60.0,0.3333333333333333,0.234375,4.0
failure_only,8,80.0,0.3333333333333333,0.2786458333333333,4.0
failure_only,9,0.0,1.0,0.890625,2.7
failure_only,9,20.0,0.0,0.11458333333333333,4.0
failure_only,9,40.0,0.8333333333333334,0.5703125,1.4
failure_only,9,60.0,0.25,0.3619791666666667,4.0
