target_radius,method,seed,final_rauc
0.5000,uniform,0,0.782250
0.5000,fixed,0,0.779000
0.5000,bgr,0,0.619750
0.5000,uniform,1,0.819750
0.5000,fixed,1,0.866000
0.5000,bgr,1,0.760500
0.5000,uniform,2,0.841250
0.5000,fixed,2,0.794750
0.5000,bgr,2,0.913500
0.5000,uniform,3,0.805750
0.5000,fixed,3,0.793000
0.5000,bgr,3,0.810750
0.8000,uniform,0,0.782250
0.8000,fixed,0,0.837000
0.8000,bgr,0,0.794250
0.8000,uniform,1,0.819750
0.8000,fixed,1,0.811750
0.8000,bgr,1,0.765500
0.8000,uniform,2,0.841250
0.8000,fixed,2,0.861250
0.8000,bgr,2,0.622500
0.8000,uniform,3,0.805750
0.8000,fixed,3,0.860000
0.8000,bgr,3,0.582250
1.0000,uniform,0,0.782250
1.0000,fixed,0,0.837500
1.0000,bgr,0,0.771250
1.0000,uniform,1,0.819750
1.0000,fixed,1,0.743750
1.0000,bgr,1,0.800250
1.0000,uniform,2,0.841250
1.0000,fixed,2,0.795000
1.0000,bgr,2,0.847000
1.0000,uniform,3,0.805750
1.0000,fixed,3,0.797250
1.0000,bgr,3,0.889750
1.2000,uniform,0,0.782250
1.2000,fixed,0,0.875250
1.2000,bgr,0,0.613250
1.2000,uniform,1,0.819750
1.2000,fixed,1,0.643500
1.2000,bgr,1,0.814250
1.2000,uniform,2,0.841250
1.2000,fixed,2,0.789000
1.2000,bgr,2,0.800000
1.2000,uniform,3,0.805750
1.2000,fixed,3,0.770750
1.2000,bgr,3,0.775250
1.5000,uniform,0,0.782250
1.5000,fixed,0,0.810000
1.5000,bgr,0,0.533750
1.5000,uniform,1,0.819750
1.5000,fixed,1,0.803500
1.5000,bgr,1,0.799250
1.5000,uniform,2,0.841250
1.5000,fixed,2,0.705750
1.5000,bgr,2,0.704500
1.5000,uniform,3,0.805750
1.5000,fixed,3,0.776250
1.5000,bgr,3,0.709250
1.8000,uniform,0,0.782250
1.8000,fixed,0,0.776750
1.8000,bgr,0,0.663750
1.8000,uniform,1,0.819750
1.8000,fixed,1,0.707750
1.8000,bgr,1,0.732250
1.8000,uniform,2,0.841250
1.8000,fixed,2,0.811750
1.8000,bgr,2,0.731500
1.8000,uniform,3,0.805750
1.8000,fixed,3,0.778500
1.8000,bgr,3,0.783000
2.0000,uniform,0,0.782250
2.0000,fixed,0,0.797750
2.0000,bgr,0,0.628000
2.0000,uniform,1,0.819750
2.0000,fixed,1,0.747250
2.0000,bgr,1,0.713750
2.0000,uniform,2,0.841250
2.0000,fixed,2,0.703000
2.0000,bgr,2,0.742750
2.0000,uniform,3,0.805750
2.0000,fixed,3,0.750500
2.0000,bgr,3,0.691750
