target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
0.5000,uniform,4,0.812250,0.000000,0,0,4,reject-scout
0.5000,fixed,4,0.808188,-0.004062,1,3,0,reject-scout
0.5000,bgr,4,0.776125,-0.036125,2,2,0,reject-scout
0.8000,uniform,4,0.812250,0.000000,0,0,4,reject-scout
0.8000,fixed,4,0.842500,0.030250,3,1,0,reject-scout
0.8000,bgr,4,0.691125,-0.121125,1,3,0,reject-scout
1.0000,uniform,4,0.812250,0.000000,0,0,4,reject-scout
1.0000,fixed,4,0.793375,-0.018875,1,3,0,reject-scout
1.0000,bgr,4,0.827063,0.014813,2,2,0,reject-scout
1.2000,uniform,4,0.812250,0.000000,0,0,4,reject-scout
1.2000,fixed,4,0.769625,-0.042625,1,3,0,reject-scout
1.2000,bgr,4,0.750687,-0.061562,0,4,0,reject-scout
1.5000,uniform,4,0.812250,0.000000,0,0,4,reject-scout
1.5000,fixed,4,0.773875,-0.038375,1,3,0,reject-scout
1.5000,bgr,4,0.686688,-0.125562,0,4,0,reject-scout
1.8000,uniform,4,0.812250,0.000000,0,0,4,reject-scout
1.8000,fixed,4,0.768687,-0.043562,0,4,0,reject-scout
1.8000,bgr,4,0.727625,-0.084625,0,4,0,reject-scout
2.0000,uniform,4,0.812250,0.000000,0,0,4,reject-scout
2.0000,fixed,4,0.749625,-0.062625,1,3,0,reject-scout
2.0000,bgr,4,0.694062,-0.118188,0,4,0,reject-scout
