dataset,target_radius,method,seed,final_rauc
breast_cancer,0.5000,uniform,0,0.940625
breast_cancer,0.5000,fixed,0,0.903750
breast_cancer,0.5000,bgr,0,0.950937
breast_cancer,0.5000,uniform,1,0.952500
breast_cancer,0.5000,fixed,1,0.953125
breast_cancer,0.5000,bgr,1,0.904375
breast_cancer,0.5000,uniform,2,0.953125
breast_cancer,0.5000,fixed,2,0.960000
breast_cancer,0.5000,bgr,2,0.946562
breast_cancer,0.5000,uniform,3,0.960312
breast_cancer,0.5000,fixed,3,0.949688
breast_cancer,0.5000,bgr,3,0.963750
breast_cancer,0.8000,uniform,0,0.940625
breast_cancer,0.8000,fixed,0,0.952187
breast_cancer,0.8000,bgr,0,0.956250
breast_cancer,0.8000,uniform,1,0.952500
breast_cancer,0.8000,fixed,1,0.956562
breast_cancer,0.8000,bgr,1,0.946250
breast_cancer,0.8000,uniform,2,0.953125
breast_cancer,0.8000,fixed,2,0.950312
breast_cancer,0.8000,bgr,2,0.965000
breast_cancer,0.8000,uniform,3,0.960312
breast_cancer,0.8000,fixed,3,0.961562
breast_cancer,0.8000,bgr,3,0.960625
breast_cancer,1.0000,uniform,0,0.940625
breast_cancer,1.0000,fixed,0,0.958438
breast_cancer,1.0000,bgr,0,0.942187
breast_cancer,1.0000,uniform,1,0.952500
breast_cancer,1.0000,fixed,1,0.952500
breast_cancer,1.0000,bgr,1,0.952812
breast_cancer,1.0000,uniform,2,0.953125
breast_cancer,1.0000,fixed,2,0.953125
breast_cancer,1.0000,bgr,2,0.972812
breast_cancer,1.0000,uniform,3,0.960312
breast_cancer,1.0000,fixed,3,0.950937
breast_cancer,1.0000,bgr,3,0.960313
breast_cancer,1.2000,uniform,0,0.940625
breast_cancer,1.2000,fixed,0,0.948750
breast_cancer,1.2000,bgr,0,0.952500
breast_cancer,1.2000,uniform,1,0.952500
breast_cancer,1.2000,fixed,1,0.951875
breast_cancer,1.2000,bgr,1,0.948750
breast_cancer,1.2000,uniform,2,0.953125
breast_cancer,1.2000,fixed,2,0.935625
breast_cancer,1.2000,bgr,2,0.961562
breast_cancer,1.2000,uniform,3,0.960312
breast_cancer,1.2000,fixed,3,0.956562
breast_cancer,1.2000,bgr,3,0.955625
breast_cancer,1.5000,uniform,0,0.940625
