dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
breast_cancer,0.5000,uniform,4,0.951641,0.000000,0,0,4,reject-scout
breast_cancer,0.5000,fixed,4,0.941641,-0.010000,2,2,0,reject-scout
breast_cancer,0.5000,bgr,4,0.941406,-0.010234,2,2,0,reject-scout
breast_cancer,0.8000,uniform,4,0.951641,0.000000,0,0,4,reject-scout
breast_cancer,0.8000,fixed,4,0.955156,0.003516,3,1,0,reject-scout
breast_cancer,0.8000,bgr,4,0.957031,0.005391,3,1,0,reject-scout
breast_cancer,1.0000,uniform,4,0.951641,0.000000,0,0,4,reject-scout
breast_cancer,1.0000,fixed,4,0.953750,0.002109,1,2,1,reject-scout
breast_cancer,1.0000,bgr,4,0.957031,0.005391,4,0,0,reject-scout
breast_cancer,1.2000,uniform,4,0.951641,0.000000,0,0,4,reject-scout
breast_cancer,1.2000,fixed,4,0.948203,-0.003437,1,3,0,reject-scout
breast_cancer,1.2000,bgr,4,0.954609,0.002969,2,2,0,reject-scout
breast_cancer,1.5000,uniform,4,0.951641,0.000000,0,0,4,reject-scout
breast_cancer,1.5000,fixed,4,0.956641,0.005000,4,0,0,reject-scout
breast_cancer,1.5000,bgr,4,0.956406,0.004766,3,1,0,reject-scout
breast_cancer,2.0000,uniform,4,0.951641,0.000000,0,0,4,reject-scout
breast_cancer,2.0000,fixed,4,0.955469,0.003828,2,2,0,reject-scout
breast_cancer,2.0000,bgr,4,0.961016,0.009375,3,1,0,reject-scout
wine,0.5000,uniform,4,0.956349,0.000000,0,0,4,reject-scout
wine,0.5000,fixed,4,0.958581,0.002232,2,2,0,reject-scout
wine,0.5000,bgr,4,0.970238,0.013889,4,0,0,reject-scout
wine,0.8000,uniform,4,0.956349,0.000000,0,0,4,reject-scout
wine,0.8000,fixed,4,0.953373,-0.002976,2,2,0,reject-scout
wine,0.8000,bgr,4,0.949157,-0.007192,2,2,0,reject-scout
wine,1.0000,uniform,4,0.956349,0.000000,0,0,4,reject-scout
wine,1.0000,fixed,4,0.952629,-0.003720,2,2,0,reject-scout
wine,1.0000,bgr,4,0.963046,0.006696,3,1,0,reject-scout
wine,1.2000,uniform,4,0.956349,0.000000,0,0,4,reject-scout
wine,1.2000,fixed,4,0.956101,-0.000248,1,3,0,reject-scout
wine,1.2000,bgr,4,0.947421,-0.008929,1,3,0,reject-scout
wine,1.5000,uniform,4,0.956349,0.000000,0,0,4,reject-scout
wine,1.5000,fixed,4,0.946429,-0.009921,1,3,0,reject-scout
wine,1.5000,bgr,4,0.938244,-0.018105,1,3,0,reject-scout
wine,2.0000,uniform,4,0.956349,0.000000,0,0,4,reject-scout
wine,2.0000,fixed,4,0.955357,-0.000992,3,1,0,reject-scout
wine,2.0000,bgr,4,0.950149,-0.006200,1,3,0,reject-scout
