method,seed,final_clean,final_rauc,final_median_r80,final_transfer_rauc,rauc_aulc,best_rauc
clean_ft,0,0.8658121753089055,0.26315454501583874,0.20802923171507137,0.18858086576949815,0.23881979892702673,0.26315454501583874
clean_ft,1,0.8651646531297887,0.2629411405438233,0.20442990936181044,0.18867063869809636,0.2383813490302317,0.2629411405438233
clean_ft,2,0.8676847004446245,0.26381452560321267,0.2080395254293611,0.1869255198991213,0.23972494443891498,0.26381452560321267
clean_ft,3,0.8586784669716725,0.26034610942860537,0.20722068272679106,0.1877394337967738,0.23643516615553706,0.26034610942860537
clean_ft,4,0.8687495111057927,0.2646908952890702,0.20614995294252042,0.19278705829215811,0.24104553979059373,0.2646908952890702
clean_ft,5,0.8643613891181109,0.26306559046914485,0.20694117772672888,0.190779844083786,0.23919975471427182,0.26306559046914485
clean_ft,6,0.8634341388443081,0.263025542517283,0.2067089655558055,0.19255576872962823,0.23920879024323877,0.263025542517283
clean_ft,7,0.8663147206926856,0.26286851330823635,0.20642110258224938,0.18803187106650152,0.23841249850122104,0.26286851330823635
clean_ft,8,0.8652512407544821,0.26257964592963023,0.2056981159662072,0.18590587364788463,0.237866673141946,0.26257964592963023
clean_ft,9,0.8644144276579283,0.2632487078808618,0.20690980873710632,0.18968811865423546,0.23954068650570431,0.2632487078808618
clean_ft,10,0.8675028710608107,0.2642123042434887,0.20656667202560625,0.18681796518899438,0.23956533108008174,0.2642123042434887
clean_ft,11,0.8606459468117048,0.26188125471170604,0.20824032430475797,0.1869312729998128,0.23771556750750786,0.26188125471170604
clean_ft,12,0.8632628366265067,0.26314899331892927,0.20610180306752768,0.1891057968528906,0.23918045160859208,0.26314899331892927
clean_ft,13,0.8639342679176815,0.26247591805595,0.20566996169095897,0.18770598485241088,0.2378775834276318,0.26247591805595
clean_ft,14,0.8622650624987759,0.2625333408796563,0.20737236772459694,0.1875076368745826,0.23891752405434502,0.2625333408796563
uniform,0,0.8390224949151046,0.48494938149173594,0.5084584963999339,0.3061105432335846,0.37162024774116365,0.48494938149173594
uniform,1,0.835206978085813,0.4864785200999877,0.5032200418682832,0.30868544939541687,0.3708638862473938,0.4864785200999877
uniform,2,0.8432611791440648,0.4865344159572598,0.4958718862388005,0.3082327265440051,0.37378057173417545,0.4865344159572598
uniform,3,0.8270371757570683,0.4798252073178205,0.5035372592235159,0.304687171991069,0.36572466916541063,0.4798252073178205
uniform,4,0.8393447014843376,0.4891368656617828,0.5050410875796512,0.3129748581046397,0.3757985768779345,0.4891368656617828
uniform,5,0.8353806506351181,0.4875237158723928,0.5093518184366242,0.31175756606716987,0.37406544797186553,0.4875237158723928
uniform,6,0.8342174560134334,0.47973444971251966,0.4957804163823858,0.30846670757311917,0.36850860492588666,0.47973444971251966
uniform,7,0.8386812350272446,0.479512214611054,0.5024847338237796,0.30583470069458657,0.36886121744093964,0.479512214611054
uniform,8,0.8377747960061387,0.4879800490448197,0.5101902417623838,0.3045360800657733,0.36991718831587894,0.4879800490448197
uniform,9,0.8368679127955574,0.4824332796015472,0.5046516745937599,0.3067946131371955,0.37073403553375167,0.4824332796015472
uniform,10,0.8365625824614416,0.48474157236183024,0.5069745127654737,0.30668347532960993,0.3714055210386026,0.48474157236183024
uniform,11,0.8286904920129525,0.4794586872564732,0.5029349592479218,0.3015716469109756,0.36504219663538234,0.4794586872564732
uniform,12,0.8366818929762162,0.4901365248752684,0.5047486255625568,0.3106614935397342,0.37376266116006474,0.4901365248752684
uniform,13,0.8344821508554037,0.4865149971971398,0.510758251636013,0.30908510694575303,0.3709669871783384,0.4865149971971398
uniform,14,0.8338014703668307,0.48171125491505923,0.504753423428645,0.30713997478531035,0.36940225277318317,0.48171125491505923
fixed,0,0.6868530738042888,0.1580017999907195,0.12390733146410991,0.13747741301021146,0.16429164747032457,0.17057854486180232
fixed,1,0.6795351451584589,0.15642178303333482,0.12334707228570485,0.13665536299336184,0.16274644574143965,0.16907668013121643
fixed,2,0.6887465559822782,0.15927996592358157,0.12614352026405173,0.13667481793489838,0.1656429775024815,0.1719998997022801
fixed,3,0.6800341810536227,0.15688955698376242,0.1242457363511183,0.13671678548461727,0.1631971858422228,0.16949170581641432
fixed,4,0.6890295220223582,0.1618809121959826,0.12993639205385843,0.14176987193484045,0.16832224045048683,0.17475710302897032
fixed,5,0.6845312535633371,0.1597853275201007,0.12267238000738079,0.13961452468842514,0.1661504861196638,0.1725260923602993
fixed,6,0.6823736541994871,0.1589269400842965,0.12579301454337738,0.14082570974135156,0.16524741551791083,0.17156165343866825
fixed,7,0.6883747990803628,0.15759805042768021,0.12301368312211797,0.13691874164269774,0.1639284875036989,0.17027442628090975
fixed,8,0.6830503335966263,0.1557946640348448,0.1194176404579198,0.1341324083872647,0.16209211401608642,0.16840357929769117
fixed,9,0.6842513069625062,0.16012652634787974,0.12642631339703286,0.138726874683455,0.1665201515158886,0.17291671394238778
fixed,10,0.6823379367767669,0.15685087295540498,0.12099999818533565,0.1350524962958093,0.163172479932279,0.16949418816620845
fixed,11,0.6771947296171319,0.1563981149052073,0.12287707012875307,0.13559515615534282,0.16262794601948868,0.16886341554584428
fixed,12,0.6833407699399475,0.1588691817081049,0.12313661885945007,0.13816726286214817,0.16518941390490274,0.17151306996785173
fixed,13,0.6840481659565637,0.1573904096238552,0.12400631338933586,0.13668226076582188,0.1636537521219423,0.16992820459490288
