method,seed,final_clean,final_rauc,final_median_r80,final_transfer_rauc,rauc_aulc,best_rauc
clean_ft,0,0.8658121753089055,0.2631545450158387,0.20802923171507137,0.18858086576949815,0.23881979892702673,0.2631545450158387
clean_ft,1,0.8651646531297887,0.2629411405438233,0.20442990936181044,0.18867063869809636,0.2383813490302317,0.2629411405438233
clean_ft,2,0.8676847004446245,0.2638145256032126,0.2080395254293611,0.18692551989912135,0.23972494443891498,0.2638145256032126
clean_ft,3,0.8586784669716725,0.26034610942860537,0.20722068272679106,0.1877394337967738,0.23643516615553706,0.26034610942860537
clean_ft,4,0.8687495111057927,0.2646908952890702,0.20614995294252042,0.19278705829215811,0.24104553979059373,0.2646908952890702
uniform,0,0.8390224949151046,0.48494938149173594,0.5084584963999339,0.3061105432335846,0.3716202477411636,0.48494938149173594
uniform,1,0.835206978085813,0.4864785200999877,0.5032200418682832,0.30868544939541687,0.3708638862473938,0.4864785200999877
uniform,2,0.8432611791440648,0.4865344159572599,0.49587188623880046,0.3082327265440051,0.37378057173417545,0.4865344159572599
uniform,3,0.8270371757570683,0.4798252073178205,0.5035372592235159,0.304687171991069,0.36572466916541063,0.4798252073178205
uniform,4,0.8393447014843376,0.4891368656617828,0.5050410875796512,0.3129748581046397,0.3757985768779345,0.4891368656617828
fixed,0,0.6868530738042888,0.1580017999907195,0.12390733146410991,0.13747741301021146,0.16429164747032457,0.17057854486180232
fixed,1,0.6795351451584589,0.15642178303333482,0.12334707228570485,0.13665536299336184,0.16274644574143965,0.16907668013121643
fixed,2,0.6887465559822782,0.15927996592358157,0.12614352026405176,0.13667481793489838,0.1656429775024815,0.1719998997022801
fixed,3,0.6800341810536227,0.15688955698376242,0.1242457363511183,0.13671678548461727,0.1631971858422228,0.16949170581641432
fixed,4,0.6890295220223582,0.1618809121959826,0.12993639205385843,0.14176987193484045,0.16832224045048683,0.17475710302897032
failure_only,0,0.7595495714915314,0.4202529681852392,0.47232057462210275,0.24065602084984197,0.29955976902978254,0.4202529681852392
failure_only,1,0.7560298816464261,0.42132375437994557,0.47821436998589256,0.24197401996639034,0.30050638490358034,0.42132375437994557
failure_only,2,0.7633395132165556,0.42761996782732037,0.47192782518131693,0.2442544831157672,0.3073737047761077,0.42761996782732037
failure_only,3,0.7508770055573459,0.4206376285794091,0.4805934834914042,0.2416231086940209,0.2992284330967019,0.4206376285794091
failure_only,4,0.7611909665203804,0.4284209746008433,0.47731962938164113,0.2486346689176439,0.3088686051781358,0.4284209746008433
loss_priority,0,0.7131185250249367,0.16944842604186724,0.12667387542235375,0.14382309081775965,0.1687167878671288,0.17057854486180232
loss_priority,1,0.7076590107932249,0.16709401050971723,0.12708121724309313,0.14308885764791437,0.16673869682491885,0.16907668013121643
loss_priority,2,0.7171623499351875,0.17297283727626278,0.1278029257650981,0.14445445595453688,0.17092101060975148,0.17297283727626278
loss_priority,3,0.7073060758984897,0.16798014141889306,0.12886026163416042,0.14335771412694803,0.1673705624274825,0.16949170581641432
loss_priority,4,0.7149943944066663,0.17430197777218046,0.13186391476462156,0.1489287759816838,0.17306107325309542,0.17475710302897032
bgr,0,0.8741647121824282,0.47101134242982057,0.43957252659976115,0.3049297023520975,0.3747133171806667,0.47101134242982057
bgr,1,0.8738775003919349,0.4689662520825228,0.4546374572116687,0.2998949710582161,0.3696396985467925,0.4689662520825228
bgr,2,0.8762755297402892,0.4739400412605144,0.4561862891834452,0.3035638701908758,0.37638889856804714,0.4739400412605144
bgr,3,0.8665448551797048,0.4723428775981891,0.46177967994465197,0.30016485422221845,0.37241154810707655,0.4723428775981891
bgr,4,0.877951667081444,0.4785833218344278,0.45495513357700623,0.3059200346011303,0.37932885966830143,0.4785833218344278
