method,seed,final_clean,final_rauc,final_median_r80,final_transfer_rauc,rauc_aulc,best_rauc
uniform,0,0.8390224949151046,0.48494938149173594,0.5084584963999339,0.3061105432335846,0.3716202477411636,0.48494938149173594
uniform,1,0.835206978085813,0.4864785200999877,0.5032200418682832,0.30868544939541687,0.3708638862473938,0.4864785200999877
uniform,2,0.8432611791440648,0.4865344159572599,0.49587188623880046,0.3082327265440051,0.37378057173417545,0.4865344159572599
uniform,3,0.8270371757570683,0.4798252073178205,0.5035372592235159,0.304687171991069,0.36572466916541063,0.4798252073178205
uniform,4,0.8393447014843376,0.4891368656617828,0.5050410875796512,0.3129748581046397,0.3757985768779345,0.4891368656617828
bgr,0,0.8741647121824282,0.47101134242982057,0.43957252659976115,0.3049297023520975,0.3747133171806667,0.47101134242982057
bgr,1,0.8738775003919349,0.4689662520825228,0.4546374572116687,0.2998949710582161,0.3696396985467925,0.4689662520825228
bgr,2,0.8762755297402892,0.4739400412605144,0.4561862891834452,0.3035638701908758,0.37638889856804714,0.4739400412605144
bgr,3,0.8665448551797048,0.4723428775981891,0.46177967994465197,0.30016485422221845,0.37241154810707655,0.4723428775981891
bgr,4,0.877951667081444,0.4785833218344278,0.45495513357700623,0.3059200346011303,0.37932885966830143,0.4785833218344278
bgr_boundary,0,0.8711406349619383,0.4518511297034024,0.42782155313279835,0.28865590879234176,0.36850122906993665,0.4518511297034024
bgr_boundary,1,0.8724239908410582,0.4512477694582728,0.42268112749467057,0.2824790001342649,0.3613355896320469,0.4512477694582728
bgr_boundary,2,0.8763830344428555,0.4526321178017399,0.4266009678671694,0.2886545502267055,0.3669763847648392,0.4526321178017399
bgr_boundary,3,0.8642133385818129,0.4472632260516848,0.4258092296403632,0.28412265249789026,0.36185082590660345,0.4472632260516848
bgr_boundary,4,0.877735579845014,0.4565527063738249,0.418203853477552,0.29219090386400537,0.37032303491414825,0.4565527063738249
bgr_broad,0,0.8699723561624173,0.4807001156955735,0.4724799417124127,0.31693579609378636,0.3800217161478784,0.4807001156955735
bgr_broad,1,0.8698786852374492,0.47949720838621596,0.4711667114699136,0.316007615800897,0.3768600534535258,0.47949720838621596
bgr_broad,2,0.8734835307500686,0.48376730133955853,0.4693742893205681,0.3185009251303154,0.3816201706743807,0.48376730133955853
bgr_broad,3,0.8618854030395618,0.47648136667439617,0.4769432942527137,0.31252737849574447,0.3739950185252501,0.47648136667439617
bgr_broad,4,0.874732141607913,0.48690160858204135,0.46204404388083475,0.3234568052611589,0.3862649721835708,0.48690160858204135
bgr_hard,0,0.8659257815591025,0.4733134428841094,0.46258665852018627,0.3274963390140763,0.38548902898028575,0.4733134428841094
bgr_hard,1,0.865713709522021,0.4716134751215966,0.4619794435352912,0.32694520068254923,0.38330840279004696,0.4716134751215966
bgr_hard,2,0.868766899559558,0.4788204567854542,0.47040921136664193,0.3294808793716356,0.3890579796375396,0.4788204567854542
bgr_hard,3,0.8572963095646488,0.47043306289154185,0.4752065278609963,0.3266423664395291,0.3824009433929859,0.47043306289154185
bgr_hard,4,0.8708400609728246,0.4803709270820152,0.47447026309627116,0.335215380579899,0.3924246501729517,0.4803709270820152
