method,seed,final_clean,final_rauc,final_median_r80,final_transfer_rauc,rauc_aulc,best_rauc
clean_ft,0,0.869534950144963,0.2547349242112873,0.17957257642263127,0.18629502937378034,0.23155622603669013,0.2547349242112873
clean_ft,1,0.8660316092935075,0.2515421887496094,0.176544556900547,0.18128275535985558,0.2265302599300615,0.2515421887496094
clean_ft,2,0.8615133855214723,0.25204762249306106,0.1775082137873385,0.1838765816618955,0.2289660601816066,0.25204762249306106
uniform,0,0.8233860169337814,0.44548851366013525,0.45226863396880895,0.258727984250764,0.32383604838335905,0.44548851366013525
uniform,1,0.8154655866505858,0.43305724985449884,0.4378238094116328,0.2487996443875768,0.3107388764468876,0.43305724985449884
uniform,2,0.817644221774466,0.4413591576293255,0.4386412949562486,0.2534773930639546,0.31747121198367034,0.4413591576293255
fixed,0,0.7192640127620243,0.16716961488097895,0.13153868828716764,0.14439797122999265,0.17072764855460018,0.17428641604083664
fixed,1,0.7085128215409331,0.15823922219128145,0.12424443995143167,0.13717532325850648,0.16169773077960975,0.1651583919693384
fixed,2,0.7118683658857334,0.164086490497759,0.13060540446861896,0.14211348644101846,0.16757308932482157,0.17106052051087992
failure_only,0,0.7896460153120876,0.40710537540605624,0.4159902143661917,0.23306121548994796,0.28941720504055307,0.40710537540605624
failure_only,1,0.7844807301455738,0.3889119911153996,0.39517975697990193,0.22274214264889583,0.27679764028401105,0.3889119911153996
failure_only,2,0.7857087660276371,0.40555627706455205,0.4309636333709415,0.2318801580348263,0.2899518153166567,0.40555627706455205
loss_priority,0,0.7228801325898782,0.1758990810591193,0.1393035476210707,0.14734919270975794,0.1752104187691853,0.1758990810591193
loss_priority,1,0.7112052719727028,0.1671989134505001,0.12789714407546576,0.13997794092560678,0.1659821124105933,0.1671989134505001
loss_priority,2,0.7150300493791072,0.1745874425329031,0.1382392091552523,0.146031752434649,0.17296771091597296,0.1745874425329031
bgr,0,0.8651822000662641,0.43886707112601303,0.4164865951127362,0.26639543791239395,0.3378859602597441,0.43886707112601303
bgr,1,0.85660478006409,0.42369418249042073,0.4053227961735789,0.25822588538711727,0.32652849936981004,0.42369418249042073
bgr,2,0.8565099481711126,0.43036920195109496,0.40656844486179305,0.2616740425913992,0.33096721844090493,0.43036920195109496
