method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.85,0.7768253968253968,0.375,0.28908730158730156,0.7768253968253968
uniform,1,0.8166666666666667,0.7204398148148148,0.37777777777777777,0.25631531084656084,0.7204398148148148
uniform,2,0.85,0.7485251322751324,0.4333333333333333,0.2377744708994709,0.7485251322751324
uniform,3,0.8666666666666667,0.7926256613756614,0.41666666666666663,0.3117625661375661,0.7926256613756614
fixed,0,0.75,0.7228207671957673,0.3833333333333333,0.2512921626984127,0.7228207671957673
fixed,1,0.7666666666666667,0.7388062169312167,0.3916666666666666,0.2784085648148148,0.7388062169312167
fixed,2,0.75,0.751170634920635,0.5535714285714286,0.2749371693121693,0.751170634920635
fixed,3,0.7833333333333333,0.7861210317460318,0.7,0.27480902777777777,0.7861210317460318
failure_only,0,1.0,0.976765873015873,1.0,0.317567791005291,0.976765873015873
failure_only,1,1.0,0.9694212962962964,1.0,0.3155133928571429,0.9694212962962964
failure_only,2,1.0,0.9598015873015874,1.0,0.3077480158730159,0.9598015873015874
failure_only,3,1.0,0.9709193121693122,1.0,0.32404927248677245,0.9709193121693122
td_loss,0,0.5666666666666667,0.5558697089947091,1.0,0.22038607804232807,0.5558697089947091
td_loss,1,0.6833333333333333,0.6185747354497355,1.0,0.23890955687830687,0.6185747354497355
td_loss,2,0.5166666666666667,0.543343253968254,1.0,0.22732721560846558,0.543343253968254
td_loss,3,0.6166666666666667,0.6071296296296296,1.0,0.22502149470899474,0.6071296296296296
bgr_uniform_radius,0,0.65,0.6354563492063491,0.7333333333333333,0.2275462962962963,0.6354563492063491
bgr_uniform_radius,1,0.3333333333333333,0.33264550264550263,1.0,0.17482804232804233,0.33264550264550263
bgr_uniform_radius,2,0.6666666666666666,0.631246693121693,1.0,0.26449652777777777,0.631246693121693
bgr_uniform_radius,3,0.5333333333333333,0.5384788359788361,1.0,0.2264814814814815,0.5384788359788361
bgr_coverage,0,0.6666666666666666,0.6358928571428574,0.8166666666666667,0.21965608465608472,0.6358928571428574
bgr_coverage,1,0.36666666666666664,0.3739186507936507,1.0,0.17681464947089942,0.3739186507936507
bgr_coverage,2,0.7333333333333333,0.7190443121693122,0.42499999999999993,0.26733548280423286,0.7190443121693122
bgr_coverage,3,0.5833333333333334,0.5494212962962962,1.0,0.22108382936507937,0.5494212962962962
bgr,0,0.6166666666666667,0.5638756613756615,0.5563492063492064,0.20674437830687836,0.5638756613756615
bgr,1,0.4166666666666667,0.3831216931216932,1.0,0.17891699735449734,0.3831216931216932
bgr,2,0.7666666666666667,0.7304001322751322,0.3583333333333333,0.26809937169312165,0.7304001322751322
bgr,3,0.5333333333333333,0.5290112433862434,0.7999999999999999,0.22053488756613757,0.5290112433862434
