method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.9974007936507936,1.0,0.771195987654321,0.9974007936507936
uniform,1,1.0,1.0,1.0,0.7890928130511464,1.0
uniform,2,1.0,0.9952017195767195,1.0,0.7889241622574956,0.9952017195767195
uniform,3,1.0,0.9927017195767196,1.0,0.8051499118165784,0.9927017195767196
fixed,0,0.95,0.9726917989417989,1.0,0.7430478395061727,0.9726917989417989
fixed,1,0.9666666666666667,0.9828637566137566,1.0,0.780302028218695,0.9828637566137566
fixed,2,0.9166666666666666,0.9589219576719578,1.0,0.7473175705467372,0.9589219576719578
fixed,3,0.95,0.9789451058201057,1.0,0.7829971340388007,0.9789451058201057
failure_only,0,1.0,1.0,1.0,0.8624537037037037,1.0
failure_only,1,1.0,1.0,1.0,0.8686386684303351,1.0
failure_only,2,1.0,1.0,1.0,0.8496478174603175,1.0
failure_only,3,1.0,1.0,1.0,0.8860411155202822,1.0
td_loss,0,0.9833333333333333,0.9955092592592593,1.0,0.7085934744268078,0.9955092592592593
td_loss,1,1.0,0.9940013227513228,1.0,0.7439296737213403,0.9940013227513228
td_loss,2,1.0,0.9977976190476191,1.0,0.7181872795414463,0.9977976190476191
td_loss,3,1.0,0.9965476190476191,1.0,0.7190503747795415,0.9965476190476191
bgr_uniform_radius,0,1.0,0.9905853174603175,1.0,0.7391308421516756,0.9905853174603175
bgr_uniform_radius,1,1.0,0.9894808201058202,1.0,0.7590029761904763,0.9894808201058202
bgr_uniform_radius,2,0.95,0.9337301587301586,1.0,0.6884672619047619,0.9337301587301586
bgr_uniform_radius,3,0.9833333333333333,0.9913293650793651,1.0,0.7759727733686067,0.9913293650793651
bgr_coverage,0,1.0,0.9870701058201058,1.0,0.7459623015873016,0.9870701058201058
bgr_coverage,1,1.0,0.9795502645502646,1.0,0.7385912698412699,0.9795502645502646
bgr_coverage,2,0.9666666666666667,0.9407242063492064,1.0,0.6910063932980599,0.9407242063492064
bgr_coverage,3,1.0,0.9527347883597883,1.0,0.7227667548500881,0.9527347883597883
bgr,0,0.9833333333333333,0.9655787037037037,1.0,0.7070056216931216,0.9655787037037037
bgr,1,0.9833333333333333,0.9658366402116402,1.0,0.7295563271604938,0.9658366402116402
bgr,2,0.95,0.933234126984127,1.0,0.6665977733686067,0.933234126984127
bgr,3,0.9833333333333333,0.9665608465608465,1.0,0.7261777998236331,0.9665608465608465
