method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.8923935591139869,0.3648622564605369,0.27081607078578107,0.2990797520586164,0.3648622564605369
uniform,1,0.8895064326819027,0.36554999721836784,0.27326878564172596,0.2958252865028835,0.36554999721836784
uniform,2,0.8839797152847074,0.3674224410207449,0.2816823263117582,0.3012852945926839,0.3674224410207449
uniform,3,0.8814526765553764,0.3585659013758722,0.27481275476719735,0.2925294604056367,0.3585659013758722
uniform,4,0.9003551521600434,0.3649865756694793,0.2740978774699564,0.2982178139553496,0.3649865756694793
uniform,5,0.8800334967909814,0.36733117244595187,0.28159222717250065,0.3004596585507992,0.36733117244595187
uniform,6,0.884842295933244,0.3671354956247124,0.3018602691090813,0.3007673676612933,0.3671354956247124
uniform,7,0.8913432719507967,0.36100160000180853,0.2721592674610475,0.29613676383057436,0.36100160000180853
uniform,8,0.8774038838165031,0.36342801883019366,0.2841794989927852,0.3009856638479472,0.36342801883019366
uniform,9,0.8886420662259518,0.3669438701859204,0.287528041362361,0.30216340986637374,0.3669438701859204
uniform,10,0.8857537857818314,0.3596558307978188,0.27774632255865783,0.29226521608126826,0.3596558307978188
uniform,11,0.8824495193925407,0.36299712015548263,0.2976812349366108,0.3005314830315829,0.36299712015548263
uniform,12,0.8878476465847139,0.3684739695932895,0.28714369604266027,0.30145632346981904,0.3684739695932895
uniform,13,0.8785717428163299,0.3649224948110814,0.28706553841833105,0.30398313764529244,0.3649224948110814
uniform,14,0.8848855215558459,0.3603476398014401,0.26779095729456476,0.29552115748086,0.3603476398014401
fixed,0,0.8273957320394917,0.23306170559229414,0.1279647345505727,0.23207928347653878,0.23306170559229414
fixed,1,0.8233724901019893,0.2251520476207666,0.12943921728309765,0.22461172795272655,0.2251520476207666
fixed,2,0.8212594462161594,0.23398322065007338,0.1308709401296221,0.2324420955025746,0.23398322065007338
fixed,3,0.814948820772063,0.22648615836359434,0.12747255944696634,0.2272015742664731,0.22806745144901971
fixed,4,0.8325283884052664,0.22235054514387284,0.1255162121753398,0.22312572768029218,0.22398151195138016
fixed,5,0.821506210143588,0.23117699141421197,0.132379958738445,0.23030826226694145,0.23117699141421197
