method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.8923935591139869,0.3648622564605369,0.27081607078578107,0.2990797520586164,0.3648622564605369
uniform,1,0.8895064326819027,0.36554999721836784,0.27326878564172596,0.2958252865028835,0.36554999721836784
uniform,2,0.8839797152847074,0.3674224410207449,0.2816823263117582,0.3012852945926839,0.3674224410207449
fixed,0,0.8273957320394917,0.23306170559229414,0.12796473455057272,0.23207928347653878,0.23306170559229414
fixed,1,0.8233724901019893,0.22515204762076665,0.12943921728309765,0.22461172795272655,0.22515204762076665
fixed,2,0.8212594462161594,0.23398322065007338,0.1308709401296221,0.2324420955025746,0.23398322065007338
failure_only,0,0.8241644047796841,0.23524792766855782,0.13026571829578004,0.23334854788979947,0.23524792766855782
failure_only,1,0.8200729284231781,0.2264509227698066,0.13215420730455568,0.2253394903653231,0.2264509227698066
failure_only,2,0.8185492169537684,0.236753517847317,0.14159885244046014,0.23356042414519565,0.236753517847317
plr_loss,0,0.8269547992667846,0.23138013163005722,0.131116977134279,0.23169026498136477,0.23201844571462985
plr_loss,1,0.821084733485923,0.2238361400653951,0.13141607710153486,0.224264606966745,0.22457579360082888
plr_loss,2,0.8191334110095644,0.23084327416497183,0.1315802135572102,0.2310304161899694,0.23146367460547781
bgr,0,0.9061199613905989,0.38978653386362794,0.2921621929082314,0.32538474625688363,0.38978653386362794
bgr,1,0.8938111364173219,0.3690380123746286,0.2857205360757784,0.3120535805582828,0.3690380123746286
bgr,2,0.8886354166246114,0.36806728605286027,0.2709608608241014,0.31314497955692483,0.36806728605286027
